PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_THREAT,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_PROFANITY,video_id
0.07360177,0.3673582,0.06652113,0.052113548,0.01125018,0.015947953,0.10628167,0.019714896,KHkWqYkVuAA
0.053882994,0.1980269,0.123736724,0.12412248,0.2877557,0.24528597,0.16587144,0.12420743,3EIF_P0CYQw
0.0776574,0.3145882,0.26589394,0.22146164,0.19041769,0.14737067,0.38631502,0.08654542,QefwotO_SGU
0.15678878,0.3911538,0.22598907,0.55103415,0.056605954,0.079262316,0.32181007,0.09047012,8FAvAyv3aqM
0.8219862,0.5225442,0.22990796,0.23398925,0.24504466,0.18309754,0.2985457,0.50900394,N0l7aQ3KVio
0.032984007,0.41725388,0.14059398,0.116651945,0.06305054,0.03997159,0.18502674,0.024091851,42-SQT7Y34I
0.03456866,0.26492038,0.1621016,0.076298565,0.14077583,0.19807401,0.28239065,0.08357825,r-huf9iKGLE
0.1269623,0.29280323,0.10634898,0.12100303,0.18697004,0.12221868,0.34107232,0.1345783,FQnyN6OD4k0
0.06312556,0.22015758,0.08290337,0.083077155,0.03143147,0.037863612,0.26256675,0.048654493,iVkyvD21ABg
0.08485809,0.28401574,0.16035037,0.13973245,0.09224548,0.10819476,0.19469538,0.10026192,wdrn-CdjTCY
0.054872625,0.24328203,0.3983115,0.6367974,0.10577683,0.115719266,0.310637,0.0843583,buo7aL93oWU
0.07840071,0.38156134,0.28021416,0.29413077,0.16803548,0.21992756,0.2773065,0.090504944,I3B8-aM85Nc
0.056378003,0.3278074,0.009926494,0.07799261,0.03731676,0.030782403,0.3045336,0.03651318,bN9Gf9sGgtY
0.15197168,0.28578767,0.12244874,0.23475543,0.23188527,0.39929533,0.49630067,0.18973352,2v8SA0M7yLU
0.04256533,0.2757968,0.04783881,0.09769682,0.06945918,0.093779534,0.07919661,0.051697273,Ak_nYL-5VYk
0.060573846,0.37882426,0.019714156,0.033047,0.015703278,0.013535126,0.3343063,0.013712599,ri62kVxhHio
0.06491578,0.29033005,0.15042676,0.115924746,0.064684905,0.059153482,0.19850284,0.052441932,o970hNo15G0
0.029803583,0.17337984,0.045091953,0.06823877,0.041257095,0.051893033,0.18970889,0.03608095,hXRx3bOksi0
0.027034553,0.34473935,0.1256687,0.14435484,0.079826966,0.075110964,0.4527381,0.031223333,qoGwiA2st68
0.113287255,0.38347784,0.0801064,0.26640928,0.117936954,0.11092443,0.43290526,0.07898117,sadhcOT6axg
0.08163525,0.28761825,0.011453647,0.10732552,0.06292565,0.18228698,0.27096266,0.04071118,Ehcq7ezD-o0
0.040381245,0.3987079,0.09333697,0.24763443,0.05368838,0.06695622,0.3104698,0.03416122,vmAI6-DnpIE
0.10040249,0.39588895,0.048868883,0.5078733,0.16311978,0.17824619,0.1769179,0.1370435,IYsCn-g7UuU
0.10412833,0.31685287,0.13835071,0.15710175,0.084076285,0.06479009,0.18395998,0.08930258,gr482dOlQyU
0.18997012,0.42575073,0.09387396,0.19035031,0.12192349,0.3295564,0.45068213,0.116596684,77GK6I9kP08
0.046234872,0.40379468,0.13017663,0.18994848,0.06748844,0.0994942,0.03483925,0.047666825,kfIbmFIbBM8
0.07969371,0.39505848,0.13476147,0.3546477,0.10326348,0.17186458,0.21787137,0.08627527,Y-O54ruKiek
0.1420418,0.2544397,0.20816301,0.2752448,0.36003494,0.19890442,0.41528758,0.2180524,IdyqDsyyNso
0.051051904,0.21683587,0.11600884,0.10841657,0.1544604,0.07625532,0.42866096,0.058790516,qIghfff7IqE
0.08415287,0.4462657,0.1024659,0.2857034,0.05647631,0.07979267,0.1457206,0.062002655,RF1FeSOh9OE
0.037756752,0.23658036,0.06771983,0.14831479,0.12488969,0.14431547,0.4059615,0.060197826,hi83dD9n30c
0.055580914,0.29259413,0.019852988,0.12781073,0.023526698,0.028338859,0.3572388,0.02239909,Li6ONIfqKUU
0.04580518,0.2318131,0.019852988,0.11265783,0.08114912,0.037014436,0.1996951,0.045265604,ewOygjVWd74
0.08144108,0.27973434,0.2712817,0.2633529,0.18620312,0.094722316,0.21743031,0.092109576,fhKYwXlMwuI
0.08293395,0.3886847,0.13251819,0.10522928,0.14714693,0.25895458,0.31339464,0.109426394,rTnK8rVUWO8
0.05711331,0.3443833,0.022074303,0.14001732,0.10430838,0.0717711,0.3825735,0.069114394,fmM4tIZdySc
0.069818564,0.33080056,0.040628307,0.14563704,0.1531909,0.12111832,0.19856086,0.07600354,yChwecIJs0A
0.10214324,0.31375563,0.13835071,0.2482162,0.26698014,0.28597376,0.292915,0.13873921,U-i3O4ZG3jo
0.053007346,0.22554752,0.20449556,0.5112082,0.19065514,0.22260958,0.41076794,0.08105273,Y_AKtWfBYSY
0.04691834,0.21906741,0.06532243,0.07736756,0.05802709,0.08400724,0.22353728,0.038367856,L4s-aYCPSFc
0.113103114,0.3402716,0.04268845,0.29737735,0.20566362,0.14407559,0.58103234,0.14501242,mxMnIHHT0gs
0.08815402,0.28517735,0.0129808,0.13964663,0.116487935,0.11037083,0.12752897,0.095073715,03S6Ux-gblg
0.07571402,0.30201977,0.020963646,0.18191075,0.104797296,0.11061367,0.1823762,0.0951346,jjRrwBV83KA
0.08219463,0.32786423,0.13206954,0.27284795,0.25076512,0.15111259,0.34282005,0.118316986,tQ7Ku67DE1A
0.045094326,0.25673065,0.2459383,0.4898023,0.062405083,0.055573653,0.3061891,0.065250665,g7XvwEt_sU4
0.04311779,0.40366316,0.011523063,0.04772092,0.10048926,0.07926618,0.45138508,0.040752802,T1rhB5Oo8Ls
0.059808265,0.30462745,0.118584804,0.11735,0.11971574,0.12703335,0.2955368,0.098398075,27yGCm80J8c
0.07995408,0.32562897,0.074912034,0.2532134,0.15886533,0.17778382,0.28763756,0.09279495,WYZXmxu4U4c
0.13827461,0.24906825,0.05253629,0.47486606,0.11397253,0.19175373,0.32648605,0.14415804,gYw8oYqesp8
0.05312285,0.19126827,0.049212243,0.1567464,0.051671267,0.07206934,0.23910768,0.06398241,WR9zvSF_rXY
0.021014301,0.21414264,0.09494796,0.12849344,0.11196573,0.18070847,0.24024488,0.040716626,TJb1uKzpoVM
0.056680445,0.27716452,0.09118898,0.11569781,0.13329872,0.13020639,0.26455143,0.078612916,WNpzSMvsRnw
0.10449256,0.2962409,0.034791227,0.27966765,0.0720714,0.05982527,0.26402938,0.08171086,ncnHeFuokAk
0.10841047,0.37996203,0.21109697,0.3808053,0.3029405,0.29920807,0.025526542,0.16132583,WdbuyI4fra0
0.22513023,0.3467003,0.09118898,0.17863138,0.05736179,0.046943173,0.20781259,0.115342654,1iSlcF6r4ow
0.037246585,0.18837136,0.046465382,0.19097836,0.050378848,0.07667161,0.22538179,0.054541226,Yz1k8DlVluI
0.045551997,0.30918306,0.050242316,0.08857628,0.106693275,0.088371865,0.19768046,0.045838952,l2k7HDr7eRw
0.05795182,0.24808367,0.083939545,0.08343111,0.09982698,0.054851044,0.3680933,0.06275266,EQR1pY86Lps
0.089543745,0.2253237,0.07970683,0.27555814,0.18608356,0.17524847,0.262905,0.13025416,sb0wJ3npMIo
0.14426802,0.36140767,0.20376207,0.117776126,0.07650278,0.090710126,0.1915487,0.093119934,ZYXWvIg8zvM
0.039216675,0.22967528,0.1539292,0.102109104,0.167143,0.11429103,0.33276013,0.08202517,1v7ZSTqYXlI
0.04217348,0.29170036,0.043031808,0.099557295,0.08742225,0.068712056,0.26702663,0.04087888,HiATCjx7rB4
0.06954978,0.22366476,0.07850813,0.12649503,0.044542618,0.051094018,0.16374482,0.08829047,c1mjgSrmvpw
0.07528465,0.28720343,0.19716066,0.18273264,0.14757466,0.09290483,0.26707268,0.088771775,625AL_lT7MQ
0.08932208,0.3698797,0.20302857,0.12689394,0.09852942,0.09459283,0.23971604,0.08587886,Piz92Chwgs8
0.10333077,0.36837077,0.02792408,0.34018257,0.10399151,0.099518694,0.26690325,0.119836204,45yLOPaGGTY
