PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_PROFANITY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,video_id
0.12067214,0.06724161,0.0334178,0.096906245,0.10371459,0.1193367,0.16635689,0.24186634,NQ1hgy0aT6g
0.039498925,0.0859987,0.040284947,0.029485572,0.029760886,0.044363018,0.091584995,0.36976218,eboQfc3giSo
0.10045639,0.08881137,0.04131502,0.09019475,0.08867147,0.07664047,0.12134981,0.20685135,PcRHV09WUlQ
0.08860157,0.05498712,0.06012806,0.07829388,0.09070291,0.07866821,0.12262071,0.21871306,-UXJ8ybC0Tk
0.059127543,0.21955138,0.06492286,0.06929923,0.038908377,0.03993489,0.10210451,0.29599074,Gq2hszGQ14c
0.11031659,0.035614133,0.06851897,0.23638214,0.084690064,0.04748737,0.32260853,0.3859022,BQL_29v5Gyw
0.0787609,0.06281467,0.03221605,0.07032848,0.09233102,0.09615923,0.14099981,0.2410292,lb_QVJqYsHc
0.27245325,0.03324967,0.02792408,0.40352204,0.5090195,0.5791408,0.39862058,0.56713986,lHW9MaVVokE
0.4249274,0.067684524,0.08447654,0.15561722,0.17581259,0.14501546,0.27516568,0.3576787,UYKn6FxIi4Y
0.6244085,0.11558532,0.09548495,0.29104456,0.30910677,0.16057777,0.36252564,0.4287581,lFfkWUm4FqE
0.6600224,0.014042768,0.09924392,0.29380062,0.35701877,0.21610466,0.7160308,0.44435078,bq6Gkv01d1c
0.11876635,0.016923012,0.06412373,0.16539834,0.152458,0.10035775,0.1986693,0.3027414,Uv9P1ml0Vew
0.038220465,0.13701344,0.092262976,0.020835888,0.023114515,0.031209124,0.12629506,0.2526136,O73lSrZJloM
0.07357395,0.1698235,0.048525527,0.06939582,0.075194135,0.08510426,0.1559221,0.3434577,xyr_pmDxmwA
0.10448675,0.0077535645,0.12824467,0.1295044,0.09331319,0.088282086,0.24003543,0.3240716,nQQeCiXePvc
0.11891435,0.03531447,0.08367105,0.17635605,0.17634428,0.123624735,0.17956875,0.2891719,jxexOwv7JYM
0.010277659,0.029927671,0.0026204558,0.005045849,0.009012918,0.028607076,0.069392785,0.3423136,swyfyAExYq4
0.17038257,0.06006875,0.06931809,0.08777153,0.06847377,0.16435464,0.12803045,0.43420807,jntjhQX5_8I
0.20431261,0.088207655,0.087430015,0.22022907,0.13053739,0.085254535,0.26610115,0.3754289,QU_VLg20LcM
0.032122675,0.0002669664,0.03994159,0.056023248,0.0476636,0.03791642,0.04494981,0.22891462,BJTsq0zCY7c
0.124235466,0.008084264,0.060927194,0.049010057,0.03741335,0.062874444,0.06567536,0.35096627,3R6krd6EZds
0.116230294,0.06503063,0.15042676,0.094733745,0.0953772,0.06394737,0.15866077,0.20258272,GW5nWCmO8-Y
0.54551107,0.03475969,0.057331093,0.231394,0.30558127,0.17936026,0.40125617,0.42191976,trvjMtxF3VY
0.1180008,0.02454523,0.10699297,0.08782487,0.08810403,0.0717994,0.22206497,0.21984413,uwsDC_Cf4Q8
