PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_PROFANITY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,video_id
0.06708415,0.11160925,0.046465382,0.07003413,0.0595359,0.070601426,0.12111091,0.36170986,TXOBaUCnVMs
0.572525,0.049164962,0.08555053,0.2309108,0.26478246,0.15661862,0.32690302,0.33541748,cYEFaCUJiYc
0.053964633,0.047304157,0.024147147,0.038025115,0.06868567,0.09678801,0.09618977,0.21671325,xj54cQs7z-s
0.37403974,0.12253112,0.04234509,0.19376273,0.11826698,0.08902577,0.12998457,0.3117916,ULpvQVQNJKo
0.12515196,0.15293176,0.06252546,0.106692724,0.118792824,0.14851771,0.20938602,0.46467102,zlWfVViAwis
0.14283349,0.16677208,0.048525527,0.18114933,0.0699334,0.053088415,0.34707075,0.31164116,GUvIqdCMZ9A
0.13001917,0.0049911463,0.010620655,0.10404697,0.13013732,0.18963285,0.27129328,0.26689473,l_jSNf3j4z0
0.04559132,0.09173223,0.023117077,0.038873974,0.044277817,0.061465837,0.08903704,0.3236548,Q0mfZdnYCRk
0.6807267,0.0026417975,0.011800728,0.33972493,0.3965321,0.3054726,0.61212724,0.48810315,pEgZSwjg-hU
0.099256545,0.15919885,0.04131502,0.10639945,0.09362101,0.14562486,0.12941568,0.34858018,Jk7jsLzziNM
0.06546032,0.079310045,0.042001735,0.07365391,0.05739355,0.05870067,0.11302104,0.353744,s_ehpugWGHw
0.26974666,0.00056123646,0.083939545,0.15130357,0.18537025,0.14408574,0.30940372,0.4281656,C1c5pw8_0eQ
0.0793269,0.09632901,0.058929358,0.06015799,0.06924292,0.15513797,0.16790803,0.37109596,A7FeKpL925o
0.20080012,0.18887137,0.13700475,0.106101595,0.088560484,0.13076884,0.16702595,0.5249368,eRuHF3zqdQ4
0.15545537,0.015293946,0.112788886,0.18729173,0.26791662,0.36547652,0.22688676,0.5154947,HOExfh8hU_g
0.13027273,0.008365175,0.058929358,0.11605897,0.1991224,0.24492404,0.41700277,0.48003942,n_XTkgJf5X4
0.05278687,0.043380857,0.046122026,0.06908424,0.07821611,0.06814824,0.07955285,0.23018593,fgXqgltW1p8
0.048660036,0.0737626,0.015340946,0.036847625,0.051971056,0.058402594,0.08646741,0.19457503,ZpqKQvF_4W4
0.1513664,0.078636765,0.044405237,0.101503894,0.10501929,0.09787404,0.36881995,0.38490158,_wK-m0IImmQ
0.1639877,0.012937032,0.010412407,0.15916418,0.16392764,0.16493194,0.22785258,0.28422582,_71ur80-tL0
0.022865307,0.107925296,0.040628307,0.015661107,0.024156744,0.05419212,0.049771737,0.2550049,rDeGGaRT1n0
0.12069504,0.013241326,0.16344422,0.23217893,0.19282389,0.13969743,0.17168137,0.28404853,DasH9J75c94
0.066804096,0.04865267,0.058130227,0.057416588,0.042525508,0.038123958,0.08974704,0.34745634,0adFjZzDFGs
0.08869946,0.019294413,0.03856816,0.08965421,0.08433342,0.08448129,0.14265458,0.37731665,xa6nliK_DLo
0.12196603,0.022674786,0.11600884,0.042772282,0.06961025,0.058921896,0.20233232,0.35615662,DslaS8OpwXU
0.109678045,0.0198942,0.094410956,0.11711951,0.12261089,0.13525312,0.17415753,0.33646896,ngFsZg-DdWA
0.08736711,0.15643094,0.049898956,0.11660616,0.07092093,0.058669165,0.17957929,0.47485268,08fN7SV6-Vg
0.034882054,0.089986786,0.062925026,0.02270952,0.038410433,0.060855534,0.1069975,0.20054224,t05DzKT55yI
0.565227,0.049709525,0.1256687,0.2189564,0.24348544,0.14091083,0.32003435,0.33350673,AZ0HLgrtSSg
0.3022603,0.0007320023,0.028267438,0.2423727,0.20686427,0.16172628,0.20209613,0.32069144,fmKKe3T-dXI
0.040689074,0.11028694,0.048525527,0.062783785,0.039641522,0.051881433,0.10182499,0.44710758,-HCO_Yv11Og
0.08572688,0.043820035,0.1008549,0.11213887,0.105403885,0.0888276,0.14657792,0.31796205,P2dAcLY5rAA
0.077054136,0.037764475,0.049212243,0.04391942,0.091780335,0.11847947,0.11294425,0.21042436,1BVrSILPVpg
0.024560394,0.09096805,0.02397547,0.024270047,0.024174595,0.035324767,0.0567125,0.23978306,Xaun8mXC9fA
0.17481068,0.085131966,0.019297661,0.11846225,0.16944896,0.16158596,0.26690942,0.31754178,MM3YvEDmkOU
0.08902262,0.006574723,0.0753116,0.059304547,0.06712507,0.074058,0.12054412,0.26443848,rKuqY7TDMZ8
0.13300662,0.01343519,0.10763696,0.17744775,0.099801496,0.07727439,0.11780802,0.41286606,jGNvU6wGWuY
0.11441569,0.023679204,0.0186035,0.07876986,0.07630809,0.095464826,0.12273417,0.29930887,cpBR0ulr_38
0.07711658,0.041863393,0.013744377,0.05438695,0.09300427,0.14623614,0.3853063,0.5651752,rjCJU0o2xyg
0.07253132,0.017181072,0.04165838,0.04024464,0.039535824,0.03986341,0.06924758,0.20861445,CkazuhdvZhc
0.2186813,0.00303543,0.009509998,0.18842043,0.1581038,0.12962025,0.26531705,0.44198984,FFT0-rcOiik
0.18479915,0.052377876,0.033761155,0.13580382,0.19105183,0.24999973,0.3079812,0.40518025,PpzhqTvy9NY
