PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_INSULT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_THREAT,video_id
0.15334547,0.0853979,0.09813131,0.43489096,0.07676847,0.2901259,0.17721713,0.6280221,xUnXFl1U6js
0.02929751,0.11597776,0.076669216,0.22431684,0.053613678,0.12484491,0.19230133,0.71731055,PfAqU20idjU
0.0168681,0.019761208,0.024496786,0.21961302,0.02206435,0.03815554,0.19886789,0.26829338,voeYMQldU0w
0.022773718,0.048282992,0.090971865,0.20031725,0.030018631,0.18965928,0.25325203,0.17187066,hoFt-bIHe7I
0.030842619,0.032590214,0.064257674,0.35884964,0.03675935,0.0472475,0.092097,0.36881855,dsHkc7uV5sQ
0.078108564,0.05679867,0.06661677,0.28261763,0.057895888,0.13015464,0.19624354,0.31690904,7UyGE0HIBLE
0.30337667,0.19294746,0.19035096,0.23102361,0.044272326,0.23490016,0.62659425,0.91432226,gR_6gDrBI24
0.019436494,0.038462743,0.048444457,0.1999541,0.043828074,0.09026265,0.31491336,0.1906386,Wq7JfnZCTfU
0.017354012,0.19758305,0.16090563,0.28371105,0.15289494,0.31853557,0.23668927,0.75063956,v291CTvM1cI
0.03856816,0.063208535,0.07702609,0.26111972,0.046022784,0.075432025,0.12294398,0.2970665,Yrl-NR71iuc
0.032902762,0.049830038,0.03353269,0.21979511,0.04406517,0.061642647,0.46585757,0.26211876,G7ihtlYsZlU
0.0168681,0.012448421,0.016239537,0.17926651,0.017754206,0.014297678,0.14360648,0.12477134,ORFNpsGSEwI
0.018464668,0.036638543,0.030709531,0.22164138,0.0319148,0.038640488,0.05527751,0.22251745,ZH4GruHu5Pg
0.051737156,0.04287995,0.05316793,0.19430755,0.02251349,0.14423949,0.17000495,0.39474326,abSoQcDccZw
0.011106567,0.026484186,0.053052608,0.4112534,0.035978485,0.045092057,0.27551198,0.26473105,8KOY5PQdR7c
0.010967735,0.057932224,0.09058068,0.3405362,0.07040393,0.060789295,0.18464284,0.3310667,c2th4K9sdSk
0.04234509,0.08558668,0.105482295,0.33146217,0.07052385,0.15156657,0.61563754,0.37451255,CyZgopmt-ZM
0.02124131,0.03926697,0.06456514,0.20460525,0.030911632,0.07494878,0.02154147,0.21990488,J3jFlSAlkrU
0.018048171,0.123721115,0.11466576,0.32338497,0.08927772,0.265253,0.13591552,0.6269907,XdKX3a5jIo8
0.13521013,0.10378427,0.15104118,0.24760088,0.05026178,0.09753538,0.22080697,0.5296655,fB1afkAaVKk
0.22157386,0.041511282,0.07025122,0.4222606,0.038342703,0.13219771,0.13015485,0.39957199,KUwq8dDb7r4
0.017284594,0.026494976,0.02817696,0.2565072,0.027244505,0.032681026,0.08517064,0.11955642,lM94ubT_pzA
0.11665283,0.0496294,0.04340311,0.263085,0.06444091,0.08322577,0.31889984,0.37697694,AQbmpecxS2w
0.087430015,0.10368239,0.16257717,0.21705219,0.05015831,0.35300744,0.16898473,0.29738602,5FcEjVyFXVE
0.1008549,0.084156565,0.12411651,0.30794808,0.05241391,0.25404483,0.29908645,0.5863584,C-VjqMZRCTg
0.08555053,0.14009672,0.16015843,0.30191442,0.1262789,0.12491522,0.18718815,0.5202688,E0hNxj3k_nw
0.017354012,0.01955739,0.01658151,0.18573487,0.029359078,0.028067011,0.12141738,0.1258736,gkwHhlMM9WU
0.019852988,0.04093116,0.04437557,0.23739776,0.045609504,0.06875878,0.17999616,0.3736432,W31lJVf1pRQ
0.019852988,0.03299899,0.03684843,0.23570967,0.04243655,0.05820468,0.2082629,0.3050282,Bp2qbEMLxOE
0.015688026,0.040778115,0.039922573,0.1926556,0.04146447,0.0542152,0.17587157,0.2298819,zgij2mv1cag
0.031185975,0.13557191,0.20679824,0.34201905,0.125044,0.15325508,0.43622312,0.5837815,IVZuUeg-pZU
0.043375164,0.110060185,0.08673792,0.22331467,0.065152764,0.16422752,0.15390927,0.63484657,9DqLRjAdIGo
0.16827796,0.065875866,0.11053893,0.37374657,0.043087106,0.18185028,0.13237283,0.54470146,j653lt1K60E
0.13431281,0.12194923,0.06581001,0.3330053,0.15855488,0.12237327,0.31001136,0.5575503,jRxpG_hli2E
0.05613239,0.03246179,0.04932037,0.20496905,0.023030583,0.026498657,0.09555585,0.07938073,jvjAUjocivU
0.013605545,0.036212515,0.031122463,0.2635506,0.03446404,0.06500004,0.25834674,0.29827815,VPbEX9_obwc
0.029640866,0.10095793,0.097666666,0.27536756,0.04124283,0.26013818,0.7079002,0.6148795,3TJdrn4na_E
0.033932835,0.11378433,0.11217078,0.30419734,0.08541811,0.18723173,0.19977643,0.5252987,qVxA9LPTyaY
0.05253629,0.029454436,0.0398531,0.36679086,0.036359932,0.074625604,0.18355751,0.30839163,XdY7l3qvnmo
0.01999182,0.04456419,0.043689642,0.18757959,0.028539449,0.052357532,0.11064436,0.27859667,9DJuycT--fs
0.062125895,0.124131314,0.114227265,0.2552957,0.064816914,0.16315737,0.11282123,0.51043904,mlLGGj4gZqw
0.013536129,0.049210668,0.08865394,0.183438,0.02825596,0.099322684,0.17575116,0.39262164,XY8kgPEjSJ4
