PERSPECTIVE_THREAT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INSULT,video_id
0.097575635,0.13898769,0.19010848,0.066366784,0.012911384,0.10903265,0.27992168,0.08435559,8S8Er7aWQSk
0.097575635,0.13898769,0.19010848,0.066366784,0.012911384,0.10903265,0.27992168,0.08435559,RzAXnu0KsHE
0.59919304,0.041625686,0.1960035,0.15421107,0.0067680646,0.20121332,0.5261149,0.14816031,hweaZdbPJK0
0.16338244,0.24355944,0.1666532,0.05256085,0.059328925,0.0759495,0.43297508,0.08055558,jJRS939FRwM
0.16606815,0.45263255,0.3151289,0.11745326,0.42616197,0.23887269,0.5288393,0.29456422,UAypfgriizw
0.1318261,0.108099006,0.10693376,0.05764508,0.10828095,0.0911752,0.4230244,0.10767008,a4xMJZa96wM
0.13510358,0.15544023,0.35945946,0.111622244,0.013119632,0.1666098,0.48927292,0.15718442,sPVfpOB3awU
0.12049905,0.15377714,0.1593233,0.051081434,0.10031791,0.11280322,0.41367638,0.14948449,HiojaPhpZLQ
0.10041841,0.09868856,0.15685722,0.075490974,0.01561861,0.10350559,0.45865896,0.10508584,aXguCYJqgL8
0.14045408,0.038981427,0.14915845,0.084440686,0.04680874,0.07744804,0.46802822,0.0549311,3jNEbuPay_k
0.13692088,0.07859562,0.15319028,0.12924904,0.05253629,0.098038375,0.45340106,0.08863066,5PY7nJe2kxw
0.13685068,0.108116016,0.2997756,0.24171253,0.008364634,0.13919984,0.4935009,0.14407608,otphsTWroSc
0.33896637,0.17844935,0.44318873,0.1391681,0.0034708022,0.26857632,0.52638143,0.19588888,Brd_7XjhEWA
0.098510005,0.34281957,0.17828849,0.056486193,0.03753809,0.090285964,0.35891178,0.07872754,A3q9F5C25co
0.07120473,0.111183956,0.081079595,0.049336832,0.07091636,0.04216556,0.36892352,0.0765866,g1n1CyKVdkc
0.27621555,0.16769236,0.30701983,0.31295687,0.17518331,0.34487015,0.49406344,0.44445896,rVUru5Gwagc
0.073020056,0.2699915,0.1503227,0.06674264,0.030327583,0.07312054,0.2934094,0.08415362,KA1dlOm01IQ
0.12238728,0.115661584,0.388508,0.109883584,0.02655065,0.32139826,0.5435753,0.25732365,BAGOfliy2NQ
0.12811142,0.16266137,0.1367329,0.028894287,0.0034881562,0.095976196,0.44796443,0.06392275,ZeSeYbLqCyY
0.097575635,0.13898769,0.19010848,0.066366784,0.012911384,0.10903265,0.27992168,0.08435559,U9o2bgQGyzY
0.101833016,0.3156113,0.20935701,0.10116532,0.0095794145,0.13136156,0.39569128,0.1419723,BhcErtG4pKQ
0.07402286,0.076468855,0.1487119,0.062987745,0.09279997,0.09648338,0.38286692,0.114387475,39fW_MKh_2A
0.10915867,0.06888453,0.22428198,0.102310956,0.05773066,0.14783525,0.5037575,0.19753169,v4g6ZWE8_R4
0.13914704,0.1692067,0.22386757,0.07295751,0.0012147808,0.14149368,0.43228617,0.121188566,eT7Hjwb-5vc
0.097575635,0.13898769,0.19010848,0.066366784,0.012911384,0.10903265,0.27992168,0.08435559,kV-jXScUpuk
0.097575635,0.13898769,0.19010848,0.066366784,0.012911384,0.10903265,0.27992168,0.08435559,jMUYA4ROH2k
0.08939466,0.14540385,0.115442365,0.041004647,0.03444787,0.053093247,0.47132376,0.046123117,qBJdAQkIW-I
0.23662826,0.388344,0.24343944,0.07294065,0.03049926,0.14320718,0.44236562,0.070553504,Y-Yat-F8Ujs
0.097575635,0.13898769,0.19010848,0.066366784,0.012911384,0.10903265,0.27992168,0.08435559,jMc2TDA8Vcg
0.079311766,0.059916064,0.13965715,0.04774141,0.017006932,0.08075089,0.32743216,0.0741517,nbFBTqAtbTQ
0.17629188,0.14614867,0.24971642,0.16990899,0.0038005284,0.22958332,0.30020025,0.2091924,p7TRjikdQng
0.097575635,0.13898769,0.19010848,0.066366784,0.012911384,0.10903265,0.27992168,0.08435559,5swecHtTpN0
0.55171824,0.2356177,0.20559585,0.11689636,0.12824467,0.18909006,0.39246577,0.1543655,wb1O8McS2wg
0.23444214,0.17933856,0.13452561,0.2882065,0.0253489,0.20089842,0.25367653,0.17247875,5Cni1EQNPx0
0.28211573,0.44052744,0.7407407,0.58523935,0.50994116,0.9493458,0.41985407,0.9091764,XFUfOA5Jqdg
0.1056929,0.0020270883,0.1290592,0.086435996,0.16344422,0.11390711,0.35035056,0.13607287,I7FhcSbZkgI
0.08130913,0.15630136,0.1314092,0.080544434,0.018048171,0.07626965,0.30914482,0.079879984,TqrF9gP1NaQ
0.15280771,0.146951,0.11882442,0.108063504,0.028782474,0.10240453,0.32371062,0.086953275,kBrtrFTzzcE
0.26039344,0.03508194,0.16609776,0.15973753,0.043031808,0.0810969,0.5949277,0.10385686,pe6WD7XFz_s
0.17765151,0.044317473,0.14667627,0.12129584,0.018325835,0.11781408,0.4145217,0.10989488,XWy-UDy8Ub0
0.09758479,0.0007445395,0.09085794,0.060112014,0.16551583,0.088771366,0.3234034,0.07517356,HWAxR0ETO8A
0.27143776,0.15796155,0.48856726,0.26536167,0.010759487,0.24725291,0.59160775,0.17727217,H53npAOC-08
0.09536876,0.27317035,0.20738631,0.054459956,0.011314815,0.08491441,0.456284,0.081746094,HgzzK1_Tq00
0.19437149,0.1692067,0.18193659,0.08901883,0.0028807658,0.10751268,0.4188148,0.0925652,xFIz0xW5tWA
0.26515174,0.1537253,0.07147498,0.034877278,0.051737156,0.044936128,0.38494104,0.049329933,xADVK6VieB4
0.1934118,0.08826671,0.10452894,0.2685793,0.16035037,0.31168422,0.36452538,0.6099004,20XeaOPzSMo
0.4705686,0.36475313,0.36829776,0.20176671,0.21036349,0.24332778,0.4795318,0.23434515,Yd5lAnDMY1w
0.27143776,0.15796155,0.48856726,0.26536167,0.010759487,0.24725291,0.59160775,0.17727217,zeWpnPKwltU
0.14608718,0.073318996,0.1563166,0.08426741,0.10828095,0.13430342,0.41961893,0.18497992,x7oYn8AeqeM
0.24789092,0.011775047,0.08595912,0.20451461,0.1464265,0.20564279,0.35118222,0.2580704,KndylQiVD_A
0.09614206,0.089318775,0.17878535,0.056328073,0.02124131,0.10052791,0.30862632,0.101780474,xTh8nztslRk
