PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_IDENTITY_ATTACK,video_id
0.10521877,0.26240125,0.107147835,0.058130227,0.06832579,0.041260365,0.03628229,0.056113333,zY1269CaCFk
0.040354356,0.26323682,0.26283687,0.058130227,0.0463389,0.06411877,0.04631168,0.066708915,cvESbL06ETM
0.07550772,0.25408295,0.27207595,0.08447654,0.1125746,0.06724005,0.089109294,0.11447564,rcWUFyIUuXo
0.31427157,0.68023986,0.1198818,0.12180476,0.06297599,0.1125455,0.0740226,0.047218934,Jp2APGqxH24
0.24059755,0.24290286,0.25761706,0.17957193,0.17404711,0.075787894,0.1128664,0.17367911,hxIWRPMI4Rw
0.1897772,0.36117554,0.18096836,0.035477944,0.15649213,0.31836563,0.21270274,0.21196982,kPOEM65BIMU
0.035337735,0.1753513,0.055711932,0.06252546,0.032118425,0.027949888,0.026011309,0.03197129,gA2UtJJ9y50
0.26809442,0.31427032,0.17056356,0.09763293,0.3592094,0.10112635,0.17492314,0.13837776,6f2ZldW1sOI
0.14804135,0.24430852,0.08619488,0.0063862763,0.0239414,0.033928417,0.02749694,0.042140335,_HyaCTgzYUE
0.2721757,0.6759389,0.12467503,0.060927194,0.031310197,0.09138857,0.046118017,0.033366118,r6cJl89axqY
0.119575,0.3418292,0.20854977,0.03770977,0.10547984,0.18305641,0.14493468,0.13750936,BLGMfxbPDB8
0.13295697,0.38534415,0.24972115,0.15217799,0.111668766,0.13533458,0.11476765,0.21577348,DCwBkGN5iMM
0.17747158,0.65048003,0.15219256,0.0825038,0.049178544,0.1277202,0.0712203,0.05356341,IQlVBewbrUg
0.07533677,0.29264793,0.14200135,0.06412373,0.05874238,0.07920264,0.07003701,0.0719004,ewMksAbgdBI
0.09425934,0.23652983,0.09720137,0.1473238,0.10926198,0.052354425,0.10117312,0.109660715,tlanNyZCsR0
0.0831192,0.4409814,0.42051512,0.055333257,0.10207021,0.26631877,0.16605645,0.118626356,36XXD8y7Yxg
0.22147034,0.20327249,0.09627257,0.08050597,0.038909778,0.057466246,0.04784479,0.04781808,fGqtZbdjhNU
0.014615214,0.51440483,0.42136982,0.015826859,0.07029337,0.21751869,0.14207374,0.15185332,hHew1AMPRZA
0.15200602,0.15312102,0.05360056,0.045778666,0.031071814,0.030703207,0.028173687,0.038673952,GfbpU9Y6ltA
0.078196615,0.3277153,0.10501696,0.08689302,0.43116295,0.1094135,0.20072404,0.17194617,RL_c5CRJUko
0.12230896,0.4024949,0.1351626,0.08689302,0.06191804,0.16325969,0.08281179,0.039795242,sCqQ3d1k3Vc
0.11712797,0.55251265,0.075032644,0.061726328,0.018955113,0.10945843,0.04900108,0.05230456,NQ6M0O7N-4o
0.028005011,0.23083463,0.04597129,0.0495556,0.019517252,0.03259238,0.02224957,0.021912795,lIOjk00njxM
0.047113035,0.34630042,0.20924002,0.0041996706,0.30039313,0.1397336,0.2266064,0.19185153,CNb2cV24wr0
0.08102675,0.23607802,0.05464536,0.07970683,0.022463528,0.037930552,0.024190644,0.026307631,vzaUdSnUWS4
0.124860376,0.3289287,0.23924914,0.08330294,0.18210337,0.1611968,0.15344362,0.31857172,Ri9jiOQvBXU
0.09424122,0.1794341,0.068067916,0.031185975,0.02587109,0.03404132,0.024771793,0.027639916,vSFcn1U4wNI
0.14312452,0.43303528,0.3557016,0.13790205,0.21711282,0.19303218,0.2486114,0.2979929,sPMVkJAVhG4
0.17971449,0.20079042,0.06756489,0.1019289,0.03293729,0.056539997,0.040641617,0.044334877,iNhN4rPWwCI
