PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_PROFANITY,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,video_id
0.048320476,0.03327844,0.059671473,0.06412373,0.03898131,0.09061675,0.18899064,0.29115534,d4PCl99-TgE
0.059634622,0.08331138,0.0943772,0.046122026,0.059692718,0.07239333,0.26214465,0.3871164,3hSvv1PBFcg
0.07911264,0.25603077,0.10263734,0.040284947,0.059710495,0.09070699,0.33103618,0.42495608,G0kLQfFAp9s
0.16833882,0.06371973,0.14310087,0.1250247,0.1239347,0.14151636,0.41802806,0.31740224,jZxu8D8z3pU
0.09037368,0.101765536,0.1590604,0.16758743,0.0790353,0.16586201,0.206435,0.40326965,22o2QWEHGfw
0.032659512,0.07961519,0.03760554,0.032559406,0.017686253,0.06308309,0.16030684,0.30570066,mjHWa5W_RAw
0.14774655,0.16619608,0.13084082,0.0053797434,0.121445164,0.143031,0.27201846,0.3321651,c_Wer3RQNoc
0.2101577,0.14653024,0.10312319,0.16275369,0.13350658,0.036869094,0.62361175,0.30626926,UlkG3tNrXls
0.12420263,0.048949007,0.16604377,0.13206954,0.16770796,0.20600371,0.263967,0.53022856,9LK57JYc0Sw
0.056218147,0.17414728,0.047006264,0.037023053,0.022497073,0.066490404,0.08708227,0.3553592,P2NuLw6hL9w
0.06476501,0.012091013,0.03762504,0.02193547,0.04303868,0.031206274,0.16699345,0.33967596,TWBsZz37QNs
0.024616292,0.03544093,0.017708812,0.040284947,0.023093887,0.020530332,0.18216932,0.32138482,R9dDeUwXqBU
0.17653541,0.03700371,0.13993154,0.10515087,0.16141303,0.052892048,0.2626626,0.32023185,DERxanVglwY
0.17219429,0.0011145383,0.05036495,0.06372416,0.121500365,0.04154639,0.1302109,0.35197705,ej0qnVccI4k
0.0091375755,0.11210192,0.009162642,0.052935857,0.015935048,0.0093257,0.06526043,0.21170746,wFS1oRsayUI
0.11654283,0.14815332,0.12245612,0.25676212,0.15611559,0.06384837,0.21364485,0.25598633,d7wWfqMgmuU
0.06808364,0.12722766,0.098906934,0.3490159,0.1438956,0.036755856,0.10713512,0.2251795,vy140gRL1z4
0.045634724,0.061307333,0.052660283,0.07131593,0.13214652,0.036596,0.12878247,0.2948706,QlmIsrCxqYg
0.074248224,0.001327566,0.053085327,0.038224805,0.066213325,0.056011897,0.13070461,0.36546808,EEAn4gKz1q4
0.025362173,0.15531331,0.02880194,0.05773066,0.028964145,0.026375238,0.15192589,0.24383572,wqLGXoWrqhU
0.1484483,0.05776526,0.16843624,0.008225801,0.1713008,0.15101074,0.26073107,0.335223,oMfrkdehMDg
0.09993393,0.19871423,0.046864953,0.13835071,0.057315405,0.10731036,0.27534577,0.42968935,9OXP_2yfo70
0.03581767,0.04871086,0.046377465,0.0471521,0.074865416,0.037997466,0.1029593,0.30311,tsjHK7XKLk0
0.027293768,0.10389522,0.07388382,0.0334178,0.03792855,0.057849344,0.124998264,0.2742711,0XwsCsQsO4M
0.29245058,0.0006578133,0.21584699,0.19862764,0.29907972,0.10916869,0.59741354,0.41274416,gU-bawSp9Rw
0.042934645,0.11069057,0.05553027,0.1580154,0.0634808,0.051677994,0.16174881,0.2696111,L8j2gPZzjDc
0.11265608,0.027323041,0.06003756,0.03994159,0.12787698,0.03729997,0.26318225,0.37691486,xlFPwWUCCOA
0.050738305,0.08209767,0.06536693,0.092262976,0.055599462,0.048859626,0.20295851,0.22745836,5wtkA3n9gG4
