PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_PROFANITY,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,video_id
0.14541686,0.07040016,0.061998636,0.022773718,0.11179051,0.0480541,0.25057146,0.36206916,q7cxu4Lvv9s
0.030509338,0.19142698,0.029894115,0.020685982,0.02074849,0.043685,0.063420154,0.16062593,4O03Qz7l9GQ
0.03908089,0.2580701,0.0451853,0.028439116,0.09755107,0.03215453,0.13315232,0.25273627,UJjUFO_COUI
0.025052685,0.23795904,0.023352636,0.13924801,0.03580686,0.015075136,0.052287728,0.18320183,Lemy0aNa5zc
0.05511455,0.03194662,0.05391929,0.065721996,0.039031733,0.09905123,0.13714221,0.28935426,6WbvVz_gP9A
0.06709906,0.03208796,0.061282627,0.31389946,0.07009439,0.072490245,0.15990478,0.270098,K0YrFoOVTjU
0.0487322,0.17059228,0.032885794,0.040628307,0.06202261,0.040502075,0.060596462,0.27328587,T3WfZKzjGyE
0.116935335,0.43956703,0.47858325,0.44509158,0.71481466,0.043832406,0.32411343,0.20026945,pIzpolYCHII
0.03250429,0.09462896,0.0438973,0.119228795,0.057232503,0.043254204,0.23372243,0.29415402,HoGr8gxJ2C4
0.009461007,0.34557587,0.0062265,0.055333257,0.022726402,0.009149864,0.034837183,0.18612608,TpZ4K-QM2p8
0.2955343,0.086019754,0.17388771,0.07211506,0.22410248,0.14099136,0.58725095,0.49602965,HVTcsw1CW8Y
0.074456446,0.26385784,0.12769066,0.13476147,0.10752335,0.16534226,0.1369258,0.6734721,qvu5O6clNv0
0.02581347,0.1093158,0.01794877,0.020824814,0.029638493,0.019461457,0.061673496,0.14511548,80I06o4tc28
0.024183774,0.35504997,0.022716774,0.039254878,0.033471238,0.021640493,0.0776422,0.1494049,nsBrgsGS35M
0.013476749,0.15619937,0.006830908,0.023632111,0.0389462,0.008848429,0.035188444,0.22517185,95WtJd2u61A
0.03233322,0.17167753,0.015167684,0.025863936,0.024783034,0.014294577,0.064314164,0.18702999,UItCDpWQ8so
0.02777623,0.11987036,0.025325043,0.036851373,0.042698994,0.021901166,0.2048488,0.2594777,S2tK9NGw0jM
0.083732456,0.124624014,0.07291882,0.2015616,0.12481263,0.062001042,0.17889148,0.42760167,JQpLILPdGlQ
0.29176214,0.18508351,0.16006756,0.10828095,0.24570447,0.11549814,0.32217884,0.3663268,MHByP-3MhS0
0.041766446,0.09979961,0.03299293,0.084745035,0.051866964,0.032177072,0.08421594,0.19685742,UuuF7CEM4Zs
0.18872342,0.48931122,0.16676755,0.2712817,0.32222506,0.044698887,0.15013804,0.16506205,mFoA7k63oQ4
0.05162296,0.10243028,0.09329377,0.09118898,0.129023,0.077630244,0.08718637,0.3054169,l7SLaYkovFU
0.07022623,0.14342465,0.10463989,0.050585672,0.11376578,0.12064095,0.13184805,0.35142663,CXEMFjdeTvE
0.030843236,0.046250403,0.039852798,0.055732824,0.021210575,0.07033885,0.19173503,0.35898346,U0SEF1MKyzQ
