PERSPECTIVE_THREAT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,video_id
0.09223764,0.030811585,0.038022447,0.026241278,0.016590435,0.029552845,0.083057486,0.16428591,xy9yxeaFP74
0.04239584,0.02465842,0.015276095,0.01671675,0.018464668,0.013832316,0.087900706,0.21197745,0JuRzN6T70I
0.11814958,0.13930975,0.1353617,0.4432822,0.5535644,0.9066618,0.3925724,0.19384103,SMEOKDVXlUo
0.44378966,0.070488706,0.13358305,0.12953576,0.032731086,0.112588294,0.1492631,0.30323058,vPMDpb9ho4s
0.3987076,0.17300388,0.11609769,0.07703147,0.010759487,0.11704537,0.11832117,0.45034367,uULy2rc6YDc
0.23574267,0.053478647,0.03280376,0.0370658,0.01527153,0.029856348,0.19694567,0.32146084,Wn_Kb3MR_cU
0.17141698,0.09104099,0.06111902,0.039659735,0.13082063,0.058299307,0.08896673,0.25469413,rcNg9KsXuMc
0.10042137,0.058185756,0.04636993,0.03595479,0.014785618,0.040300593,0.034213327,0.32159826,PpC-B1ohVxQ
0.4453586,0.24538477,0.13800658,0.08820974,0.01999182,0.21080801,0.067634,0.38503584,dl8Hl91siM8
0.47570094,0.18050739,0.11363874,0.074967824,0.055333257,0.1590098,0.029472347,0.6433529,Xq0zpHPBq1Y
0.38999483,0.09709729,0.120237686,0.063728996,0.085282035,0.08462751,0.08806423,0.33559766,8AtGrwSN8Nc
0.25626794,0.31516626,0.16014928,0.14906426,0.1250247,0.21669796,0.26206607,0.41548684,G3psxs3gyf8
0.11101742,0.09630705,0.046538524,0.032717995,0.020408317,0.059851933,0.08662937,0.3850502,ZOlNtEmaiTs
0.07100854,0.12494776,0.08065318,0.06240097,0.012425472,0.07758176,0.042511262,0.35758197,RaQKTgGyyyo
0.06579144,0.053110205,0.059174996,0.05639195,0.02054715,0.05389342,0.11285606,0.23221628,OSkn5qZws3w
0.14665648,0.034946166,0.035874076,0.030915923,0.0224908,0.0176293,0.049886715,0.28943554,mr2l_QWebxY
0.25889894,0.1896991,0.14019558,0.06130083,0.025863936,0.10664819,0.09381851,0.32351914,6SGbc8eJzEY
0.06277679,0.054632567,0.038104918,0.02746616,0.018325835,0.041586615,0.06088447,0.18226771,4oB6BnYtxbk
