PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_PROFANITY,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,video_id
0.077752374,0.31458488,0.13404554,0.1668969,0.39571622,0.14416234,0.31161404,0.3226123,mxpsFMu4Dx0
0.058749788,0.4569099,0.068778045,0.09172598,0.14596161,0.053654313,0.19758843,0.19323097,9wtn-JbJNbM
0.16681272,0.5567163,0.2245353,0.1019289,0.489063,0.2400028,0.3392111,0.44424793,raM-F94QPpI
0.08442344,0.61137646,0.109404445,0.12244874,0.14341201,0.06635199,0.3666792,0.15914921,YZJVLiUQKqA
0.118223384,0.6285269,0.099204026,0.12888865,0.21154588,0.11446921,0.2640739,0.12389157,hqYs97FG6ZU
0.07024066,0.4389457,0.0397896,0.062925026,0.10042986,0.031913344,0.23595774,0.11558581,4dW5HP3mQ_s
0.13421261,0.3296525,0.0749299,0.1668969,0.17501302,0.07720309,0.38907814,0.22620967,r9L9sZhuFus
0.08420583,0.6311461,0.13316339,0.22979778,0.4016266,0.23436031,0.25465032,0.17738959,qq8YkVg-KAc
0.0706737,0.62835497,0.09791926,0.15334547,0.19723567,0.10348988,0.22873183,0.24236707,plfn0d7s2CE
0.06475844,0.40511718,0.17406398,0.1731117,0.31818923,0.22376405,0.27193663,0.31525064,e3b6JT0kiLU
0.07159447,0.14056447,0.068372905,0.077709,0.2509033,0.06935811,0.33801466,0.26717874,zuMvutNEqso
0.072155416,0.69201064,0.13757999,0.21362646,0.52395076,0.23934299,0.26848504,0.2694533,tzLcqDk7kjg
0.061450705,0.62869877,0.09558738,0.09118898,0.22147873,0.13534427,0.2941445,0.26678556,fFNVsmJWndo
0.25248617,0.19346216,0.27575722,0.38959074,0.5807752,0.33314642,0.47767973,0.40276745,9pET0JPW6bo
0.07782139,0.7079002,0.10388369,0.13924801,0.44441628,0.30878162,0.3537633,0.15777373,6xMGRAhZAes
0.08432804,0.2833,0.13776183,0.2965773,0.4399005,0.17017436,0.30819175,0.33833843,ALZY1PAa2p8
0.08240772,0.47250757,0.10034414,0.13386416,0.29773125,0.11109344,0.32766262,0.22963499,UD8A81Vhh4Y
0.064480335,0.33469325,0.048063107,0.13835071,0.13608555,0.049805425,0.18766089,0.10474095,8sGbLdAt0LY
0.08432309,0.4492889,0.06266842,0.14283726,0.16465792,0.04615613,0.23831736,0.33622336,cejZKnURf0w
0.072368406,0.63722223,0.100717604,0.19338597,0.32749262,0.1532267,0.28198895,0.2866322,Kgx49-lJrYA
0.063026324,0.41111073,0.08953176,0.1256687,0.1469354,0.12218618,0.32869068,0.16608907,WxUggD7LDqQ
0.105246566,0.6392313,0.30927104,0.20376207,0.6350989,0.37060398,0.24998517,0.15653622,TS_nPhsMw0w
0.086444214,0.32357216,0.16633481,0.36944604,0.58059186,0.25246462,0.3743491,0.764502,1SSn1XZ1abs
0.09839504,0.63116616,0.11509055,0.08050597,0.37171888,0.1451208,0.43893105,0.31320605,q8XWnXP4jFY
0.22952095,0.46814045,0.09829034,0.22990796,0.1592032,0.06753572,0.44972333,0.1929154,HXmaEJ3Yd_I
0.2455059,0.5680319,0.24856938,0.17242117,0.57769847,0.34831327,0.36400735,0.5584,KtJ3s6YECAc
0.06374378,0.11538324,0.1090105,0.25676212,0.39037573,0.14112437,0.37087694,0.35762542,lIMPQPNmYEE
0.06799517,0.32415727,0.057691794,0.085282035,0.1606537,0.052920226,0.1905645,0.14771761,Xf0Yt8ToaAI
0.06799517,0.3241572,0.057691794,0.085282035,0.1606537,0.052920252,0.1905645,0.14771754,Q6NHK6mgy_A
0.13906208,0.4394098,0.08353221,0.11536485,0.1567019,0.041583642,0.39045393,0.27629286,_xHez-mMG70
0.108985044,0.44057584,0.091015056,0.018881164,0.17330182,0.079341955,0.3726735,0.21044819,a3r2B1Z4-D4
0.0967969,0.5680319,0.16313475,0.13790205,0.27799025,0.16420934,0.36251038,0.35272965,mwSPOviOJ7k
0.08614004,0.7079002,0.15653475,0.17380224,0.48199952,0.2989359,0.26684976,0.07733146,nGaOVT75-Yw
0.060336847,0.6622279,0.088079624,0.111500904,0.14053544,0.058595296,0.32140324,0.1450028,TLROQ5wf6os
0.037262913,0.32340592,0.06055321,0.15976663,0.18860544,0.0648006,0.2479736,0.17536773,frLdug9qNDE
0.10396609,0.040339995,0.07241992,0.34388447,0.2608481,0.092121765,0.35499242,0.32367226,06ZMIv7ASng
0.09666568,0.22807753,0.08233165,0.10892494,0.19246373,0.07576818,0.335116,0.3945994,YJUYgb242-E
0.057509292,0.4417568,0.06245076,0.14552918,0.14309382,0.06409223,0.23691742,0.1415798,nWqFRUc6XGU
0.054020833,0.6491575,0.11775737,0.34792873,0.5826591,0.17561638,0.3162994,0.23041728,n1qJGLwGvPg
0.18077469,0.630332,0.15677364,0.1250247,0.3225383,0.14732322,0.39830118,0.3656454,A3KuzMDkPac
0.05571807,0.5487535,0.03794807,0.10892494,0.10592489,0.037790988,0.23228373,0.10814162,3vNx3jELcqg
0.09457927,0.27140236,0.08535551,0.09763293,0.22496967,0.08257992,0.33648548,0.37020355,BED_D6Hc6TU
0.05746666,0.63014543,0.072349295,0.06851897,0.27798507,0.08382307,0.26596382,0.2655864,KQpdgtk7xCs
0.0838534,0.26432246,0.097081386,0.08050597,0.2031507,0.07603602,0.28385755,0.31885135,nZTIrsexnhc
0.13949709,0.17635708,0.13642226,0.06532243,0.26902226,0.10504577,0.28395995,0.21640229,E2KL8oHxW8A
0.11306548,0.5934926,0.13089713,0.10763696,0.2786582,0.14188592,0.36592886,0.334355,weuyJFcI_E0
0.082099244,0.33469325,0.07148515,0.15071863,0.17697707,0.063845694,0.20140155,0.14606398,oR79ywYT-eo
0.08487341,0.229646,0.05940209,0.07571117,0.119222835,0.05118832,0.267238,0.11658489,oE6wISHWlp8
0.075352855,0.22803728,0.04871324,0.052136723,0.12567772,0.049873497,0.291174,0.1267573,CFjK3BLDLr4
0.13538724,0.6134577,0.32924244,0.19634613,0.44758034,0.2806844,0.28594598,0.35172898,J03o_PHFXPA
0.06271487,0.20299591,0.0527779,0.089041,0.1495345,0.07533835,0.25505346,0.106470704,ihnuYXKBGZg
0.026666421,0.33253774,0.02718407,0.15451296,0.08804311,0.039631564,0.27381697,0.13009056,WUBDHs55_1U
0.05350621,0.64542,0.109484255,0.1510105,0.29193068,0.09402943,0.22388905,0.36556756,a1-VBgENZ7c
0.026087973,0.44144621,0.042783923,0.058130227,0.15977126,0.09505632,0.25521532,0.13987505,BzXQZvr2nvY
0.06691696,0.07963891,0.11012661,0.14552918,0.30650726,0.13549374,0.37382185,0.23418103,LygIypMuxv4
0.09513918,0.22463313,0.1734598,0.34388447,0.41894132,0.37989646,0.4529975,0.47993517,d1cFYh5lNOg
