PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_PROFANITY,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,video_id
0.07458409,0.5730495,0.12770753,0.2885035,0.20400581,0.13309024,0.2342248,0.34816745,xrm-1uzBmQY
0.18047623,0.017107066,0.12312572,0.11021292,0.21345384,0.097468175,0.45100164,0.17706451,hqaCDXosfuU
0.8657565,0.8294702,0.43730053,0.3437808,0.58523935,0.45226824,0.62076354,0.6309102,Y-gBQYl07KE
0.044475388,0.68169504,0.101142526,0.16035037,0.18820876,0.14800185,0.31625035,0.18071674,Fuap-T-YQFc
0.047591858,0.33218452,0.08996758,0.20816301,0.290207,0.12003583,0.30998445,0.23220594,-aPLJT6pfFY
0.25403947,0.7862751,0.12990882,0.3905958,0.28580824,0.14090998,0.32307518,0.05850782,F6Rc11HDFkU
0.08391727,0.65057033,0.23042484,0.17759849,0.6163976,0.36938757,0.2542375,0.1574371,Imxl0Oty6ok
0.11270162,0.43787742,0.12274797,0.09494796,0.31262994,0.14402561,0.2694123,0.23059109,beOAJz_pUxI
0.10349688,0.6893048,0.17220397,0.17587385,0.590724,0.43547836,0.40085426,0.24844323,ZwEWqT9XCyM
0.071941905,0.36932576,0.069922425,0.09655894,0.1801376,0.06737924,0.1957589,0.13222536,o0XfxZhyNqQ
0.118250646,0.34508193,0.07861893,0.05253629,0.18868604,0.06590382,0.35771158,0.27806962,mjztzqT8JoQ
0.15547247,0.4390746,0.14386334,0.13206954,0.39724165,0.20941448,0.31532112,0.5274114,YKyEjIPnuLU
0.16650584,0.5005202,0.10548909,0.05653196,0.19307151,0.07954066,0.43088934,0.21493247,y0hobFwF9DY
0.09957905,0.3927415,0.11594742,0.22598907,0.22191139,0.28016186,0.28404596,0.31249136,Q5M4QGMVuEA
0.23033892,0.44011116,0.14977108,0.15188612,0.19603243,0.10947448,0.35341865,0.26521719,u7pB_4qVCXo
0.05423097,0.3484655,0.044218943,0.054534122,0.17161691,0.054006796,0.26418388,0.083282985,8Zy6DQoRYQw
0.13441582,0.81564796,0.25966617,0.3093897,0.58523935,0.61192316,0.39004278,0.26343971,xfMAq3yD9mQ
0.110475555,0.45843574,0.11921667,0.028267438,0.22921638,0.082630575,0.32926792,0.45142433,0b1aw4_7YG0
0.1486992,0.19676317,0.2508749,0.18746567,0.55387735,0.18375549,0.36708763,0.24741338,KbzPDoEgO_s
0.060604963,0.7079002,0.04337119,0.04131502,0.1443702,0.05270629,0.26121283,0.13416074,S1Ja9fSAkT0
0.05706501,0.4515117,0.07076794,0.09387396,0.17362729,0.10312805,0.37104243,0.2642901,jp4Ioxv1UEM
0.07972586,0.6489228,0.06522919,0.11600884,0.13410142,0.051982693,0.2741134,0.17914034,we45ySMOjXQ
0.12429192,0.4378672,0.07696512,0.09870692,0.16637966,0.06663912,0.29017228,0.1790806,tb5JiBUXs54
0.062291164,0.40680358,0.040490996,0.10828095,0.15498313,0.052510157,0.36821958,0.1490626,2vowjNXDm-k
0.049428646,0.43769264,0.111266725,0.09816993,0.41221547,0.13966365,0.2178367,0.21362579,eaEwaYASKkM
0.06158659,0.31412944,0.047041215,0.11729682,0.16920118,0.058121286,0.2674078,0.087454215,UZhW1k_m7OY
