PERSPECTIVE_PROFANITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_THREAT,video_id
0.15905465,0.6200612,0.44298556,0.28514004,0.5124493,0.068828315,0.4453114,0.20845291,FLBCqJh5R24
0.16685124,0.32896492,0.15217799,0.27985802,0.3382878,0.069967076,0.39168647,0.32106236,yVNpnKI9JTY
0.04119302,0.12562332,0.0224908,0.25050467,0.15814443,0.03925627,0.1945439,0.2098638,ueyHqgEuOJQ
0.15395811,0.29449362,0.08689302,0.20030469,0.28579688,0.08070011,0.20014706,0.2607703,3IOthQJwKzQ
0.1642825,0.29506344,0.24418297,0.28122547,0.32536846,0.07607679,0.2431277,0.38825953,XLIzifsRUjY
0.21435958,0.4754803,0.08170467,0.20830123,0.48599678,0.057262756,0.25662538,0.27026612,U_gw5i93T5I
0.14876479,0.28332356,0.08689302,0.20390831,0.24621817,0.089326955,0.13544571,0.20099552,DJJMbKOIQAk
0.09106501,0.26415128,0.11536485,0.36574984,0.25441495,0.07422851,0.43693808,0.2566975,uBWCY0yF_5g
0.2490425,0.45877904,0.15684792,0.19002938,0.3016097,0.07166754,0.43927172,0.57004637,WtgGzKRHT-Y
0.18384199,0.41358012,0.12631269,0.17973097,0.21780151,0.08931199,0.22789769,0.42518297,7bxEU5Jb9vI
0.2602997,0.52741796,0.42092466,0.30319765,0.58827555,0.040415987,0.01645742,0.24007308,MWePrOuSeSY
0.041947436,0.110211544,0.04406188,0.3175545,0.22865589,0.050481774,0.2447553,0.24324474,Gk9T7ngEijs
0.3131559,0.5437149,0.19634613,0.26180437,0.6127275,0.12656718,0.3706393,0.31414494,Jw92hIfj75A
0.18095672,0.39507142,0.12824467,0.2651829,0.450399,0.07322366,0.19434902,0.333471,1Y6K8Q2QQS4
0.33191338,0.41903794,0.00068548345,0.46484444,0.44404486,0.26263803,0.1856723,0.5306954,9vLgVubjWVs
0.11479015,0.34991407,0.39694545,0.40226457,0.30096373,0.08330163,0.44615215,0.5011637,5lXbpgU9OWk
0.13078544,0.41624993,0.38567963,0.4190296,0.28261667,0.065758094,0.37251055,0.4955816,DAPkOxRnh4c
0.215388,0.31498295,0.17518331,0.3776711,0.22115076,0.12595357,0.51042104,0.6392727,jQ95xlZeHo8
0.1367913,0.49158227,0.1580154,0.27960086,0.43609717,0.066772565,0.45111254,0.26121613,OEDhfj71L-Q
0.19729915,0.31139258,0.17587385,0.19386181,0.374006,0.06430928,0.17240731,0.25191766,XaK8b87myKg
0.0978836,0.17082456,0.012217224,0.19287758,0.24309413,0.033577137,0.3738334,0.32125258,uiLJxg72ljQ
0.32227826,0.6080559,0.3897107,0.36386454,0.58413315,0.11674431,0.18081744,0.7637085,so2iVd7FxXY
0.23801906,0.5684842,0.44509158,0.29398355,0.56971097,0.07775532,0.19142735,0.55817413,yYvyZIGH04k
0.20297565,0.35675552,0.13745339,0.1797686,0.34137198,0.07477258,0.23556167,0.29778355,2wCsr5aK0_w
0.24814007,0.5398545,0.19789414,0.33624232,0.56133103,0.090935804,0.21303953,0.56417,AMssGwFLgro
0.20494194,0.5064065,0.25676212,0.16482933,0.34853116,0.059971165,0.2898384,0.32791832,YnAUy4BM0w8
0.117446445,0.2193445,0.14687516,0.19607532,0.1007632,0.09910792,0.23343742,0.3165507,fu09PRd_j-I
0.25306383,0.58548355,0.31725118,0.5275932,0.5409278,0.12617046,0.49810803,0.7134567,TqEZQxP1azM
0.14969411,0.19956417,0.07091636,0.28882772,0.14543425,0.11487089,0.16511525,0.48570934,Dc5Czy6mGEw
0.09267867,0.29669514,0.19716066,0.17726493,0.5137042,0.038902394,0.17727096,0.24537589,4Cyaur7X-WI
0.100806914,0.25743404,0.12631269,0.1473879,0.24013358,0.03315435,0.35382494,0.08922544,tW1-h1ytJf4
0.2131437,0.23905903,0.09172598,0.35607737,0.39975804,0.15937217,0.111249134,0.4716213,vSLdzdwlb_I
0.17740421,0.18692607,0.0142302895,0.40261063,0.33628154,0.08096627,0.26184225,0.612173,sC9Iz_z7Dso
0.16346364,0.28790563,0.1008549,0.33898535,0.35705754,0.09616482,0.1388638,0.50103635,ZSHpFUxOgBI
0.08300741,0.29273313,0.040284947,0.21025649,0.3311391,0.038356666,0.28195515,0.16796137,dFe0g4BDtFY
0.15770324,0.49141413,0.4945446,0.19009364,0.36133245,0.048956256,0.3719192,0.1342299,VKWhjEZ4Bgc
0.11933724,0.24998912,0.026894007,0.24525951,0.34480757,0.048422042,0.24257527,0.2501597,qDXo83OtzgE
0.13018589,0.2507506,0.2297899,0.18594173,0.25215822,0.047354776,0.31575388,0.26237842,mX1F1jXbfUk
0.18300106,0.39684072,0.2889918,0.21013084,0.42722172,0.06677156,0.27323362,0.27299526,XUAsU_zQVMo
0.31217805,0.43664426,0.27194336,0.38213328,0.68785954,0.15390284,0.33117953,0.32508075,FpEfOkBaHlc
0.0133211445,0.032653086,0.13835071,0.20762688,0.025570624,0.043276224,0.272845,0.03582625,PaT__mzkHbA
0.14184333,0.26697406,0.15042676,0.24018165,0.2096841,0.09126039,0.36490473,0.29213238,8eoJTdXHPDY
0.1957718,0.23391053,0.15217799,0.2247813,0.34220156,0.07189538,0.48016807,0.41857347,i_j5jOadcVc
0.19119881,0.4056567,0.355017,0.26205236,0.45243096,0.077128105,0.37002307,0.10841996,OR36jrx_L44
0.082086325,0.22893411,0.0056574075,0.22836487,0.2531188,0.03455957,0.4406458,0.3524138,o8TpZk-ITiM
0.3662069,0.526765,0.46292964,0.22996297,0.66596556,0.103630446,0.45587593,0.568541,mx88khQVkGk
0.33439547,0.5782721,0.35870504,0.35768577,0.5237844,0.20729236,0.33918366,0.5067492,QX7shfjuBe8
0.13707845,0.55836976,0.10892494,0.27126732,0.44447452,0.049450394,0.4477403,0.17748807,62JUI-v7pIs
0.14873195,0.2150574,0.31389946,0.19885378,0.53687125,0.05357866,0.22717887,0.20625898,4KZWR_0Wyqg
0.34190634,0.48884323,0.22983712,0.19147578,0.51464725,0.09234092,0.5227079,0.22517958,XEDda93M_mg
0.05210364,0.19045784,0.009926494,0.2523582,0.22552782,0.028408347,0.29403645,0.40816078,5pu_D8YgE_g
0.12006586,0.19633229,0.008503466,0.37536496,0.27267617,0.1297371,0.23567478,0.30054796,haBENW96T5g
0.24058834,0.588808,0.44820568,0.41600546,0.45973113,0.12678686,0.28051683,0.57738775,lvkP45x4ElE
0.05583896,0.1253674,0.016521018,0.2608109,0.11450475,0.059713297,0.46315563,0.2791591,E28LfTbhEiA
0.15303364,0.417454,0.2712817,0.19020891,0.24408334,0.063955866,0.30170295,0.34591323,CMzXfOv5Io0
0.0038184868,0.001157773,0.0789077,0.43501103,0.005356755,0.12424924,0.43852094,0.026392104,J8X-SZfCWPw
0.19006912,0.50402045,0.12824467,0.16481636,0.25617802,0.08071426,0.28446075,0.49242094,iclWth_VvBs
0.16014475,0.52313954,0.17759849,0.13460566,0.32027718,0.01530806,0.40327868,0.17246765,sGXl7TR6BDE
0.11532891,0.294619,0.013813793,0.34827816,0.2947483,0.123200625,0.1850166,0.3643943,0H-6iIyQ9Bs
0.15280457,0.25576133,0.059328925,0.26029706,0.3126802,0.063294195,0.12944168,0.40117484,FU5nUEfCDdI
0.102791145,0.23415758,0.11407687,0.35272798,0.22617874,0.1313685,0.61044145,0.40163195,jskrIjwIxsk
0.11967865,0.423415,0.11729682,0.23775814,0.34427238,0.026548097,0.7357129,0.3806427,1pHD09XY5mM
0.111112826,0.2275998,0.40326482,0.21233216,0.4165881,0.039472297,0.3973427,0.14537644,pgxWbldQVkE
0.353257,0.7356706,0.1510105,0.45737675,0.57008356,0.21079952,0.60739833,0.5517717,Iy3jYIqRIJg
0.2363289,0.29757434,0.229845,0.365791,0.47242615,0.15939249,0.45299453,0.31425408,T1HQKB2txgY
0.14213403,0.27797264,0.355017,0.25461775,0.18379608,0.11955045,0.2503909,0.21060091,p4e8hYQcyj8
0.2045855,0.2711076,0.026894007,0.353448,0.20657732,0.17136812,0.36103413,0.4434318,T9j6rQ4rtQY
0.21239167,0.2526616,0.046465382,0.31280476,0.24586795,0.13980415,0.634046,0.4239,qImjs_LS33M
0.06410626,0.1735579,0.1894391,0.19057155,0.2170379,0.033426207,0.13577005,0.04441877,oSU9570V5D4
0.19502345,0.39468172,0.19338597,0.2196916,0.41311395,0.05813412,0.2777172,0.35090697,cnWQWa7U29s
0.16529441,0.26832584,0.073313765,0.20894821,0.29400894,0.06422076,0.3243172,0.36843002,VweAtdc3dyM
0.4991083,0.38830763,0.4292556,0.43462208,0.4237772,0.60635954,0.34000295,0.40703705,DFRA3vX2Eh0
0.1483446,0.58205086,0.11407687,0.23216525,0.28059816,0.092634596,0.42425692,0.2799863,8wBwBY28wBQ
0.14894646,0.41146284,0.22422299,0.33369607,0.28121135,0.120326124,0.18276033,0.5126911,q8hrFwfhwNw
0.20259388,0.27891225,0.39108577,0.43167692,0.2608043,0.22844347,0.5527507,0.2633473,wtrI_i0ba_g
0.30781528,0.5792734,0.31089294,0.21993281,0.45479724,0.060865626,0.05595247,0.41884592,i3Vy2BPmMS4
0.19377962,0.3397889,0.37083253,0.40276387,0.24989277,0.16093656,0.43980026,0.46931705,zatA90699qs
0.12057138,0.23894736,0.28874767,0.16775621,0.105433255,0.06584358,0.30231237,0.0755783,wqSqdnOTvI8
0.15631522,0.4903902,0.06132676,0.20695682,0.29571524,0.029868383,0.14395508,0.5156303,4a8-uNbD_34
0.0706682,0.19810322,0.13146462,0.30807117,0.197946,0.08080677,0.3667306,0.33688608,n87yaF37QEc
0.04441472,0.14503568,0.011314815,0.26448572,0.14898524,0.049711976,0.09947369,0.18905759,4yAAOI6JUsM
