PERSPECTIVE_PROFANITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_THREAT,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,video_id
0.09341222,0.32838055,0.08666225,0.014646785,0.32204288,0.27603605,0.049564164,0.11582695,2VJFz8Q2cKI
0.14331773,0.36880937,0.25914687,0.021657806,0.03443248,0.48459288,0.114411846,0.12092777,as7acW3B2jA
0.1364505,0.33761024,0.22468902,0.1689685,0.068346694,0.3077716,0.11382565,0.119787954,n9UtOWNVOO4
0.41846797,0.49960586,0.2851142,0.08367105,0.09843523,0.28827137,0.29723865,0.43806797,uPlbBq9kiZM
0.11401572,0.35478052,0.06740997,0.03444787,0.099125214,0.11406183,0.088249035,0.1370884,RKL5zVNOHzw
0.27014023,0.5225376,0.19247952,0.19789414,0.049157716,0.5728318,0.13646449,0.2662832,XVoX8OPueTg
0.5090263,0.25398672,0.36595064,0.4945446,0.58804816,0.19225603,0.7941258,0.17102794,CcmQk9mv5_Q
0.09976133,0.39177078,0.10179434,0.058929358,0.12136044,0.39006826,0.11131396,0.11018724,cPiQPTtyQfI
0.04459785,0.29723954,0.039521914,0.019158829,0.17891331,0.074065864,0.044634156,0.057706624,rOo3-WoaPE4
0.22423542,0.34328935,0.05306833,0.012494888,0.18083076,0.28225002,0.11099158,0.15148109,wOqJzJri8B0
0.09974676,0.3581746,0.096994475,0.027409043,0.109550215,0.21083221,0.08152366,0.14044194,ZMBXGuo2Gnk
0.14915533,0.44373256,0.12244039,0.0043211486,0.011110594,0.1658817,0.12429393,0.17054197,pFRXGxwat_U
0.1947078,0.36839312,0.22544804,0.087430015,0.17629424,0.47215724,0.1813056,0.1519896,s77Tg34dQKU
0.26190382,0.5515686,0.16940553,0.355017,0.55910355,0.31008333,0.27258828,0.36893782,HrvnNE0C08s
0.28995958,0.48595154,0.12551072,0.105704986,0.12880535,0.4535542,0.10668424,0.34414753,O7gu_0yJ6hs
0.09460904,0.2665584,0.10999706,0.15684792,0.25387076,0.14891061,0.10898223,0.109772965,MfqRg4BPAi4
0.3220487,0.5051399,0.23791222,0.2590451,0.19912624,0.6312786,0.22063112,0.26524258,b-hzI7F2Aqw
0.12793952,0.23673555,0.09652132,0.22987647,0.2772408,0.20150028,0.0892816,0.13321891,OuMpOLsfRrM
0.22967757,0.4288822,0.21700644,0.08850401,0.00687645,0.28048888,0.21520603,0.15627791,6O4xvklv2xU
0.15012525,0.41740176,0.124661125,0.112788886,0.22215311,0.3393818,0.13522835,0.1630557,3-dYfE2TCiI
0.1314535,0.4593503,0.10481388,0.032731086,0.08155483,0.27181026,0.107969716,0.1504685,Sqc5XKiBnQY
0.10679177,0.29308504,0.08909231,0.01999182,0.14683832,0.21804088,0.10644689,0.09418293,GlJmpnGwMyA
0.016650047,0.17838554,0.010911006,0.0753116,0.39268538,0.032356504,0.010321659,0.03887224,u-sNSjS8cq0
0.43411377,0.40540937,0.14058262,0.16482529,0.14038166,0.31510824,0.3097691,0.4010554,qzuq9F9ZLO8
0.1472178,0.3675503,0.1310565,0.15626417,0.56304896,0.5907361,0.117936134,0.08257151,LAdpa0iJWtM
0.16449827,0.51365703,0.14358173,0.046465382,0.08532407,0.527728,0.12240457,0.20170414,H79nRD80sK4
0.011209003,0.2406097,0.0033764474,0.05653196,0.015185429,0.026081257,0.0062078126,0.064552486,t939XKGl7l8
0.10668056,0.4706919,0.048444632,0.012217224,0.17016596,0.12801613,0.065679915,0.14007707,GZFtVJJTW2U
0.17649443,0.28229263,0.100014314,0.03187269,0.2386789,0.23969491,0.20211169,0.15765429,K8Sc5khx5Nw
0.2782778,0.3144736,0.22918499,0.05373499,0.22166783,0.32564718,0.219468,0.20964421,4E0WYW2xPKs
0.09251634,0.38086843,0.05761173,0.04234509,0.08007465,0.12653662,0.060697258,0.09749643,RAcxziflEdc
0.17725283,0.55625325,0.12592936,0.05493369,0.025650973,0.22553419,0.12773177,0.37450325,pgTmpTnFoWo
0.08992175,0.4495388,0.06749448,0.0334178,0.26915893,0.1495485,0.13153428,0.11380982,4X4RlgK45mE
0.30907395,0.4977574,0.27824515,0.031185975,0.111102134,0.35733464,0.18150239,0.30003384,LN61jzaYlIY
0.05097194,0.31569675,0.031476445,0.065721996,0.26774302,0.05280901,0.038550448,0.07433625,JVnIQVhT79A
0.10718123,0.32504869,0.06431596,0.08581903,0.1330364,0.10002408,0.13034421,0.16313258,m8u-8kQcM2w
0.077433124,0.26055557,0.049324814,0.019158829,0.11415565,0.06280154,0.051995274,0.07794659,5dAZTvbmZZ4
0.31314716,0.43781182,0.13138302,0.00040781926,0.022463907,0.4052165,0.15058276,0.1531349,peUF5SyBXJE
0.3214334,0.75581,0.14804307,0.31540272,0.013241834,0.270159,0.2531861,0.5329981,yOCuipBNsB4
0.22438651,0.50380975,0.21890487,0.034104515,0.04557399,0.29542762,0.1775854,0.24401678,WzXGjAhYNPI
0.17009056,0.4476437,0.12734947,0.031701013,0.07025301,0.30147374,0.12758459,0.14308296,SCBYcWeC-ew
0.10043277,0.33773363,0.1696007,0.0011193337,0.025412966,0.27431726,0.06371395,0.13714372,k62yN6Z8nlY
0.05597763,0.28152224,0.06342829,0.01492445,0.19116542,0.12247637,0.06734143,0.059322197,THdFCgBwF0w
0.2552954,0.21546702,0.23811421,0.42390585,0.19292663,0.08656343,0.660731,0.10326876,4ckFoPYUMlg
0.13579145,0.3412815,0.20131253,0.031701013,0.13121013,0.25840077,0.107683994,0.15261845,n-VBRaInTR4
0.32353792,0.31749487,0.17556827,0.074912034,0.19029869,0.29793093,0.34013218,0.31275472,sfW2TGPjBLA
0.24426179,0.38481474,0.15121605,0.06652113,0.012173216,0.5575753,0.13811903,0.19283567,Arvu-vVtZAQ
0.12070729,0.23585303,0.12139661,0.06252546,0.23067719,0.16008706,0.11125297,0.13986863,luAXOfcg-dY
0.25957248,0.36082488,0.23746248,0.4151741,0.0034224256,0.24426791,0.46328983,0.12712754,CMFaM2nJjtk
0.058388736,0.23553176,0.06741633,0.04680874,0.2000324,0.07920943,0.07612318,0.056122407,A6cx9nyhPDs
0.10720487,0.36076662,0.08250216,0.013952625,0.25031716,0.15986547,0.097573124,0.111658685,lG6554HrLh4
0.08616555,0.40761605,0.019540196,0.020824814,0.008638767,0.070107885,0.027813029,0.13480364,cLB7u0KQFIs
0.22090155,0.4257802,0.17677368,0.30788645,0.07268027,0.45198604,0.17713495,0.342851,sZsbFkOjgcQ
0.4324161,0.3793853,0.41435683,0.00999591,0.06108485,0.70530194,0.42382485,0.23415177,H-dSNk9zqh8
0.07254075,0.4185095,0.0883072,0.021518974,0.052115556,0.3094012,0.07359749,0.12708552,4h3eU99dTb0
0.06764224,0.24282396,0.08001914,0.04543531,0.50514734,0.32824528,0.051819623,0.06468777,qt1equGhkQE
0.16797385,0.2953656,0.13933364,0.22978203,0.46668974,0.24563633,0.13928807,0.14727859,BBryb-THJOw
0.22245328,0.39006445,0.1381233,0.05093802,0.050012834,0.5811479,0.1757735,0.20156252,bp-LSmD-gAI
0.1516974,0.36165047,0.10912358,0.02655065,0.032477573,0.23973294,0.084676586,0.1709304,NI1ztGlXC2A
0.14333482,0.36201477,0.18786813,0.15626417,0.23579,0.36837786,0.13587444,0.15445006,P-I5ctMJBhY
