PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_INSULT,PERSPECTIVE_THREAT,video_id
0.077686235,0.021518974,0.060066283,0.2083681,0.07565093,0.055375703,0.053894702,0.09005356,Y2vvTPc30fE
0.08036408,0.0142302895,0.14969699,0.29741767,0.078381926,0.18290442,0.149289,0.17083678,d7dt8X1GS20
0.07970452,0.014785618,0.07594964,0.2784956,0.051819094,0.08682137,0.069271415,0.08501195,KOPE9rqkrHA
0.029505651,0.011731312,0.04703629,0.20319755,0.04545174,0.6282781,0.06262929,0.14524879,8fwmXRVOLMs
0.068774745,0.038911518,0.096728995,0.24182457,0.07474914,0.10869371,0.06175296,0.38478005,cuVUU9vBM5o
0.043994382,0.01631277,0.042367212,0.19151856,0.022516822,0.12190085,0.028662363,0.047704395,EZUnnFL3SHU
0.037054636,0.04406188,0.19845083,0.18965738,0.0728843,0.17922235,0.113113575,0.2810973,6xcm8zPgf-I
0.07015167,0.010828903,0.046983153,0.2637367,0.0427921,0.08230097,0.042997725,0.16412649,2iSE6XlFXhA
0.043724693,0.017284594,0.031772524,0.24735813,0.060557306,0.15526201,0.051020548,0.21729897,Iuz6OSz-PlY
0.27004224,0.036679696,0.06733801,0.7280656,0.099821255,0.18225619,0.045762684,0.23462778,Bk5R2ImC9A8
0.023098445,0.02262963,0.016380029,0.22366193,0.01798421,0.31049523,0.011582718,0.11779618,zu499ocrEHo
0.035536814,0.010759487,0.038980052,0.22126155,0.031226624,0.14891993,0.027008744,0.18166247,cDUv3hUQ2C8
0.02362978,0.0186035,0.02246214,0.23000166,0.014335924,0.0969692,0.020378571,0.08464745,_wQxCjCxCiE
0.24110068,0.111500904,0.10930055,0.54962015,0.12043001,0.3026692,0.11503428,0.42893517,SmXL5-HG0LY
0.06251336,0.010967735,0.026965473,0.32562342,0.028980788,0.13153924,0.042385735,0.15160593,jD9QkeAd0Ak
0.08831029,0.021796638,0.051748145,0.38060716,0.08352478,0.109531134,0.056401875,0.26720518,uZaZWBK-x9w
0.059512362,0.008052262,0.010158251,0.32355276,0.011269039,0.18764992,0.008002377,0.033710677,rEX0vQVfK6g
0.008536632,0.009162918,0.015607816,0.1402245,0.013819727,0.0918282,0.013335859,0.02709133,rpWkd_WGOak
0.07274903,0.011453647,0.07754785,0.21810143,0.08877905,0.082690485,0.069131464,0.24800804,43-Pb6uL1cE
0.038132392,0.010898319,0.040209502,0.20629948,0.034310427,0.19851053,0.031375784,0.1485152,kkqdMjX03dg
0.17714171,0.19239926,0.11770688,0.4976509,0.09231622,0.20526922,0.07812526,0.29878992,HRvme6yp1tg
0.072968714,0.00298489,0.041963127,0.33607897,0.038024902,0.03756754,0.03395104,0.055795945,83M7gRW2_X8
0.19427226,0.1510105,0.1582671,0.39193672,0.20474467,0.024615044,0.29528022,0.3437225,D86jjRjedAg
0.07913323,0.010759487,0.03439024,0.30230188,0.041260775,0.11467256,0.02838911,0.15488929,0MzIh7wkgMs
0.057020213,0.015826859,0.05307527,0.2324079,0.050824493,0.10460015,0.04113406,0.1730098,C7BjkXF2bxU
0.057732683,0.011037151,0.04071067,0.18916632,0.057995528,0.09617046,0.04474408,0.13995562,yWuY00KtOjo
0.06506929,0.004893831,0.039863385,0.34384498,0.036127955,0.08040288,0.03479176,0.12956057,9jq0P6-Q4bo
0.027250862,0.011800728,0.022020105,0.18720996,0.01823601,0.12438494,0.018889766,0.04763729,7Ywmy9Rg0HE
0.46042177,0.34388447,0.2103235,0.5443012,0.3577311,0.18008254,0.45648018,0.85143715,UQFFf2tHTfE
0.13949282,0.0121478075,0.10542344,0.22649865,0.12091987,0.08760078,0.06964394,0.2370224,a714mjyjOaI
0.021914933,0.011175984,0.020432565,0.21272285,0.017141864,0.11131239,0.023731863,0.03264061,97Zsk224_94
0.09205174,0.010481823,0.05205019,0.3117851,0.075536884,0.12680104,0.04228578,0.25639218,96iMj5NSyyY
0.06548628,0.016798683,0.06057029,0.2325239,0.084100895,0.11141273,0.08935141,0.18150114,Qape78ZyF8E
0.09573383,0.015202113,0.052491933,0.232404,0.10638678,0.12979434,0.03564788,0.25543025,P6mwnfqoNFg
