PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_INSULT,PERSPECTIVE_THREAT,video_id
0.13392524,0.04783881,0.15330604,0.29093185,0.18432097,0.17870797,0.34877035,0.28485277,55MSTb14PD8
0.16444384,2.6844486e-05,0.11390864,0.5664255,0.15991914,0.18975337,0.12545611,0.10376295,TklZvfKk1pU
0.079227455,0.013813793,0.06002042,0.2222887,0.07019366,0.12700535,0.044563696,0.24929708,ll8WXZuAPYs
0.056410484,0.0044773347,0.052271117,0.22464769,0.07259872,0.027233636,0.03750151,0.36056596,aWRxknlyaFY
0.062222842,0.028267438,0.061462764,0.19934455,0.07047222,0.118097804,0.05070661,0.21857682,tJlv7OoQgvE
0.10350192,0.04234509,0.12497391,0.24989563,0.13506898,0.2264329,0.12989183,0.26214617,MILxgpU8AQM
0.06261362,0.010551238,0.07159333,0.25414377,0.07877406,0.1422808,0.06387056,0.26349717,4_AFzKlAXsg
0.044088,0.005935072,0.08125183,0.23696205,0.046368916,0.048554562,0.04583878,0.11658848,fLlN8SBTOGs
0.14615583,0.056931525,0.13757552,0.2739205,0.189038,0.14366207,0.23210406,0.28163752,lFlVF-OAbvs
0.0146245565,0.009926494,0.016090626,0.26311353,0.009344963,0.047968388,0.00966125,0.054845504,m68izpH-5_0
0.07215514,0.012494888,0.056750216,0.29632518,0.058551647,0.10487425,0.05285338,0.16807258,9a2WBmvoXlI
0.11536241,0.032902762,0.11972903,0.47053128,0.10812511,0.002196574,0.120567724,0.33714515,Hk7ZgZ4BDf0
0.05522458,0.023117077,0.061308894,0.24103822,0.055268634,0.05613844,0.060312588,0.15689197,dXEMFlrm0Rs
0.088002205,0.0142302895,0.056364015,0.34079236,0.07759264,0.06869071,0.080629386,0.25905788,5GJLmwtBgDA
0.04987567,0.02124131,0.06657743,0.23437539,0.04728656,0.11541454,0.08208363,0.17533687,suay2Fak6C4
0.048250593,0.008850546,0.05313938,0.35379598,0.04178348,0.116989315,0.04541059,0.20840663,G378fWpgVOQ
0.10958816,0.04234509,0.07873224,0.30275434,0.11228264,0.08811412,0.10922673,0.28851816,0eN0vhUO5M4
0.033448916,0.011592479,0.05355576,0.22124428,0.02760453,0.14290714,0.033122823,0.08233275,_Jn5LZNH09E
0.16027033,0.016521018,0.084407106,0.32260376,0.12212053,0.17659464,0.087539285,0.3472615,PIjojolu7M8
0.060805075,0.008850546,0.05534719,0.33635482,0.05518557,0.15354899,0.050133336,0.18747333,OhalFgj6LJY
0.08270291,0.023288755,0.050219465,0.32854116,0.08279688,0.08269997,0.04919949,0.16826293,Yahbyxj41Ws
0.06101548,0.009926494,0.053658217,0.27082348,0.067319155,0.17284171,0.058947295,0.21367553,Ao5cyzOTHSc
0.15842095,0.02124131,0.16428049,0.4086151,0.16408695,0.08453547,0.09653887,0.33014542,3K9UG0mGDhY
0.03857617,0.013327881,0.07213922,0.3128905,0.03769737,0.11729468,0.088985555,0.2234445,58uOozdeNl0
0.04587902,0.0028460578,0.09382498,0.3280736,0.046579916,0.047628824,0.059818238,0.27050123,mN0i7HJwWEo
0.055938073,0.016729267,0.11432231,0.23556316,0.08873788,0.09259094,0.11550131,0.410705,jUcrci3VvOU
0.040211692,0.01561861,0.04994305,0.21908315,0.034556966,0.052638363,0.03396947,0.1360771,CWyDk33Sc8U
0.047137678,0.013050216,0.0396586,0.21950619,0.058205634,0.26640695,0.08345106,0.24764043,yp-u1eoy4VE
0.12115344,0.011661896,0.058911774,0.36619303,0.12479733,0.02060328,0.056081995,0.20039342,ZqsVN4oVn_Q
0.0630105,0.012772553,0.056643877,0.21287245,0.11781723,0.1229898,0.06806287,0.1754867,0NQpwd5yK0M
0.20529273,0.0186035,0.07091618,0.5371753,0.1054194,0.08073297,0.08199018,0.15293458,m8fq5WF49Uk
0.04741433,0.0057962397,0.04117387,0.26684335,0.05429813,0.18386768,0.03667075,0.076711476,Cu3cWO3o4ws
0.07435719,0.014993866,0.067373514,0.21017514,0.08199996,0.07994116,0.058877226,0.24642749,YfcVqe5MBuA
