PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,video_id
0.09763293,0.15510224,0.090726815,0.08230509,0.09665016,0.10330468,0.2658173,0.1318515,fYHBQuyBey0
0.18746567,0.12630576,0.13894986,0.19671504,0.15083794,0.13648514,0.4200497,0.40868673,7D2LKZIOP6E
0.17759849,0.5680319,0.18798646,0.12355772,0.044328034,0.0706813,0.18871465,0.15206853,-IFmjMHLsxI
0.5038962,0.0061926465,0.4455735,0.29540735,0.517985,0.31124306,0.66842663,0.7134136,cpOdqRX9zNw
0.13835071,0.0096385265,0.1686151,0.055788238,0.056131177,0.042172942,0.38705492,0.2709045,3dYzr599s9Y
0.073313765,0.11938521,0.040976647,0.024022937,0.06684138,0.040950853,0.21800724,0.066665545,76rF3B7qBhc
0.28683078,0.27555314,0.31307113,0.22301471,0.057923708,0.1514185,0.2566876,0.34997332,5EgMijMhS_U
0.2712817,0.6101569,0.13069114,0.17013846,0.08549994,0.15564325,0.23940995,0.26077303,dAE1wEppXFI
0.062125895,0.37634394,0.11766673,0.084217414,0.049270235,0.07413509,0.18831685,0.15019281,u0xn4zXc27k
0.05773066,0.005867956,0.13364038,0.111589044,0.37679857,0.17804797,0.48166662,0.27488348,B0d-bxBM9YQ
0.5958905,0.012487408,0.4447418,0.6356477,0.06402501,0.30728427,0.32073614,0.24048138,O_q12qYrCN0
0.021102477,0.05607643,0.08096349,0.08958359,0.15117155,0.1187685,0.5800043,0.19343537,4TyUFYGcvo4
0.19789414,0.08739003,0.17408082,0.103133924,0.15984072,0.20776597,0.3219206,0.28752056,UV6dEg5rG_U
0.2965773,0.64924467,0.14342889,0.1832154,0.071140714,0.11738018,0.20303784,0.13016349,b4iO5CYKKYM
0.21036349,0.38484678,0.10861518,0.09213651,0.11060596,0.105189696,0.27078098,0.29241663,5tRAsfYqBFM
0.2889918,0.5045725,0.08468289,0.12778135,0.054985538,0.086572394,0.18538779,0.11512872,-oRyUjMw_1A
0.31714454,0.55670506,0.4725986,0.35887593,0.053186763,0.17551881,0.31751928,0.33178553,NkMKhWNbLaU
0.042001735,0.13142407,0.09226508,0.11001835,0.1656944,0.13198207,0.34604493,0.14912964,q3SaWwRaInY
0.24991328,0.10496013,0.2235709,0.08930076,0.16235052,0.11690886,0.62379247,0.48588762,V68BEGZY4eo
0.14687516,0.29368526,0.11184657,0.14110574,0.04995888,0.090882525,0.1930217,0.31342456,7biy9ZU4vnM
0.07451247,0.3177416,0.039200906,0.050084487,0.026356189,0.04567696,0.28732276,0.1060412,LGEpRbHjkLY
0.09924392,0.28760737,0.062040567,0.068848096,0.0786265,0.053721957,0.33478674,0.07897672,3HaW4ma57j4
0.052935857,0.13480599,0.03155898,0.01724589,0.023662884,0.01724421,0.17734997,0.07268293,Zu2RHG77wP4
0.035649624,0.2709318,0.45289826,0.895227,0.38516638,0.83350897,0.42934898,0.34876168,xPI11C82w8s
0.089041,0.06812698,0.16653939,0.109624885,0.09744182,0.13040438,0.24768052,0.1869611,2ACQYkCHWfg
0.21036349,0.2620628,0.21739024,0.08344737,0.07536065,0.08269864,0.3012965,0.53533196,5lirnvzYq5w
0.1710401,0.283369,0.0584821,0.026202673,0.055458397,0.049014505,0.1766805,0.1261368,oWKoRHGWFf8
0.056931525,0.62762654,0.0986048,0.07444218,0.035181507,0.033306938,0.32078132,0.22272226,IwMk6ypnATg
0.31725118,0.4526657,0.34673727,0.2675106,0.582904,0.36981705,0.67949617,0.80439806,SUm4lbiAlwM
0.033074442,0.15961438,0.15371965,0.13246596,0.06546059,0.103703186,0.21779968,0.17405848,nxWlSVoxNOc
0.1580154,0.15436968,0.1931711,0.30291036,0.07047543,0.15408726,0.20625602,0.15979932,wvPwG6euiVA
0.06771983,0.49652508,0.13204917,0.08408231,0.05597011,0.05838677,0.2971232,0.18899097,R5_wezRdx9U
0.43622825,0.23422287,0.7353931,0.4648988,0.16961563,0.373568,0.46550888,0.85842687,-xcugcSCKZg
0.18549223,0.8083405,0.40274304,0.22158332,0.076234974,0.17701046,0.21303369,0.29315096,Zq8CjS7Ctqc
0.04165838,0.22623682,0.035235353,0.043135807,0.039793756,0.030494,0.22994867,0.088069744,joo5JtgJ684
0.15626417,0.17739935,0.12479576,0.047668196,0.042034987,0.056257218,0.16638082,0.15360378,XIMhEfGA1Pg
0.2022951,0.19365641,0.11153213,0.13668844,0.0746783,0.0903786,0.25735238,0.13858467,PGEija0CRhA
0.111500904,0.09224828,0.15409069,0.05991516,0.03484492,0.054836642,0.23092474,0.25786698,WKBzPeqzaig
0.1464265,0.09935377,0.042616278,0.02149801,0.046636533,0.033713527,0.19898841,0.14214402,1hs-YWkH5Rs
