PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,video_id
0.3609816,0.01825325,0.25898463,0.20328435,0.058471605,0.14372468,0.35553405,0.81707066,_lkMYFzWqj8
0.11407687,0.14959346,0.22166052,0.13291256,0.053160958,0.09621495,0.422416,0.2971613,YRwtRPlD6uE
0.28923595,0.80792975,0.1972672,0.21437563,0.1394158,0.17800288,0.48388356,0.5333534,K1Vw531gZKk
0.1609341,0.097746916,0.3903922,0.22396035,0.19425419,0.2597543,0.3642406,0.33709425,80XbJb0JyDY
0.010620655,0.12573554,0.07983971,0.04611154,0.069725566,0.07583636,0.4221794,0.32694292,FFgXRBtRk-Q
0.3897707,0.078750394,0.8008965,0.4591552,0.16256191,0.35548252,0.5124973,0.63794076,pEpadUEasew
0.07451247,0.09152826,0.120895736,0.06944285,0.29948488,0.14734739,0.37431353,0.19180469,fnO9ex9WlMI
0.29855597,0.12802197,0.19432047,0.09735852,0.115770675,0.11714584,0.26465175,0.27818868,ZA9EHgF5qIs
0.23365098,0.62792313,0.43613654,0.29163635,0.08958824,0.20912576,0.30408922,0.6261627,ScvL4579bJ8
0.13700475,0.11392096,0.07455341,0.04700889,0.059953064,0.06649802,0.20303528,0.12869011,1gsv2-m6uTk
0.10031791,0.17261007,0.13759616,0.081275,0.038416624,0.058524575,0.25281683,0.15349579,4IyQcmy5cXY
0.53837943,0.6397106,0.30251172,0.8154216,0.09993369,0.31987807,0.37942585,0.48121476,u98CKe-bUsk
0.37360558,0.2507977,0.15370414,0.22939111,0.10392586,0.19993372,0.28419623,0.4250034,tUfdcPAZIrw
0.27045983,0.6495431,0.39063162,0.30442774,0.16699077,0.23550266,0.46561366,0.45555443,D0rKu-V48OI
0.34388447,0.39370048,0.25871754,0.6356477,0.036247395,0.1622737,0.26286453,0.3169185,EROhVDju4qk
0.12309273,0.27145514,0.107949905,0.08694335,0.2859501,0.1594817,0.29850602,0.15979606,Cl8mcWK4bII
0.058929358,0.3546882,0.031411976,0.028839247,0.02908999,0.031215457,0.22460268,0.23036179,WvMaTtot-G8
0.057331093,0.16533102,0.037336987,0.024430608,0.018779652,0.029370124,0.112446815,0.05531555,eXqWy4y2_XA
0.025520578,0.11142312,0.113720916,0.13008758,0.15511717,0.14897981,0.36976632,0.16571714,lPwjbFUBQgM
0.048525527,0.14868727,0.039834585,0.045312457,0.08088432,0.054465566,0.35156983,0.08117779,8oHIzJiaW5g
0.18450552,0.24737538,0.09612153,0.11081403,0.08243138,0.10582378,0.22432646,0.10443882,TD1xdJRi5Mo
0.29045674,0.285621,0.2955974,0.2260191,0.3807148,0.23668571,0.5173123,0.4691181,NI44214XQek
0.23452865,0.5680319,0.3221375,0.099011354,0.052656293,0.098628424,0.1646832,0.29860702,ZlV9C36zPAk
0.030155903,0.05323811,0.085928455,0.056993417,0.10551891,0.08474677,0.5995775,0.19547357,n3JmgkMTpY8
0.30788645,0.35307828,0.19607909,0.19157635,0.1382693,0.18091834,0.36278355,0.5556267,5Vf22N1_8nE
0.33600304,0.5659136,0.29076365,0.64473623,0.107690506,0.19936532,0.41003138,0.7991028,wgN04DwsRtM
0.03736641,0.09495207,0.08770979,0.1432374,0.060584225,0.098813005,0.34321073,0.13361725,Op-writ7n2s
0.6955873,0.63002545,0.18865111,0.24356754,0.06204709,0.31231862,0.25996226,0.91432226,D8PeNxj6Q0c
0.089041,0.44273892,0.19660549,0.1117809,0.07053975,0.09393979,0.29121172,0.14249012,ruMQ392mnlc
0.0056574075,0.03660198,0.07888018,0.10392323,0.15147266,0.14674836,0.56846446,0.17153499,2Dfjl9tER94
0.355017,0.30003566,0.27603972,0.2869691,0.24460968,0.21498005,0.45413595,0.20767936,hGqTxaEaiuQ
0.1256687,0.70822304,0.08380684,0.041029714,0.076008365,0.028452676,0.34315044,0.070613876,coVr1GBbgG0
0.030327583,0.17758828,0.04052584,0.024665223,0.021937635,0.0222868,0.20741218,0.04501956,UaWsYjBOXdg
0.1835188,0.050550614,0.07146952,0.04777719,0.03755279,0.03689116,0.48211107,0.19742763,FB4FlQk3iCc
0.05093802,0.1906713,0.1187877,0.091184065,0.13775046,0.07132772,0.50190246,0.22746354,TN8MRImkWlI
0.094410956,0.17792057,0.105167694,0.09495054,0.089560755,0.11085671,0.29321,0.1709586,JAdzoDknl3I
0.09709594,0.34352994,0.12231151,0.06726344,0.045651894,0.05862081,0.23195136,0.10179015,xZVTIqYT_MU
0.03427619,0.20379974,0.040194664,0.021597968,0.07240442,0.045901634,0.28965268,0.08194411,FytQqVqd8IY
0.22980565,0.0068886722,0.2347,0.23513523,0.030689599,0.09175307,0.21898605,0.08013158,nShMWjHGRxk
0.18450552,0.09025815,0.16493575,0.09176694,0.07180805,0.12784374,0.2292205,0.5517643,NBhH7o3IShA
0.08170467,0.32373938,0.045309305,0.018301446,0.023705848,0.02708927,0.15293114,0.05605435,pg5aVkM2mBE
0.22987647,0.650573,0.14084186,0.24626425,0.06151755,0.15716924,0.19176053,0.6301237,hOx0qJnRyQk
0.14552918,0.0003994531,0.08227264,0.034496088,0.019982869,0.03053895,0.3885816,0.10069255,1lO7lLvDQ-Y
0.39230084,0.6500319,0.58523935,0.23499088,0.03763849,0.09872202,0.31368762,0.67665094,fuPWdCa-zX4
0.1008549,0.12991032,0.15121481,0.10826794,0.09762523,0.14968267,0.24819441,0.665464,ptDwL2yQ3xc
0.39010584,0.083299935,0.40597627,0.27540058,0.0853739,0.19072987,0.31269544,0.14703968,vNQe9iX2F-E
0.22982925,0.004231383,0.41326335,0.23632076,0.1763754,0.268303,0.34480995,0.52573156,eNws7AZmbvQ
0.5958905,0.8147743,0.8422688,0.6356477,0.13701586,0.42205557,0.30368346,0.1333326,bADdJuN-4Ag
0.15217799,0.69480866,0.3613649,0.20654877,0.18808596,0.183357,0.33098197,0.3891843,FosNtUVhHCA
0.24242763,0.50871885,0.3039982,0.3222154,0.05074233,0.15934929,0.21058863,0.19648077,ryriMZPhowc
0.048868883,0.21162352,0.09908992,0.13339846,0.07890819,0.081003435,0.3345488,0.16220297,CcXm-yvkeSY
0.09172598,0.1928478,0.055222996,0.040446714,0.04736148,0.04354826,0.2092434,0.1003443,SLexbMGJ6-E
0.4396069,0.0315244,0.3448806,0.20996252,0.31416047,0.21099582,0.52194726,0.4506368,qES07dktLgk
0.1008549,0.03436545,0.15493135,0.09300019,0.114164025,0.08190027,0.44489193,0.23752719,BnwUnogzrwg
0.089577995,0.13568775,0.05770038,0.041848857,0.102061644,0.064276196,0.24796066,0.08173306,N2QrfoLe7g4
