PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INSULT,PERSPECTIVE_THREAT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,video_id
0.0710373,0.112144895,0.6533006,0.18821843,0.0312648,0.022363055,0.069671914,0.021837639,d4UPLo5u2QI
0.57527125,0.021657806,0.3399987,0.23716928,0.23381549,0.29830182,0.1688781,0.19768286,bJw3s85EcxM
0.4841655,0.31540272,0.46743235,0.20567246,0.22719881,0.05452009,0.30087036,0.1793843,bEzIEkjSSJo
0.92455935,0.5031149,0.36497852,0.3831389,0.6834105,0.55171496,0.2710494,0.41509703,2HFlEapUGbY
0.68039054,0.2712817,0.44680268,0.36428145,0.25254905,0.7463218,0.26261178,0.19688192,pFJi3TopgEY
0.07550695,0.10031791,0.12812935,0.30923074,0.127405,0.19944966,0.09100534,0.10521025,Mh8w19P_IG8
0.50284815,0.024662184,0.6030682,0.3201933,0.24056067,0.23892325,0.3074196,0.2139487,i8Yh9QgEdFw
0.46843755,0.2298686,0.3798954,0.25303635,0.21419857,0.17316179,0.24443862,0.22086705,o0OzzDGlFYE
0.0019316418,0.17587385,0.26371652,0.25109535,0.0023959116,0.0065297014,0.18677463,0.0029454464,I1cw8J9hsn4
0.7419839,0.30187345,0.37689173,0.54734075,0.44951087,0.7150384,0.49266866,0.3094287,y7D-JhtAQpM
0.05933309,0.09602194,0.41667354,0.26480633,0.039103787,0.029792925,0.19355108,0.019971687,ed78dYHQ9eU
0.6411727,0.35336453,0.006932092,0.37758213,0.32253525,0.20331599,0.24855842,0.25817454,5k7-GX01Unc
0.5886971,0.529921,0.7084234,0.38367853,0.2667715,0.26338613,0.22434507,0.17201017,VKW39dAEOak
0.11059759,0.08290337,0.112148166,0.3326188,0.04554914,0.28471512,0.04481025,0.042057674,QOOw2E_qAsE
0.58523935,0.087430015,0.6278083,0.29048586,0.34055173,0.23476343,0.3232752,0.2639977,YMRnuR-5k-0
0.57879984,0.118584804,0.80801016,0.35378587,0.35485262,0.54374933,0.23015836,0.1764895,K1hcl-iyHP0
0.7695131,0.27045983,0.44150352,0.4018749,0.42971325,0.36029378,0.28569192,0.23652996,yLf61FrgT40
0.4766093,0.42092466,0.6284825,0.4144577,0.22757787,0.53418505,0.39854383,0.17090416,EAYiyyUOwDg
0.5778717,0.16413476,0.47673383,0.23009346,0.2576356,0.10754861,0.18566066,0.21251182,W29PQq5QnTw
0.31823778,0.15568043,0.34740734,0.28301972,0.1302899,0.08507073,0.16663845,0.06914227,RsGX33cDQ_M
0.6841717,0.22983712,0.55196416,0.19770142,0.44265708,0.14005542,0.15172806,0.24112827,pvRYamafT0c
0.7126772,0.44670263,0.4628502,0.23557435,0.3672861,0.45332056,0.2601799,0.24221617,2VBaFEmKa68
0.0059650317,0.035306264,0.3618814,0.20387946,0.0040183743,0.012375348,0.1393946,0.0044291597,OhmoN0wNKAo
0.584337,0.23014031,0.5846342,0.20428666,0.20266163,0.26652244,0.14753835,0.1401171,uBQjOEQhB3k
0.8008965,0.39108577,0.57470804,0.40878236,0.43690625,0.4864926,0.34538692,0.23641095,w9fpOY3ZJv8
0.24288698,0.1835188,0.63071203,0.19812512,0.10450199,0.048655495,0.2136879,0.088093184,M_ypQSUq6bc
0.53233474,0.000785269,0.39393002,0.31576058,0.20870087,0.1812779,0.18610775,0.11381311,lGHtoBJMcgU
0.39484265,0.28923595,0.6895856,0.3796107,0.19538094,0.49086168,0.366162,0.15319808,tTUuiXJfxqI
0.5157938,0.073313765,0.53183365,0.23363893,0.27361986,0.16593194,0.27807727,0.28300658,6RnKHeCihBY
0.5154515,0.020963646,0.6495455,0.30649722,0.22898738,0.34456137,0.248286,0.16971175,CaO-krc5ZRM
0.3484121,0.11665283,0.4381467,0.34034964,0.306167,0.23304236,0.336196,0.2935885,Twd5cE_-rFQ
0.14399114,0.28517663,0.6349093,0.18681337,0.054679494,0.0317838,0.13627844,0.042066853,IsnRJ3YxDSk
0.33339253,0.04131502,0.5323189,0.22922075,0.30877018,0.087411605,0.30091798,0.22376738,tukcaqEpGYo
0.35997066,0.15334547,0.6205316,0.20984323,0.13425271,0.071510874,0.13034727,0.077548586,4BcsPDn0yf0
0.17790575,0.13610743,0.5076673,0.15762457,0.06543398,0.05145452,0.1084469,0.045932807,J4chjpmYiow
0.58523935,0.2712817,0.5086062,0.19353718,0.26204392,0.13356137,0.19866243,0.23750803,XPLpY57rUoI
0.6350989,0.17957193,0.25893334,0.34976938,0.24119563,0.50742334,0.17128646,0.18343885,7cf5JuJ-tdg
0.6713532,0.36805952,0.21635623,0.34974217,0.2950504,0.35666642,0.22332756,0.24052137,EVTYhfWr9u0
0.15690249,0.01193956,0.6648309,0.24131504,0.075315215,0.050512817,0.21223907,0.04967434,HnP2yjqrZDg
0.8037004,0.31725118,0.3723307,0.36034128,0.47253186,0.44850695,0.2798011,0.31098184,wzFNomiBXVQ
0.27016094,0.3282253,0.6627322,0.24512438,0.18948103,0.05472892,0.2964686,0.14009605,FhpaeuPFpOY
0.041241735,0.017909339,0.6306559,0.16557424,0.020988956,0.01721997,0.11069649,0.017075434,xmP2ZAT3obM
0.5799067,0.22598907,0.3286449,0.42771733,0.23752925,0.30649602,0.28483096,0.18234783,VGpNcwFagBA
0.32789072,0.18450552,0.5554173,0.2069268,0.13181753,0.084527,0.17025557,0.1184355,iOltxADOJ3s
0.61354184,0.08796701,0.26270363,0.2584272,0.3798473,0.17466825,0.20325996,0.17942747,_GClBGYeWgk
0.23057851,0.00047940455,0.3868673,0.27932698,0.11006993,0.13220406,0.17557605,0.058500085,DWbxIFC0Q2o
0.39958933,0.064523295,0.44759777,0.2590637,0.15789568,0.11539928,0.19138737,0.14495292,eHE4BV8f5To
