PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,video_id
0.3417932,0.09349172,0.32309628,0.11189429,0.0224908,0.024756378,0.039649412,0.06809787,QeSeOrSSwQg
0.3809385,0.08216448,0.15080279,0.17039733,0.035134587,0.13872449,0.0514732,0.06363663,ayhxxtHCqrI
0.30428293,0.06215348,0.13428202,0.057808902,0.058130227,0.18956964,0.0962302,0.21864013,s-rhXgcHzsA
0.27967533,0.029457934,0.045300294,0.042393405,0.038224805,0.27463108,0.024849238,0.04744748,JkWmaXtMbDY
0.23949878,0.09022024,0.13534027,0.08965059,0.035134587,0.32051736,0.05703607,0.1598979,0EupRH9K5y8
0.22062019,0.042154517,0.08633118,0.032864124,0.011384231,0.20707227,0.05526913,0.035392217,dA29PmC7_Fg
0.25619617,0.029943949,0.11131554,0.032562505,0.018048171,0.30567098,0.07278097,0.10197678,3xBuTs0B174
0.23080626,0.03452835,0.076025985,0.038792886,0.013327881,0.36151552,0.052260254,0.09667625,1_-iyzpQY9s
0.2580113,0.06720622,0.12639122,0.09679896,0.012078391,0.27513596,0.050165072,0.06710631,aNWaFxIVbQM
0.37017515,0.074951075,0.19588667,0.06879505,0.014855034,0.078414254,0.07451935,0.07306543,nBAVV8F_bBE
0.18768258,0.028692137,0.023111096,0.03358523,0.0011106568,0.051747646,0.01177165,0.00994841,JfxyakPvWvA
0.46771312,0.24685383,0.80610603,0.12036366,0.039598234,0.2119142,0.29911953,0.52848774,K-fkotC_Ndo
0.668268,0.068249024,0.38504344,0.082532145,0.0022733754,0.0143069895,0.073158786,0.08192893,C_yxhmenP78
0.30162793,0.02358711,0.08439803,0.04558764,0.013050216,0.35402718,0.013777939,0.019391317,x1PemKr-lmE
0.25102064,0.035158616,0.09394847,0.06547565,0.040284947,0.44309318,0.023715103,0.06430749,_hdp27GyC2A
0.38245067,0.0680665,0.06572191,0.044370614,0.012008976,0.20256886,0.12767072,0.09350328,HU6orSwBtco
0.28778562,0.07394766,0.11655424,0.13222396,0.112788886,0.1406802,0.020604819,0.040071554,lIUWTQfuHwA
0.31814954,0.03404192,0.0696166,0.07965327,0.02262963,0.16144264,0.05491971,0.1061321,TLrLaoJm-ag
0.34567502,0.079814315,0.3888002,0.09599645,0.005587992,0.27742264,0.042038545,0.1144708,Psmezmi9AEA
0.50462496,0.12179555,0.27296358,0.17514956,0.17380224,0.30489153,0.16684,0.18880375,XZALLm4ur7M
0.27919537,0.024495855,0.07560496,0.051742416,0.0013796439,0.41397998,0.022231055,0.026346028,w_aVEonbNa4
0.23747478,0.035821844,0.22860046,0.0537564,0.01492445,0.14209248,0.021427626,0.09731955,x7vgoV1X0Uw
0.6374353,0.1741604,0.40941522,0.13587305,0.010967735,0.32717553,0.16076633,0.08423907,rJXYK6wEACQ
0.24249597,0.042691607,0.10209796,0.05462017,0.009232334,0.19109379,0.029602515,0.04339973,p8rM3-2KETA
0.49686003,0.061415058,0.12386453,0.10962719,0.018881164,0.3037391,0.029580308,0.035226397,2r1ebo2tp_w
0.19881473,0.11059995,0.43179864,0.07660864,0.015063282,0.175143,0.0924886,0.32533893,YNilaLh2Zuo
0.33834505,0.046680033,0.121995874,0.08411981,0.02262963,0.26516387,0.044338536,0.03771508,pYScyAEgDH8
0.48714018,0.1876754,0.42266136,0.14808676,0.16758743,0.014020399,0.22929129,0.2922253,BsoU_jJTOTc
0.5008159,0.21359466,0.4404167,0.21030745,0.15743166,0.4520772,0.21109076,0.15989785,N-9wp9zyP90
