PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INSULT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,video_id
0.105271675,0.05493369,0.041590154,0.033887498,0.078362785,0.26059672,0.33095506,0.028978597,jMB6FWUS41U
0.057702333,0.016798683,0.06596497,0.02914878,0.08248021,0.091521434,0.18855537,0.04531931,m3hHi4sylxE
0.31737366,0.39230084,0.06680093,0.28683788,0.15213671,0.75765455,0.36745092,0.18222181,xKCuDxpccYM
0.019477973,0.034104515,0.017265256,0.022222335,0.113876075,0.03435011,0.15856661,0.01777319,EuwMB1Dal-4
0.05822246,0.046465382,0.028440183,0.058432046,0.18452981,0.06252128,0.18387437,0.04034388,4R_9ibLeQT0
0.6209176,0.44805592,0.0718366,0.525291,0.5680319,0.1080038,0.2500901,0.32834977,G9_d2W5ECQU
0.03716933,0.040284947,0.07356155,0.0456429,0.14575005,0.096263856,0.42004335,0.048200153,exG0C3KB444
0.15780336,0.090114996,0.1346985,0.07141297,0.1905538,0.20970783,0.4279601,0.071232416,SY9NjD_5WWo
0.3662809,0.39230084,0.036207274,0.6993685,0.2658225,0.18993287,0.2540664,0.21932045,KrIRwws7LGQ
0.03721512,0.082104236,0.016470782,0.035880037,0.07061014,0.1776383,0.18822443,0.020821383,7vOwjNTDwBE
0.088181324,0.031529333,0.058095895,0.042844392,0.16426586,0.06423516,0.24343674,0.040949475,vjZnUl3OkCI
0.122386806,0.018325835,0.082700714,0.061192703,0.09496649,0.089133516,0.23608401,0.07762515,n9Ej5E47TNI
0.09875342,0.06012806,0.032068394,0.040731538,0.14855358,0.1979531,0.3452059,0.036917884,vBjabNusoKM
0.08205671,0.07451247,0.0726142,0.07845839,0.1671913,0.3490803,0.49079555,0.087140635,Y3gqoDUtmt4
0.06778427,0.030842619,0.07360125,0.056457777,0.13556744,0.25933698,0.3537622,0.063515596,SiCvGQnweAg
0.06530625,0.07011723,0.04071192,0.07386503,0.095582075,0.052733816,0.19842975,0.047230586,t9o7S7qNYSU
0.1131933,0.055333257,0.067655995,0.12437418,0.19552341,0.1909773,0.36065543,0.13254578,Zk0k_-EB3X8
0.28489015,0.05653196,0.060513925,0.123666525,0.12291132,0.44982198,0.44268364,0.09011934,1MG0SYNAgtE
0.029573578,0.10699297,0.030187845,0.016397346,0.18430644,0.096011385,0.27023628,0.014793938,hLIaMR_I56o
0.113914885,0.029125832,0.06953819,0.1430432,0.19964011,0.1241872,0.23294027,0.14278309,uPxDnb2-aVI
0.030597476,0.016451603,0.02812048,0.026734965,0.11511295,0.058987055,0.14873572,0.030413404,w4O4jK-lZrI
0.034790408,0.019436494,0.08370553,0.029329512,0.1710344,0.09519477,0.30831355,0.036234472,ffjIyms1BX4
0.026007004,0.018742332,0.033724464,0.0234534,0.15468554,0.102126464,0.2672799,0.024661252,e8Np-fg8hnY
0.026217176,0.004963247,0.02909576,0.015517885,0.029375276,0.14859404,0.32144123,0.016614234,o-TMOeCDeus
0.03322612,0.013327881,0.046099428,0.030257372,0.051537704,0.09067985,0.24192572,0.03157807,z6JVmhKsHDo
0.06296181,0.013258465,0.0751877,0.055275366,0.13684273,0.25583532,0.32324702,0.08330417,Kl5ctZhyxm0
0.08503825,0.011453647,0.048408587,0.09166687,0.1296801,0.04783483,0.23525,0.04923726,ZCKRjP_DMII
0.39459804,0.33600304,0.06932116,0.49479043,0.7279288,0.18004495,0.23771521,0.24632435,aA1T_0pZHXk
0.08802163,0.036851373,0.05045401,0.051219165,0.14726952,0.3180735,0.30059725,0.066140175,B5Fwl4P4EW8
0.017394256,0.010967735,0.010980261,0.017493282,0.08541925,0.048741765,0.18919618,0.010631267,UUySXZ6y2fk
0.118776284,0.01631277,0.09064417,0.09582157,0.1634006,0.09839305,0.34359393,0.079338774,YF8AAJSTJoM
0.1280374,0.018048171,0.06642561,0.05813521,0.148697,0.09517438,0.3047604,0.05915613,stuU_BKYyqI
0.12583078,0.019158829,0.063932925,0.09607716,0.039004035,0.20898859,0.38430744,0.082580484,07oe1m67eik
0.06764141,0.086087525,0.024229383,0.05976197,0.31166694,0.057912104,0.16634697,0.039922744,CqtZdnpfgIc
0.072442204,0.014993866,0.040090032,0.06405726,0.12631696,0.07857022,0.2397524,0.032049183,ZUIZXxPrldE
0.049110945,0.022074303,0.08728243,0.095129766,0.17515405,0.1841995,0.20920005,0.08668547,raijIFglj6c
0.13370928,0.029984225,0.03600383,0.06226799,0.24772409,0.11372417,0.32243338,0.030794574,f6ixNm9SP-c
0.2198948,0.43451136,0.09943232,0.93376607,0.69473493,0.24880227,0.27052468,0.625121,Q7QWYCkBvF0
0.09481835,0.06771983,0.062252413,0.10242482,0.1098275,0.18427896,0.34728143,0.08125923,-f7wB0oIW6o
0.1190776,0.10515087,0.06670513,0.111011624,0.10197633,0.06801181,0.22104098,0.10212238,I13K29e54b4
0.07171533,0.068918526,0.063105665,0.04749051,0.15079787,0.08018281,0.26309624,0.049799558,6CXRaTnKDXA
0.13631928,0.05653196,0.059746243,0.16766301,0.08800508,0.1493978,0.3330474,0.12107902,lrEM3LHvjI0
0.034596425,0.0253489,0.03629533,0.046776194,0.10007032,0.075892985,0.26938373,0.034411494,We2nYvdjpKk
0.27639216,0.080905534,0.027973559,0.09215632,0.22606288,0.34600225,0.32910815,0.0508844,0c6-l_-tWUM
0.09267329,0.07011723,0.04639189,0.06394025,0.26793554,0.110084444,0.2450593,0.04258614,VNxVz_vr3rc
0.020654833,0.09172598,0.031887803,0.01865302,0.1511384,0.08801574,0.2442288,0.01945947,pA_nXWHvUL8
0.22459415,0.09279997,0.08505835,0.06890859,0.15554264,0.3447336,0.25398847,0.08849252,aY_voyuDOEE
0.04365585,0.02193547,0.033674706,0.044575986,0.21967709,0.05538076,0.17279878,0.037623916,H1KkNzMIkfA
0.1843947,0.07251463,0.08048309,0.21920341,0.15337875,0.2030704,0.2757397,0.12960047,CKdC62uiWjI
0.0659528,0.09118898,0.04745638,0.07849351,0.14031161,0.06431625,0.15457503,0.08826404,pHRu0VV-Dbw
0.046844684,0.021518974,0.034512836,0.06275383,0.20836742,0.19969188,0.32841033,0.030208126,mVqKnmCLowo
0.16786265,0.05493369,0.120220326,0.08108561,0.2772406,0.4845387,0.4850809,0.12137868,pY7qW7FBRPk
0.05242171,0.05253629,0.05284193,0.046889193,0.10746223,0.26627284,0.3572049,0.06449775,60zaoG7QQDk
0.10928836,0.046465382,0.067682065,0.10790049,0.20571522,0.14565144,0.25942016,0.085230164,vEAFzgsRQs8
0.1123627,0.12695669,0.027198495,0.11880387,0.38483337,0.22491463,0.30483395,0.04312725,ewaQQT0wwaw
0.1288428,0.09118898,0.1291255,0.14306353,0.1836709,0.2857758,0.2934473,0.1427843,oJAbATJCugs
0.11021921,0.13610743,0.051550485,0.16920656,0.19590129,0.06608516,0.1538403,0.10594514,ZCiRzSgo3A0
0.070657924,0.016243355,0.09803451,0.04787892,0.19645588,0.149899,0.22015566,0.08755621,1GZjbM5cr8o
0.06821923,0.03187269,0.04700856,0.07929219,0.20045118,0.1730415,0.293518,0.06398759,LA_BcaLV7Yc
0.057257548,0.014855034,0.12721004,0.031266358,0.13002585,0.09820345,0.26181296,0.08060974,z5OYFCDOw7A
0.2080487,0.1894391,0.08295304,0.37879568,0.18613105,0.20965591,0.29334983,0.16026989,dSu5sXmsur4
0.03155346,0.06931809,0.044965908,0.022804061,0.18887344,0.06757324,0.22761647,0.026497142,eRLJscAlk1M
0.041866135,0.017354012,0.073602855,0.029548116,0.19703108,0.122009136,0.22929472,0.050332837,LDdKOmvIKyg
0.037461333,0.03187269,0.021280337,0.08005749,0.1231546,0.044571687,0.15405582,0.026720202,RSgXcFdHxFI
0.092888944,0.03358948,0.037449725,0.077064216,0.14107026,0.11896886,0.17904286,0.067646146,C14LJmj2w2A
0.13010864,0.021796638,0.06587526,0.07809598,0.16195716,0.25822765,0.2967406,0.08053533,TvdmQaiepXQ
0.3388129,0.090114996,0.14394617,0.1278402,0.09377899,0.5478427,0.47995308,0.14634538,XBgq-JzIpE8
0.03186431,0.05493369,0.01778586,0.03339397,0.2507235,0.06128763,0.15692788,0.020975139,RZlICdawHRA
0.0570153,0.03187269,0.0366331,0.053775594,0.22097299,0.06686141,0.20324482,0.044359468,q67lBUpStzU
0.0864393,0.026207292,0.028095603,0.041721184,0.17335524,0.07575802,0.19608243,0.039596573,CC5WSpby01E
0.057096887,0.027237365,0.037480935,0.0316808,0.1045825,0.07449991,0.22003217,0.039462056,wT8IgA4ms0s
0.39589173,0.085282035,0.05622104,0.13214295,0.26557446,0.19669554,0.21028945,0.12650874,3ONXxIxiyh0
0.116014294,0.08170467,0.045949448,0.089689225,0.2596653,0.5659615,0.25248408,0.089503594,jOR_MSktH5A
0.2567976,0.09924392,0.047981896,0.12930314,0.07745564,0.24321753,0.32794857,0.08611308,L9q5NMrm2zk
0.2002209,0.2406723,0.033283975,0.3386415,0.07732214,0.105625734,0.30141914,0.084552325,0KQYNtPl7V4
0.09710109,0.027752401,0.050490502,0.0662539,0.09624788,0.10011721,0.16832244,0.067713924,08z-Hw7s54E
0.12051592,0.049898956,0.06313547,0.17918839,0.23318781,0.24123785,0.22813094,0.10846067,Sv7OHfpIRfU
0.28010276,0.0495556,0.032869812,0.10486445,0.13419224,0.06834232,0.16715972,0.07211269,V9CHazyJHu4
0.06437373,0.09924392,0.05321385,0.085023805,0.17367585,0.1137918,0.26420027,0.074469954,1Gq22w_NfLc
0.28239015,0.2022951,0.042258035,0.101720884,0.19664909,0.12203604,0.17794432,0.0868596,nIlMHFwC1MM
0.10371711,0.028782474,0.051046163,0.10375386,0.090704486,0.061353363,0.2590433,0.05396987,-rCAd6KXCjk
0.040331904,0.039598234,0.024675969,0.03884748,0.11605269,0.05864768,0.22101815,0.02440561,rFw8MopzXdI
0.18040636,0.019714156,0.04105533,0.048336092,0.12267307,0.044340666,0.2164724,0.03229593,tP4K8BZ3jdY
0.23578805,0.015549194,0.19970722,0.4427558,0.14704423,0.4880529,0.35721502,0.3148122,0Te5al2APrQ
0.07528598,0.12116077,0.048489958,0.035898063,0.27494964,0.28806087,0.3497386,0.03568195,6EFHZfISGp4
0.07777686,0.10699297,0.066276014,0.03576383,0.03746811,0.26660892,0.44000375,0.04363486,5rFmYRXWVio
0.10812145,0.16151784,0.124163166,0.13604671,0.18101677,0.12711082,0.32857785,0.12175145,kVOTPAxrrP4
0.034349285,0.08581903,0.028072964,0.029916031,0.27440524,0.14877981,0.17074218,0.03207757,PXc7scKLOSE
0.24850953,0.104076885,0.1603332,0.13080105,0.2954187,0.47021052,0.3310579,0.17103343,A7NhO3MpXuY
0.08265052,0.0669207,0.044002496,0.079515494,0.13309078,0.053296547,0.23533903,0.05569829,TSDZT0samqU
0.014802368,0.020408317,0.04241977,0.012143037,0.11320558,0.06863169,0.22293988,0.01784179,xplesDv5hl0
0.3098432,0.15626417,0.09981816,0.18923831,0.27261728,0.3450643,0.346347,0.13946724,VXqcUbo5smM
0.1197568,0.09494796,0.083942324,0.07729999,0.17945941,0.1329884,0.20913334,0.13683408,GrCVGzvENY4
0.052668206,0.07091636,0.03232077,0.030759014,0.081373654,0.12978569,0.19312544,0.03223517,mvUPj2WbuKc
0.2621556,0.007496933,0.39026442,0.21814679,0.083555244,0.58883935,0.49594072,0.30958453,zut2SBPtQ9A
0.14839084,0.09709594,0.046660364,0.061586488,0.0663337,0.12310196,0.31225187,0.040283404,34PTcGXLpdU
0.1283538,0.14059398,0.060993534,0.16710302,0.1609547,0.14260907,0.23218566,0.106427036,TF_qaNkDyKw
0.4151731,0.39230084,0.08618599,0.55353445,0.15853363,0.49053833,0.40700147,0.25724941,nbk4geXxGLU
0.107829176,0.094410956,0.036614414,0.046843637,0.12122601,0.12915474,0.30238783,0.052193295,3pbcdZWq_GE
0.02116379,0.111500904,0.013355149,0.039954495,0.16179323,0.08922718,0.18401857,0.016505625,EhAemz1v7dQ
0.41480815,0.118584804,0.1724498,0.12765613,0.35602593,0.7620518,0.3272046,0.18088964,lPgZfhnCAdI
0.3147704,0.046122026,0.10119687,0.1800488,0.2720214,0.1855437,0.27582225,0.15695669,JZ_EV9DPtt0
0.025902146,0.030155903,0.015476578,0.013327133,0.081405476,0.06744336,0.15353538,0.015506799,yhlg9txl7yM
0.101081476,0.14104263,0.052198578,0.03903948,0.040883772,0.16143318,0.3240841,0.04141414,sl1SdsvZNFQ
0.054290902,0.0224908,0.08782589,0.03371916,0.09101384,0.12558512,0.1777549,0.100561336,yvsYWsCnsK8
0.07095739,0.020269485,0.03835556,0.054370724,0.2719033,0.08427117,0.21985954,0.0411731,EOctIuyVfnA
0.29880092,0.02397547,0.04677517,0.106261075,0.18481962,0.12839392,0.19241183,0.0964016,XEOQYQ-TsiA
0.09184841,0.089041,0.0524881,0.07278691,0.2964795,0.225964,0.30463454,0.08862107,Kq8tgpi_Sys
0.08194018,0.049212243,0.1432363,0.087140165,0.10226639,0.22408722,0.27176392,0.16566713,9lD29jqH078
0.07953432,0.050585672,0.030980986,0.050963335,0.0949759,0.057178404,0.18384853,0.04655131,RmHhIbQPTv8
0.03804896,0.0010369022,0.0206575,0.030931229,0.18140918,0.11159979,0.23497875,0.021748004,jAhkqX6GRqE
0.24654609,0.105704986,0.043736707,0.21015324,0.33220977,0.70405996,0.25204423,0.16482872,TdhGXSizxaw
