PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_INSULT,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_THREAT,video_id
0.14927287,0.16054276,0.53785497,0.16107774,0.21844956,0.021657806,0.21197551,0.30206,vcpO74JcgzU
0.1007046,0.10040937,0.20394713,0.15112902,0.05908985,0.01193956,0.027314115,0.115913674,Mb-6LlSkrdo
0.11252511,0.12699106,0.31735358,0.055644497,0.14790682,0.0121478075,0.113457896,0.2508853,bQZuyh3-F-s
0.26566997,0.119497955,0.6759379,0.18582253,0.04474325,0.014022041,0.07568922,0.19132099,VG14R8hVX0g
0.046356305,0.01807124,0.33919603,0.08150453,0.019831182,0.0013883209,0.010457195,0.024376305,Dhyacr_lMYA
0.082858294,0.08546622,0.22813608,0.14149591,0.08257184,0.01561861,0.10947757,0.14385483,Bi3hNsTcda8
0.05193996,0.08002303,0.19061807,0.16798078,0.07297736,0.123736724,0.060408067,0.2830586,E79JjQY4B2c
0.08369605,0.1280473,0.25895402,0.0028319003,0.16443776,0.1550967,0.14571355,0.27199402,qJNydvwAaXI
0.124030404,0.09402839,0.48273247,0.14043519,0.048625004,0.008329925,0.059393555,0.16068086,iepWtFx-RVw
0.13364913,0.13619673,0.58013666,0.0022541226,0.11380489,0.0334178,0.20808822,0.4036078,vm9gvce4Zws
0.05667067,0.0688803,0.30854332,0.11375316,0.1628927,0.040628307,0.19743316,0.43560195,kmXDD7sj4UY
0.04422989,0.027098078,0.34307057,0.5065087,0.09079474,0.025863936,0.10907733,0.090639465,KTxKliNiod8
0.14498228,0.089797325,0.30468467,0.17998977,0.05735086,0.017423427,0.085212745,0.22749501,cC9cxq6_b_c
0.101262204,0.0679149,0.36765042,0.12055022,0.03808605,0.024662184,0.059128717,0.31715867,NHMo78iq_iw
0.08169419,0.06407682,0.3065387,0.11389467,0.0385319,0.033074442,0.04160163,0.151712,jXEP7mXJIHA
0.36263368,0.15233463,0.5372672,0.08274946,0.08727006,0.018881164,0.083325855,0.15263517,giBueUBd5ow
0.10035437,0.09607645,0.44696692,0.043399286,0.049478058,0.020824814,0.1891881,0.5439271,bBlpGT7TxHs
0.12197392,0.06323416,0.46944472,0.15235585,0.053981557,0.01721518,0.06708338,0.23092718,G1rdgrd3Pns
0.12930723,0.08623702,0.34660503,0.06206529,0.059154034,0.04234509,0.09261061,0.2366282,3By8nUKMUZ0
0.058492593,0.111056305,0.277899,0.16279212,0.113328405,0.034791227,0.16451256,0.5295426,RNwSq2FjPHg
0.10774059,0.08080832,0.30098948,0.1479609,0.063014254,0.015202113,0.068771556,0.16299446,HDfx60AJRiM
0.05659111,0.060385976,0.29587337,0.14426905,0.03678289,0.06332459,0.050994586,0.1978938,NkAonY9E96Y
0.05108905,0.04202999,0.24448077,0.05686822,0.07175263,0.035649624,0.13713297,0.30825573,OsBd0kwpq00
0.11690908,0.09274455,0.42566127,0.16717117,0.07798517,0.019575324,0.115634,0.240255,2rrywx8_20g
0.09316531,0.06904692,0.3042246,0.15918241,0.03453232,0.012356056,0.07243136,0.19052081,zspcOU35QT8
0.0677991,0.0907987,0.37862676,0.19240548,0.11125291,0.035649624,0.15783632,0.205229,rgIPYjL-_hU
0.05424374,0.06768077,0.28238878,0.02520587,0.09236599,0.0253489,0.07518971,0.22100094,Dnx5MKsuy3w
0.07867578,0.06946384,0.3263131,0.1846317,0.04239532,0.015757442,0.06763699,0.23123299,Z4u9eBmjjf4
0.059942964,0.0442844,0.35948196,0.107970715,0.049828526,0.024662184,0.068277724,0.08553237,v-S_tIYGU3s
0.26475587,0.29995653,0.51663804,0.12337212,0.2957025,0.060927194,0.2052633,0.24380703,s06Q__JOyNk
0.09021656,0.07864623,0.22737715,0.18185796,0.050722525,0.21539254,0.08705041,0.13972534,h5IOZZAT8Ew
0.14587215,0.081927076,0.61091864,0.010041156,0.0930677,0.044405237,0.1734798,0.26680255,hh4ANv89WMc
0.083014786,0.075962156,0.30617464,0.16422723,0.06555912,0.01999182,0.07909557,0.33048362,oH1fcCiaT20
0.16736233,0.13675351,0.37905863,0.13181473,0.0886901,0.011175984,0.18657753,0.2603038,iX9mQNswJrw
0.067104526,0.07513662,0.22982112,0.11019681,0.053353515,0.007531641,0.07505489,0.37794176,oKxr1b4dke4
0.037120063,0.055602837,0.19134222,0.102650605,0.0924528,0.08689302,0.08579897,0.18096699,GHeiQJrdSCQ
0.40267396,0.26060304,0.6415316,0.35955068,0.14439422,0.09870692,0.20838104,0.7301563,ZLa328CJf2I
0.10138288,0.04862296,0.3719287,0.026758485,0.11055775,0.015549194,0.05553982,0.069555625,VvvhUUZieAg
0.0304427,0.024606343,0.22218606,0.06475329,0.078457594,0.0186035,0.054697655,0.07121658,1RRNu4QS11g
0.028461177,0.03010013,0.17139904,0.022261238,0.030120183,0.00015293222,0.056939896,0.04220928,75H49PnPX3o
0.14417586,0.14515196,0.39952338,0.055221327,0.08939378,0.013536129,0.17223181,0.34873626,n-wHMEDbB8Q
0.121483885,0.10947181,0.386111,0.22296153,0.08297661,0.05852979,0.095918745,0.503406,UrViqetjhxE
0.1494282,0.17502253,0.33139065,0.06873071,0.13646518,0.021380141,0.25917384,0.6876487,NW0MpUxmopU
0.095459945,0.07816457,0.26968357,0.13819279,0.05986331,0.019852988,0.07317385,0.13165309,NAZ5FCQzLo4
0.027845006,0.018444896,0.21682654,0.04516712,0.009910987,0.0036096342,0.01514372,0.15882431,YxoR1tprQfE
0.19226955,0.15147637,0.449931,0.1985125,0.113594264,0.009857078,0.13901486,0.1906178,KEWgBUk5Uhk
0.047837265,0.03490171,0.23814711,0.14667164,0.027935032,0.035134587,0.04228941,0.14713947,B0DrWAUsNSc
0.034277245,0.0447595,0.27796978,0.15612207,0.050918084,0.013883209,0.036597654,0.35017845,oJJUdfsxXpE
0.04913455,0.062332448,0.2207128,0.5007901,0.08153432,0.13386416,0.07161557,0.18369097,on_lZfv9Omk
0.20458,0.16695412,0.6239107,0.01779186,0.14630291,0.023803791,0.25273713,0.7120489,bSDbv82SIzM
0.08615615,0.07037851,0.45096058,0.021138284,0.06773969,0.022945397,0.14862937,0.43324906,NeD38XCC21c
0.099249065,0.09302518,0.28959247,0.056682654,0.07223267,0.008503466,0.09660866,0.17675726,TUP0AG_g29I
0.11198134,0.08196568,0.27498335,0.19701894,0.05489664,0.018881164,0.08697896,0.2814125,NmKR2TtInbY
0.2396849,0.14353439,0.41196686,0.14468552,0.089320675,0.023632111,0.18477145,0.48886985,hreAh_SNTDA
0.2130419,0.17227148,0.43528488,0.19025673,0.1431497,0.09870692,0.2382585,0.70081306,07uAvhgczJk
0.06641737,0.043195207,0.36954048,0.059301946,0.027632836,0.003106368,0.029921712,0.20449753,ROg0QxZujpk
0.12565625,0.054187555,0.47404578,0.022343047,0.036857802,0.004893831,0.0631409,0.12339326,LWmBlNDiBr4
0.13891321,0.09073064,0.24821982,0.13908881,0.050584275,0.013050216,0.0678743,0.1752194,6n1kHf4FZ8s
0.14790942,0.15946698,0.4216645,0.073660195,0.1608921,0.014369122,0.10085574,0.4985411,m6TXOYCoLew
