PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INSULT,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_THREAT,PERSPECTIVE_PROFANITY,video_id
0.077039756,0.4055983,0.06081011,0.020130653,0.048027325,0.0817973,0.0920765,0.053914867,pC-fqGOSSUQ
0.08996611,0.3455921,0.08703202,0.24769363,0.09951163,0.15543465,0.13182192,0.085950494,QB9cMklPgnM
0.06402249,0.2576476,0.032534793,0.004754999,0.024876475,0.14233524,0.085638,0.03936215,cIY95KCnnNk
0.2839984,0.48298883,0.33501676,0.09387396,0.29035866,0.12024445,0.51908094,0.31141067,Phc7yOd1SsM
0.07373333,0.34057975,0.06964146,0.12888865,0.08433637,0.27911884,0.1649362,0.07617108,lHop2uWMaQ4
0.08450451,0.39248335,0.044115838,0.03221605,0.086353764,0.29486057,0.3205014,0.066447824,-HTYHimC3BQ
0.037249558,0.18306156,0.05516073,0.09065199,0.044906307,0.1847457,0.07191854,0.047849648,2u7hOy3JLVE
0.13404784,0.47510436,0.16274293,0.07571117,0.20414391,0.2427158,0.35661465,0.13672659,7JoCgGJGJ7Q
0.05754023,0.3141354,0.045408987,0.014993866,0.033752993,0.19827986,0.074020535,0.04105276,YPckkXgc7oc
0.23669171,0.91981745,0.04523053,0.04234509,0.0820024,0.036365885,0.15052427,0.09427496,NjjlGmDI0xM
0.21052548,0.3836969,0.21159661,0.18055865,0.39875406,0.55346936,0.6286663,0.1580309,zfMJ3jX52o8
0.08672024,0.25137195,0.031462785,0.0471521,0.02710052,0.1866996,0.09888867,0.059184752,VY-Ewukt8tU
0.2558106,0.40139768,0.09717302,0.17759849,0.12405085,0.089931965,0.2907428,0.1715387,CvPnthTC1WQ
0.064278714,0.2192688,0.26135305,0.27690583,0.17104094,0.15941443,0.10667914,0.14751372,uMMJbbjR4b8
0.12588632,0.25696164,0.20753872,0.355017,0.3115745,0.52992636,0.9099926,0.28132883,-GKZis4ihzo
0.05135058,0.35420015,0.046572328,0.03221605,0.049761306,0.10607351,0.073309936,0.036689572,5TlneyfVz-M
0.073369734,0.29739827,0.03346118,0.067320265,0.100902386,0.3209604,0.1482507,0.059613183,Wq44Oe7T30E
0.047860272,0.18735637,0.15723485,0.4151741,0.10807859,0.18015218,0.1427195,0.1314575,LKCXvocFzcQ
0.18807748,0.3407136,0.11835943,0.089577995,0.23394607,0.34347123,0.6922138,0.1468261,dNTUVVXUlSY
0.07225414,0.20815179,0.0808136,0.084745035,0.08931749,0.16485494,0.2101491,0.09838808,POQfESbt5U8
0.073146224,0.40767863,0.35080823,0.38959074,0.1405379,0.1945793,0.17385438,0.11457209,ncbo-9h1xLQ
0.11562367,0.2860662,0.044090524,0.23365098,0.053636115,0.24931054,0.16639525,0.07575441,oSiIHal1WY0
0.048319068,0.4516038,0.03664225,0.09548495,0.028507954,0.108341865,0.058635022,0.027207395,F9SV-BHXq6o
0.052496947,0.2442987,0.0774521,0.18154536,0.10963005,0.2640097,0.18096554,0.05665103,1ccHS6Ws-Xk
0.13741216,0.25667593,0.056553565,0.119872786,0.08836246,0.20408906,0.14611101,0.09689003,0Bt-JZSVWmk
0.08468748,0.621869,0.11776444,0.012564304,0.1541501,0.039450638,0.22012915,0.07252564,b3d8wgZ9C-Q
0.083561175,0.3534708,0.046310205,0.09494796,0.04520377,0.10229044,0.13348112,0.060433883,2gitsm-xnVw
0.07369299,0.3170084,0.11044312,0.1609341,0.073469535,0.45070875,0.13256033,0.069574855,69rAYdEJbsg
0.20876633,0.36634162,0.27892828,0.08290337,0.26210803,0.029778784,0.615402,0.2900514,GDauqjE95hM
0.102863684,0.31813645,0.087084405,0.034962907,0.08937677,0.3849252,0.18116352,0.08276039,Dp4BrNvfdHU
0.07976438,0.2208011,0.0491409,0.023117077,0.03134952,0.3874999,0.08708272,0.0710082,1JSjZqV-YK8
0.13774239,0.32891893,0.1752536,0.019019997,0.16208231,0.04202336,0.4581179,0.18760839,jzZrvX1xnh8
0.06946477,0.33613145,0.24241239,0.12953265,0.14059699,0.0044919234,0.4239214,0.21342447,TDA3lOXr4uY
0.053143285,0.59636354,0.033840034,0.1731117,0.021708794,0.1147049,0.104369186,0.022501444,ptdGvoY0syI
0.16639058,0.43956798,0.10837354,0.31389946,0.10941897,0.17682168,0.42589748,0.114480995,x7h_gT6d9Sg
0.17155743,0.55994743,0.16853845,0.059728492,0.22031474,0.043290816,0.41344178,0.14734618,jKb8UZDycAI
0.031377,0.2729728,0.035070017,0.07251463,0.04897862,0.381124,0.08102219,0.021476258,g28JsG2SrZc
0.14491248,0.2803239,0.5670594,0.035306264,0.27389225,0.27325147,0.22532639,0.34046835,jZW9Y5-MIAY
0.085314296,0.3832869,0.061514225,0.09816993,0.06547537,0.057263523,0.092665985,0.06274826,5H8d0Iayix8
0.2846228,0.46118733,0.088488154,0.052935857,0.12124027,0.1387559,0.24298611,0.14009732,qzIkmPx9NTs
0.11925841,0.39629394,0.4397046,0.34388447,0.29627502,0.36442286,0.27544096,0.30133277,dThA6_CFRq4
0.11589606,0.3815182,0.095110185,0.28825936,0.09492596,0.252927,0.23855583,0.09781913,qP9tvl0-lzM
0.06092531,0.23711683,0.6888193,0.15159425,0.18702695,0.18015686,0.1533056,0.2691776,Q3K3Prr9hdM
0.055493224,0.31784737,0.031472303,0.14956708,0.043809608,0.19475245,0.085674964,0.036314268,FYQkPHLum34
0.041103736,0.26621404,0.031577606,0.04818217,0.040200256,0.09052079,0.096640706,0.037048344,zk0Qbmk5C5M
0.09989057,0.36912718,0.056825824,0.43100753,0.057799537,0.44623557,0.16772205,0.06360634,Nvrt2KlVv9Y
