PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,video_id
0.06670258,0.16805066,0.039598998,0.030932574,0.022136778,0.17739935,0.016798683,0.035636835,cvPmKQvcQiA
0.047647223,0.1421045,0.031030277,0.01711357,0.012068262,0.17739935,0.030670939,0.021903075,hv1tCielj2w
0.1488999,0.23618855,0.08452901,0.110315755,0.06292105,0.16832525,0.057331093,0.08337762,fqldnRb0lbw
0.70541334,0.6024954,0.2806474,0.3944709,0.5604227,0.24890211,0.30788645,0.4025417,t2u8pBsLlX8
0.11568579,0.21675245,0.07283685,0.0672645,0.058248967,0.13052888,0.07730943,0.07985135,Gb5IVJV1d_w
0.29619765,0.52006614,0.15734711,0.06623603,0.043327183,0.12955654,0.21186037,0.111709066,Z72QS0fhwcU
0.34237206,0.3554649,0.24337667,0.17033313,0.2706446,0.16591267,0.06492286,0.36624435,9qUa5Mgz7Bs
0.31676206,0.41935408,0.3407166,0.13272013,0.15663603,0.49475983,0.17449278,0.21356378,JzWwgmUQ_tc
0.05100028,0.15079243,0.040325,0.028241934,0.015760658,0.15304896,0.021657806,0.024566384,MkRCM6KGG6g
0.1541093,0.36342412,0.067962274,0.090411454,0.1518745,0.20202254,0.02397547,0.07998555,_omngI0Idzc
0.7609282,0.21883902,0.075212166,0.41417897,0.16280288,0.505467,0.2406723,0.15713015,LFXwFsupCl4
0.17843917,0.57148683,0.18742839,0.50417566,0.57385695,0.20819971,0.46621865,0.8663376,DZm_aPiVP8M
0.2372516,0.31298885,0.033897735,0.030940043,0.05783285,0.0013033489,0.044405237,0.043723937,pl7qqOMQHhw
0.5821493,0.35379264,0.081162095,0.19619562,0.13929194,0.30249387,0.3123962,0.1422876,SDT4-an18lA
0.056829344,0.1705997,0.040344864,0.03491926,0.025356945,0.35701004,0.07011723,0.030648436,RJscAAjBaqM
0.3802469,0.50705755,0.091567256,0.21507537,0.19361351,0.007543252,0.22333995,0.17166086,Ye7hIQID3Oc
0.09403854,0.28445077,0.21887773,0.12885618,0.24776019,0.18137677,0.030842619,0.28811696,FyMtpH9nAPg
0.10251941,0.23004347,0.0960988,0.16260365,0.32239297,0.28339094,0.28996843,0.15335941,dE2N6sJmr1Y
0.03964232,0.22717421,0.033843562,0.018281175,0.017346898,0.13344312,0.08367105,0.03203652,tfuRSJgi0NQ
0.48473266,0.3710344,0.06460449,0.39507163,0.31531107,0.0112214815,0.28948012,0.15908499,H-8ZpxgE8cQ
0.27198255,0.25842395,0.04789339,0.02616358,0.030562053,0.38029754,0.07690986,0.03914167,_uPWJGUVu2U
0.63819754,0.3883198,0.08206222,0.23035656,0.1478545,0.19266205,0.1621016,0.09469226,Gpm9bK4sEwk
0.13997002,0.67392623,0.22274218,0.13249266,0.18063341,0.09688157,0.07251463,0.27094704,YQpN88u1MeI
0.11921611,0.50235265,0.13903543,0.07831723,0.09658116,0.24136902,0.04234509,0.08286293,De7RDzTMlQk
0.077497244,0.1698622,0.076678775,0.048867945,0.034602318,0.41472626,0.1668969,0.051929463,pS3JlTpFbaE
0.068358995,0.39801094,0.16594565,0.034209684,0.032444153,0.09793706,0.013813793,0.05555373,wLSW-WWgipA
0.2460716,0.50125957,0.7407407,0.116630375,0.13445869,0.13236621,0.17759849,0.41024134,aU4xKI_byd4
0.06728649,0.25575384,0.036986493,0.02551817,0.018534051,0.29585543,0.09763293,0.020994632,neTMTZfpU5c
0.031727746,0.1914236,0.035958458,0.021784069,0.036591414,0.062217284,0.0054838676,0.034011967,4F9IggQI0l4
0.05489812,0.16031201,0.04345494,0.057714645,0.044946443,0.3093315,0.15042676,0.07731196,f4jkpT2ozyI
0.081928656,0.20369937,0.11233222,0.109434426,0.10619691,0.024661785,0.006178028,0.12857698,r4_um9HY1jc
