PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_TOXICITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,PERSPECTIVE_PROFANITY,video_id
0.16889942,0.06607139,0.03777023,0.16754772,0.035306264,0.3015943,0.13581216,0.083753124,oayAEsJpPaQ
0.4370477,0.056239616,0.048439804,0.08482607,0.09387396,0.28440803,0.16706532,0.08199665,lWq27vLyJ0c
0.21067989,0.06491725,0.058426343,0.15411974,0.15626417,0.6687751,0.15789865,0.064201795,GrTXSV3PUTc
0.28796238,0.031619098,0.01677272,0.052662842,0.008815838,0.23952653,0.04849313,0.032063648,wwiFeqpeRRI
0.20079042,0.081398696,0.03849758,0.09872704,0.11021292,0.2892162,0.12900306,0.06011142,G311WhrIkZs
0.361875,0.13554876,0.25191498,0.56738317,0.10956893,0.66572607,0.33202413,0.4257763,9EBPG2nuiCI
0.6302001,0.1695209,0.26134267,0.20929319,0.123736724,0.5483828,0.26674265,0.21040304,jSrCoLu5OY0
0.19579211,0.019104596,0.01776949,0.026783768,0.033932835,0.29111758,0.057675354,0.013176562,QIeChyDSq8E
0.40858552,0.016275432,0.021079285,0.029888667,0.017006932,0.3290193,0.061283637,0.015217865,My-wf-Ipo8o
0.34298787,0.13242835,0.14295417,0.15898277,0.062925026,0.5153521,0.22183006,0.12585458,1HgZxUCTSnI
0.09158687,0.029605309,0.02057038,0.02999114,0.014299706,0.1850829,0.04272405,0.022664424,_488MzW_cm8
0.3002736,0.034538474,0.03888024,0.06954077,0.22983712,0.25903034,0.071585536,0.030972416,-72PoHd426s
0.082514524,0.095354445,0.20209493,0.099218115,0.03049926,0.45426604,0.33339247,0.14371216,kZsDXwGtFhU
0.2913231,0.06973841,0.061160885,0.15960267,0.09279997,0.3777509,0.17212296,0.22235718,us0WI7Y6In4
0.16420521,0.080391906,0.11229376,0.061096508,0.024833864,0.35619387,0.1829239,0.07399896,vfc42Pb5RA8
0.37650582,0.10243236,0.14386514,0.116268374,0.09602194,0.3793581,0.23308824,0.10584766,e_z0F3c1NZ0
0.14046824,0.026712073,0.020523606,0.08265027,0.043031808,0.2600132,0.08280547,0.03892481,-qskIg9UF7U
0.22029553,0.12262391,0.06631852,0.13881335,0.17661177,0.40238488,0.42445385,0.08384325,oJcPQiqosX0
0.3828979,0.028621601,0.02554078,0.040914584,0.004720291,0.21530202,0.057041813,0.029918384,yQCREgz4tQY
0.17569366,0.11559642,0.110692225,0.13297075,0.39108577,0.33414763,0.13952179,0.09682468,Ucx_WyhzOcg
0.17630869,0.028361095,0.025015496,0.03546869,0.029125832,0.31243065,0.066562675,0.01965768,F9u81_vytOI
0.05312392,0.18662404,0.23656778,0.13183123,0.01193956,0.47106227,0.25924814,0.17755911,kYyPMEw4Bxg
0.48500025,0.060110874,0.07164474,0.07346777,0.089577995,0.3256385,0.1213078,0.038219407,52FOe38VNJA
0.5943148,0.20125617,0.07594065,0.03725712,0.11407687,0.34125218,0.11504118,0.056708943,A1I-UDd8x04
0.012258048,0.27070862,0.2467966,0.1799038,0.080905534,0.5341195,0.39042753,0.2139506,ktWdyNiw350
0.07533386,0.118455455,0.07256323,0.15063137,0.011800728,0.35396218,0.4543147,0.15688367,1XzLXLDsIs0
0.22401361,0.07216485,0.07052965,0.08135537,0.033074442,0.24362002,0.1181332,0.08501611,xqTP-k_2_U4
0.085369304,0.17482474,0.13896723,0.055323392,0.08290337,0.27309972,0.1848425,0.09075968,KqAQO4s-DU4
0.2832363,0.044115018,0.12544091,0.031080553,0.14597784,0.22034864,0.117181845,0.0528771,G2PjCL1BBGQ
0.17906111,0.11162794,0.061756246,0.09675228,0.1019289,0.52353096,0.29333282,0.059938446,CSfVPAWjMtQ
0.1762768,0.042801715,0.030888563,0.03757074,0.00596978,0.18446776,0.07191034,0.038238835,05i-fDXPw2U
0.16109793,0.14885958,0.10454408,0.115318626,0.11729682,0.4337837,0.52073365,0.10574036,aOpY-BYZSQc
0.29019877,0.050300684,0.06769358,0.04144441,0.112144895,0.3339025,0.1858574,0.047323298,dAute4t_sP0
0.18194783,0.09820462,0.095336296,0.16615114,0.14014533,0.38912255,0.28745124,0.119709924,A30gkBe_eXM
0.46317223,0.19239436,0.726546,0.06443348,0.5023275,0.20770228,0.1565528,0.37380007,MfbLyWxxdLE
0.23458599,0.2068166,0.22858146,0.057637483,0.13565879,0.41523954,0.31855127,0.08945907,GUX1zKAmDkw
0.26199698,0.08080551,0.18454403,0.07257182,0.29261994,0.44732693,0.16560185,0.06260335,URsyaAhFw10
0.38617298,0.07769557,0.06683989,0.10608959,0.033074442,0.29425308,0.17726573,0.08977127,-R43vUYxNHQ
