PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_INSULT,video_id
0.08782253,0.018881164,0.118134,0.356713,0.27677998,0.12288864,0.048266377,0.050123997,JaxisLq4krg
0.07212952,0.062925026,0.16942412,0.41488013,0.2655367,0.1214394,0.067757644,0.05092027,pT_bX9rkqvg
0.10237293,0.016451603,0.12067502,0.26366565,0.18845218,0.09406947,0.07604303,0.058382943,5qWt1wSUMLg
0.03169669,0.011661896,0.13414846,0.26794732,0.07463077,0.028851222,0.018120287,0.032386422,DQDfAQo20k8
0.03562795,0.021657806,0.13352214,0.36449793,0.1480132,0.06285502,0.032083526,0.031352345,HK8d3cUXMGc
0.031949017,0.018464668,0.06241273,0.2876323,0.50678974,0.024493365,0.014814146,0.04015443,6Z8cRXpuQDM
0.108186126,0.025863936,0.16986927,0.32607266,0.45140144,0.15094352,0.09659451,0.08080268,guS4-iShCNQ
0.100121446,0.087430015,0.28035432,0.35957098,0.18933919,0.13405341,0.09797493,0.08095334,UJdTEvhXELA
0.072463,0.025692256,0.16900374,0.4778473,0.14670826,0.16852833,0.1084487,0.08654051,Q5FNKoQWDHE
0.02791425,0.13565879,0.065343864,0.28955865,0.17645606,0.04159602,0.032434233,0.051168006,ryEwPqRMFXU
0.20504646,0.22990009,0.3215701,0.39386865,0.5934546,0.1995751,0.2465456,0.26840195,S8flK6wE8Cg
0.16050667,0.13146462,0.21797732,0.38364935,0.2870312,0.12972,0.10288986,0.14257741,9AhucgvQzGI
0.10830931,0.1710401,0.4381764,0.52699775,0.02682266,0.11930231,0.05902859,0.07881416,0muLhWNJVjQ
0.10088619,0.11536485,0.15830112,0.34688234,0.19494027,0.06705062,0.07006234,0.08604079,L86lAdEGQ0U
0.18947758,0.18450552,0.30889153,0.5158615,0.3417539,0.09862868,0.09637438,0.14296757,npRzgcUqVfQ
0.049409624,0.05653196,0.13742508,0.27753207,0.3227618,0.06817178,0.048219133,0.067718156,mhT4LEcSqnU
0.26283467,0.22510603,0.24463597,0.3337391,0.19465278,0.08904779,0.15975973,0.47807458,md7i1YZ9Puo
0.107370175,0.034104515,0.19499461,0.28731263,0.2197386,0.15444079,0.1483796,0.10950764,Co91BdP_G_o
0.07120416,0.019158829,0.12028244,0.23352396,0.36042497,0.06543357,0.08521839,0.06579378,-88fOpUQw_A
