PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_SEXUALLY_EXPLICIT,video_id
0.25703254,0.021303186,0.08081386,0.026511082,0.031096315,0.013327881,0.1850161,0.031481612,P3codx-fXbY
0.3609658,0.039960533,0.14580378,0.0565014,0.04708404,0.027409043,0.12544686,0.04689937,3aTImJVmnQY
0.49267036,0.12028779,0.44105282,0.120400496,0.17461672,0.02262963,0.098024055,0.098674946,Bvzm3V8deis
0.2415237,0.064044096,0.23779368,0.036031578,0.042990796,0.05373499,0.066227436,0.077560104,5Oag1hqtJ1E
0.37456912,0.04431259,0.21876855,0.03910814,0.07991309,0.036851373,0.055703122,0.04869838,ZDwqVWZhh6s
0.29945582,0.026509235,0.07240354,0.024988944,0.03170074,0.053335425,0.22117421,0.03989472,g2zm-RczGWw
0.41289067,0.094855584,0.28259528,0.10421607,0.13659449,0.035649624,0.07589007,0.0818681,p_3meUW63AI
0.33574352,0.06962299,0.22348589,0.07335184,0.12947237,0.017631676,0.049881727,0.046745397,ejrpfbK1eE4
0.35172924,0.06829911,0.2046562,0.06856638,0.12044426,0.015479778,0.049881727,0.05354854,l0MYfdnPJJk
0.344007,0.056447245,0.17643532,0.059314292,0.11733268,0.01631277,0.049881727,0.044143707,zVC11YE6NDw
0.405296,0.07918261,0.27517214,0.08359117,0.13765986,0.023803791,0.083662674,0.07344841,mCfsgLVuHjM
0.40070054,0.059571467,0.2409825,0.043324806,0.10876476,0.028439116,0.06653313,0.056036986,NVyBj_8Om24
0.3226263,0.042738166,0.1937744,0.115618005,0.074113436,0.28825936,0.45293698,0.042778734,syNHPG9DeU0
0.33910683,0.060685173,0.2079637,0.062336653,0.11436345,0.016451603,0.049881727,0.048706822,Du-g7zjWI9M
0.48128518,0.090609275,0.3412769,0.0872066,0.15318921,0.0224908,0.07566681,0.09522039,MRcBe8sczn0
0.50966084,0.116597,0.313548,0.16756904,0.16279723,0.049212243,0.07487263,0.09149262,yOqY2ohSRDk
0.3193363,0.1278763,0.21843717,0.07969553,0.10620493,0.16035037,0.06714585,0.14146058,yP0YYKA9wJU
0.26819694,0.020126212,0.078194365,0.02764203,0.034298055,0.017006932,0.080352776,0.03209426,KcP2M2H1O10
0.5018443,0.10690836,0.3273481,0.09369604,0.14180256,0.018325835,0.098024055,0.10146145,P2D35tfDizY
0.49331036,0.09981223,0.29282773,0.0768361,0.13022539,0.02124131,0.098024055,0.08894666,GNm_9ZRT3uk
0.53307915,0.079123005,0.26756585,0.10512062,0.12234523,0.053335425,0.098837905,0.09447294,1uThRriAunw
0.37518382,0.038231082,0.16551594,0.033258658,0.05111675,0.049212243,0.16307522,0.06578537,qgPzvYcFMn0
0.27125025,0.07979208,0.10240441,0.05347534,0.07185968,0.029984225,0.21737152,0.103039764,ltRDwqA4ox8
0.3546498,0.06534384,0.22019447,0.064752206,0.12835963,0.016173938,0.049881727,0.056563307,Kixvq8EHncA
0.37753046,0.06070683,0.24688295,0.067608275,0.11131869,0.019714156,0.07600394,0.054203358,o63XqjJpO2Y
0.33405232,0.12461498,0.6112192,0.10426071,0.12715775,0.11085691,0.19145058,0.10246227,iOh69h45BrM
0.34812555,0.071929954,0.19651726,0.05114615,0.053478114,0.023117077,0.15883088,0.075613156,Fwnn3GE2Ql8
0.2663214,0.015696075,0.052982878,0.046237834,0.029712522,0.0334178,0.29161382,0.01884182,3SK4psT9aNk
0.27201965,0.056275282,0.18115744,0.038722355,0.055282734,0.007739889,0.047181744,0.047723893,NgG-l9mbmmE
0.32872146,0.08367729,0.11701374,0.063000225,0.07667212,0.036851373,0.16501017,0.11722328,v_CC3BlUEQY
0.4239239,0.04411313,0.21470797,0.046874076,0.086391196,0.036851373,0.021700151,0.042838965,b5kU4bpQm-A
0.38107455,0.11506483,0.25738353,0.11022437,0.14212474,0.018742332,0.049881727,0.072451815,9qOspjEROT8
0.30035552,0.028853906,0.06885099,0.035184387,0.04145377,0.035306264,0.16156727,0.037542954,qafo6aHUREo
0.524568,0.06966967,0.28886557,0.08240637,0.09411551,0.13476147,0.10325422,0.046935864,eGy61CH8Ih0
0.2705951,0.058818735,0.26700938,0.040727936,0.06618594,0.0753116,0.18363649,0.082970336,iNNpcQRRRLI
0.19759561,0.022963589,0.04182607,0.02618277,0.044337027,0.068918526,0.19639874,0.040490597,YtGaJcbI3G8
0.3331134,0.05718449,0.20259589,0.05920901,0.11642674,0.01665985,0.049881727,0.046762124,F1OArudmv9A
0.2505626,0.017849127,0.0715506,0.02351204,0.026456038,0.013536129,0.1850161,0.027085692,8j6QRS2qSr4
0.4352974,0.029096844,0.09449806,0.048201747,0.043640014,0.061726328,0.086412095,0.07385415,wscimfP_Sao
0.3352676,0.068489246,0.1997935,0.07300307,0.13243414,0.017492844,0.049881727,0.044551097,eeWQ10zQSRM
0.39131725,0.10287801,0.19806536,0.09853492,0.115832336,0.037881445,0.122268386,0.15282512,SUcl43slGgY
0.28756106,0.020559698,0.07696741,0.02150786,0.027087463,0.014855034,0.20460115,0.030848345,7zkWwzl8B6I
0.45233276,0.06335828,0.23902144,0.052155837,0.10605244,0.030327583,0.01356322,0.0653269,u8gvEnOh54Y
0.48103657,0.09815095,0.29596838,0.10666661,0.18641694,0.021657806,0.056133665,0.10280384,G4Eks5vT6E0
0.5047751,0.12747496,0.48907924,0.060626827,0.1945789,0.036851373,0.13781452,0.23919612,DJcwoH84E8g
0.39579782,0.117690794,0.28371522,0.07217625,0.1530014,0.101391904,0.030084321,0.19054626,bhRwzDZFeoM
0.24952391,0.071331464,0.122979976,0.05673962,0.08279315,0.0741129,0.13032807,0.08364377,Xv7JBbOiBkI
0.41203144,0.047857016,0.2573132,0.033448286,0.10448003,0.05613239,0.1973082,0.064028926,r6VYMeP7dmA
0.4540565,0.04582768,0.30495915,0.034825396,0.055106968,0.011384231,0.03409853,0.065889336,pBabT6j1b4c
0.27376202,0.019330593,0.07627151,0.024742572,0.028363278,0.015896274,0.17345113,0.028827207,3DZfaludMis
0.45642567,0.07392813,0.36886886,0.09316885,0.14895792,0.040628307,0.0859613,0.07042231,XkcFnijhPVM
0.37193567,0.05220002,0.18273102,0.056680854,0.10628806,0.018742332,0.029634507,0.04866489,FzOMxsSvK94
0.5098381,0.11190043,0.3201349,0.09835563,0.14422372,0.018464668,0.098024055,0.1000393,tjaEvVlL0wc
0.2372364,0.04660479,0.09582386,0.036335982,0.047677886,0.055333257,0.14148581,0.07150044,H-lbGdDWJ7w
0.2716328,0.038669933,0.13100734,0.032421198,0.056360833,0.007844013,0.119906805,0.04758727,uyexFx5m74I
