PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,video_id
0.054620717,0.03849298,0.087743185,0.09183141,0.42099714,0.020408317,0.040491804,0.18791005,gaFdVG503rw
0.18421824,0.15904981,0.1448123,0.16965938,0.48607355,0.27194336,0.15644136,0.4806196,6E2JX6l2C4U
0.017184222,0.19297098,0.061406896,0.6181767,0.3472435,0.14822112,0.020184854,0.08795159,VczZCoZ21jk
0.047157973,0.05673131,0.09786453,0.076652914,0.5756807,0.08050597,0.04573087,0.3159815,qN2nMP9Tfts
0.07178646,0.054973383,0.09992511,0.16888948,0.30988377,0.061726328,0.04101994,0.08184231,uY1xjPHAXbM
0.04847507,0.14534077,0.1502758,0.10378788,0.3715711,0.09279997,0.056593336,0.32274297,RlegP4oaFDY
0.04665471,0.054450188,0.11367354,0.001791132,0.4803774,0.05613239,0.029475436,0.15398838,WvpO8To1qFg
0.10211333,0.0453238,0.04343305,0.09726275,0.44717112,0.025692256,0.061452445,0.097058296,xzWFuEH9HsA
0.09594847,0.063467294,0.1131215,0.16183297,0.46889624,0.043031808,0.065611064,0.11365037,NtNDgOWN_2o
0.030244108,0.019607566,0.02737803,0.22105947,0.3045532,0.19634613,0.026772548,0.40166,fBn6uh-GYwQ
0.1104511,0.045703318,0.05020967,0.2655068,0.34022605,0.03770977,0.06086801,0.07674254,u20LjWO7uKs
0.104540564,0.101972006,0.06008309,0.33569947,0.37139943,0.15743166,0.050739534,0.5760295,dLgdbbeXkbk
0.0801047,0.050046906,0.04581914,0.028319323,0.44008866,0.27690583,0.057974227,0.09887328,sckA6yvi-5g
0.118657544,0.19610237,0.077525094,0.45317942,0.36227196,0.052136723,0.09672777,0.1711739,U5bijOlB-4I
0.071416765,0.049276587,0.16543409,0.12705716,0.39837202,0.043718524,0.054142565,0.3088903,hHPLAItTLiA
0.0945379,0.037652165,0.053422134,0.17283261,0.32153156,0.024318827,0.04468614,0.0930181,Wei9a4S63Bg
0.046132606,0.03583252,0.038367953,0.1406918,0.35895243,0.05373499,0.022850923,0.054694016,Q0RVBTb6wTQ
0.115491875,0.117061466,0.08759504,0.05380488,0.43202364,0.02655065,0.09257917,0.15319896,MleyAFrP5io
0.025028849,0.05606591,0.028432779,0.120739035,0.27417657,0.018464668,0.029394187,0.23643346,PS9zjqBbKqw
0.0749503,0.086325474,0.109272845,0.18199319,0.32577828,0.033074442,0.0728016,0.21676911,bhla6mhzWAU
0.05849501,0.073679715,0.04868141,0.31984463,0.30581823,0.10892494,0.08930313,0.5608002,8-sLhsSofnU
0.0338156,0.032024864,0.021886157,0.30807582,0.2953114,0.060527626,0.020082684,0.03793844,ZhEz1cvC1rc
0.059690177,0.1138796,0.0630304,0.058534723,0.3915945,0.029812546,0.051798206,0.09979498,yt1utYXzKqM
0.05418252,0.040492766,0.027298871,0.050690353,0.34539884,0.13745339,0.03747062,0.08849881,7bn8hM9k0b0
0.029339937,0.018491697,0.020976579,0.40579736,0.2523461,0.0669207,0.02404808,0.21992263,IRvNrMk-n6o
0.16381887,0.23514277,0.13998547,0.7833332,0.39517713,0.16035037,0.11665247,0.16645685,Ck604TT4hEg
0.050924104,0.051811375,0.047510028,0.43998986,0.35235375,0.20669603,0.026925446,0.08304668,WKW7cZ9WCFk
0.10342478,0.15090097,0.19059438,0.023456225,0.57428193,0.20449556,0.13404667,0.38215798,SGitdeBtjQY
0.059964284,0.07552436,0.16295294,0.09994066,0.4008153,0.06851897,0.066406526,0.26863945,Ej3JRBbOcmM
0.09626985,0.059956856,0.035845682,0.028507682,0.49814916,0.057331093,0.0692659,0.13088657,W2DMiZ1e574
0.1649325,0.026219131,0.07988314,0.4766718,0.3869721,0.06771983,0.05417568,0.099273615,76XXN4-WOCE
0.04734447,0.030708542,0.059355795,0.22259374,0.25381443,0.026722329,0.03237968,0.07725631,Epr-b77tGXs
0.1168261,0.43493354,0.25238144,0.095333606,0.49493194,0.21274342,0.17202027,0.48432913,oIbjUPB3t_k
0.11701272,0.30066127,0.19863085,0.44998655,0.38039753,0.355017,0.07904799,0.13908014,YTgvF-Yz8gs
0.08492712,0.3243388,0.12024799,0.5680319,0.29263285,0.49835235,0.19552837,0.85453963,4lDg8OtgvVU
0.034945406,0.01839166,0.020399248,0.27217132,0.31935075,0.09763293,0.020960432,0.06605085,40nUhMa56lw
0.107867315,0.07175977,0.2612291,0.18219703,0.33325088,0.019575324,0.09155792,0.4700208,h_GYxpuFVlw
0.04403885,0.044003468,0.089953534,0.009006822,0.39151913,0.020130653,0.036658704,0.2275654,YugD6fSKugo
0.069907404,0.1019446,0.0709863,0.17942673,0.35328072,0.022773718,0.08314321,0.13718544,54avjfIu1OI
0.058947418,0.15953416,0.16307613,0.07539096,0.42572126,0.12888865,0.10122814,0.2742851,LNK-CjcH5dY
0.07186119,0.3495363,0.20461312,0.2639118,0.48093936,0.3282253,0.09578752,0.29375353,bnG_ehIA1I8
0.14550655,0.054923806,0.1846273,0.21480496,0.37587357,0.014160873,0.0931647,0.4181728,YgqC8_WOZyY
0.039991766,0.014013578,0.047784492,0.034648746,0.31004655,0.045778666,0.02313554,0.11735632,NtEJ7jzjoE4
0.065888956,0.16369972,0.14721999,0.14692518,0.42363152,0.08447654,0.07422265,0.3199295,2OaTwR8vXcc
0.045836158,0.013971177,0.01618186,0.2657514,0.3034719,0.047495455,0.021158298,0.06826704,SXIq6yez5hc
0.054611117,0.12099641,0.072936915,0.07632136,0.37249556,0.028782474,0.07173182,0.15003876,PV9jdolesMI
0.15155667,0.3716144,0.19574405,0.8147743,0.38768202,0.20596254,0.15386583,0.1744816,OVms-94BZIE
0.09079905,0.07359974,0.07267822,0.23680541,0.35702887,0.06332459,0.06664286,0.09661364,srDKPk-2SjI
0.067761004,0.09181707,0.061182544,0.19238302,0.34191814,0.058130227,0.046249256,0.25084156,CKiOFhyY-4Q
0.078995496,0.05130063,0.11423604,0.045470282,0.44648084,0.087430015,0.052152608,0.26086292,ZM4K0NZt5Ls
0.16635726,0.27272722,0.12040335,0.2733103,0.38743436,0.263611,0.19318368,0.5665962,Ks_pHtscOUc
0.041462854,0.04299138,0.06788495,0.20637956,0.28643033,0.05373499,0.029419247,0.07445593,WH_ugKNCKlQ
0.03241227,0.0132610155,0.03375099,0.20412403,0.23856938,0.021518974,0.016345244,0.06840389,teHu8Njm5HE
0.07648033,0.13821694,0.2027558,0.0846162,0.41592,0.19936113,0.12599733,0.44853276,T8W_CwajJWU
0.10662314,0.0813322,0.20898947,0.058431562,0.29972157,0.0020738044,0.09380887,0.21443507,LV7TLjIFBYY
0.13687512,0.0755614,0.087833084,0.10211078,0.34820485,0.24242763,0.121109,0.20260845,2FiHXAuKhEk
0.103506915,0.041253388,0.09375085,0.012788738,0.36174756,0.082104236,0.08630431,0.33331558,fSuqTgnCVRg
0.1453308,0.16357926,0.09899798,0.20267926,0.56844676,0.5026305,0.13975246,0.18538246,xQaZbphjVnY
0.052087426,0.16110162,0.08495169,0.12599416,0.33116773,0.05773066,0.1093878,0.15443084,9ROzjE8iDPU
0.037339345,0.15154798,0.049567237,0.44003618,0.37481937,0.13655609,0.03327976,0.09115072,xGfNyDd5ChQ
0.05224548,0.025222383,0.07438734,0.03155505,0.3456767,0.036679696,0.035250675,0.19588234,BFtkvIWyZlw
0.07303476,0.056813776,0.07030571,0.41672504,0.29518306,0.12760067,0.060211413,0.14767486,eaouW278Pew
0.0975196,0.044967305,0.17018047,0.057691332,0.32802325,0.015063282,0.078896634,0.35655916,ansWipshOe8
0.026998349,0.028986963,0.05167413,0.17035928,0.36113667,0.040628307,0.017700167,0.12136392,Vb_e1zgCZao
0.044513892,0.05679968,0.11044493,0.26830474,0.38687542,0.078108564,0.046992294,0.25931764,bxUbvItagwA
0.22202778,0.27725884,0.11220228,0.44356948,0.5780475,0.15743166,0.16947953,0.6384784,bFaQqZdGWlQ
0.054020345,0.07122197,0.10706338,0.51013684,0.23417936,0.14777246,0.08776528,0.49471542,I0RiqeJK4EU
0.06975983,0.06298538,0.13406388,0.11325278,0.513208,0.026207292,0.04643922,0.25243336,KYdDUXyFocY
0.11834603,0.09740201,0.14049923,0.15703453,0.5283512,0.32563272,0.081948586,0.2892311,8AQKpfhiq4o
0.050589386,0.03680367,0.041338883,0.042013086,0.3495377,0.03358948,0.03996981,0.09814137,DOtXhr0EoTU
0.029449034,0.025169974,0.035342008,0.092260174,0.28655723,0.22983712,0.02658511,0.20462255,iBbDOuOr5uA
0.11284953,0.10315224,0.19060497,0.29398447,0.39857563,0.050585672,0.05016476,0.10554634,zeOKBklM_5s
0.025635552,0.019419212,0.019577613,0.17591344,0.22099718,0.019714156,0.013861984,0.049448483,C-icyHEb7W4
0.10354786,0.14046161,0.2026702,0.112927414,0.46040347,0.16035037,0.1505534,0.300213,8ANfAt4hJ6Y
0.075569145,0.09044111,0.1421821,0.26194066,0.5014574,0.21804169,0.07099669,0.33096552,5N9EEH_iDXU
0.09499669,0.037193697,0.07779383,0.015899274,0.3598127,0.043031808,0.08984735,0.3935932,YJvbxAvxkDc
0.0932847,0.09840236,0.12524793,0.06566284,0.41865095,0.042001735,0.08995258,0.25596923,NpdZPzMh7bA
0.06620011,0.046624366,0.083993964,0.1671924,0.344068,0.028954152,0.035878535,0.10810113,8wzxbR5vfjE
0.09238798,0.10278951,0.113345414,0.31133398,0.3447417,0.11472086,0.10086169,0.13715085,1Y973efOJMs
0.09069458,0.049384538,0.05659331,0.025088375,0.38207108,0.04543531,0.051369183,0.35466942,p0hUX1Ngiyk
0.09183971,0.06673597,0.10712233,0.18041232,0.38187295,0.21980777,0.06936288,0.10584719,wqKT5R2PXlw
0.111376055,0.30189413,0.1879694,0.26751035,0.36273402,0.1256687,0.11491593,0.3693004,0smRkhEOv4Q
0.03873056,0.06528041,0.10731681,0.19218369,0.42107648,0.060927194,0.03289738,0.24067286,3gMlod7TyrQ
0.052848957,0.038046874,0.08251484,0.00021788075,0.39463985,0.07211506,0.040122684,0.16374007,aj8NDOA0Sgw
0.1115467,0.046242297,0.09452634,0.12527677,0.5451948,0.30053464,0.043491073,0.23527761,83FP3nRKECc
0.094218254,0.13915725,0.072598755,0.3677443,0.39487302,0.080905534,0.1939839,0.76552737,0Hwjmek0Uvw
0.16777128,0.07656102,0.12910439,0.2214874,0.42301464,0.049212243,0.0799492,0.12554629,WKwLWRuxYOA
0.074041046,0.2477238,0.17696913,0.10763004,0.5295243,0.19789414,0.16278897,0.81075114,avCB6HOjsG4
0.03807652,0.059746537,0.09093497,0.020062631,0.3904523,0.22982925,0.04067409,0.24387754,vdnfGR2Q8yg
0.15779401,0.16356097,0.15905812,0.03329324,0.5137478,0.18055865,0.14251174,0.24481842,eZXf3p1S5Tk
0.0853974,0.058646124,0.13422315,0.15375197,0.31152868,0.17380224,0.08097844,0.24658054,HOSnJUYWh34
0.07114931,0.1420184,0.17326781,0.09390582,0.48736173,0.13521013,0.08827745,0.25144938,5xNrAVoFT0o
