PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_TOXICITY,PERSPECTIVE_THREAT,PERSPECTIVE_PROFANITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_IDENTITY_ATTACK,video_id
0.09349026,0.108935624,0.010690071,0.43523934,0.113599285,0.18262848,0.39949518,0.109236225,1VSZtNYMntM
0.11231849,0.08342543,0.015549194,0.109466076,0.08671759,0.06623157,0.33520487,0.09420448,zM4VZR0px8E
0.07840686,0.2308019,0.025692256,0.2786941,0.14139684,0.27773914,0.44117537,0.076821536,fB7nyxXaczY
0.042732567,0.115443036,0.010481823,0.41013384,0.07980229,0.044494852,0.35814255,0.082198516,Nj2YSLPn6OY
0.04519651,0.08749818,0.012703137,0.12829138,0.05335992,0.09741923,0.36424634,0.09423553,xjQ8PcIMrf8
0.13032047,0.076958865,0.029469188,0.13109663,0.09358885,0.16313104,0.2341057,0.22593269,307tOU8ZZGA
0.05862585,0.040127613,0.032387726,0.2041574,0.0469495,0.07543548,0.2953284,0.078819044,jmznx0Q1fP0
0.041270163,0.037594147,0.017492844,0.12128392,0.03670002,0.29657724,0.26169422,0.03891846,EjbHXMzeX4c
0.04746647,0.03774076,0.012772553,0.09889305,0.05085593,0.035155907,0.21182731,0.10205796,JzB7yS9t1YE
0.12771241,0.07827252,0.028610796,0.31424147,0.07843499,0.23748988,0.40339386,0.1302186,BqzgUnrNhFM
0.038017284,0.08540172,0.009509998,0.22803514,0.06443072,0.04611333,0.36507574,0.044141293,E5RjzSK0fvY
0.052288994,0.06381766,0.015132698,0.09108858,0.056349408,0.090083696,0.16574928,0.059993695,xI5ue7O14_4
0.021747805,0.028194342,0.012078391,0.04710339,0.016183078,0.11671712,0.20476276,0.024707224,OeU5m6vRyCk
0.04459087,0.05561584,0.03204437,0.16514216,0.058618538,0.31762785,0.31519333,0.05842369,k_rmHRKc0JM
0.038733978,0.029256005,0.019019997,0.17442453,0.035836425,0.11356424,0.21757875,0.036883783,WZ7vS10KPAw
0.028552718,0.044067558,0.0005987134,0.12925547,0.026975768,0.17690846,0.3553402,0.0437501,ue9aumC7AAk
0.021523742,0.02136229,0.008885254,0.038051438,0.024495844,0.12574998,0.13723537,0.027340421,1xKzPBwBdn8
0.12685138,0.08368987,0.08447654,0.13093504,0.103727534,0.2654405,0.33992246,0.07174765,sw3o0rAazMg
0.030350573,0.058598768,0.01596569,0.07116763,0.033938937,0.17519608,0.22265346,0.0460415,cC8A5VmEVtg
0.029965729,0.024638252,0.029640866,0.036266427,0.019895732,0.040277634,0.22749567,0.024691723,b6hiyLEFA_M
0.09371472,0.024500137,0.04234509,0.122736454,0.06467854,0.41550973,0.1500827,0.046046656,9Mz84cwVmS0
0.073688395,0.07726999,0.014716201,0.14958805,0.06636284,0.07711679,0.30400404,0.065930046,DWsJc1xnOZo
0.01421775,0.045300707,0.014577369,0.05831592,0.018632263,0.1919231,0.2531932,0.01708524,Kdsp6soqA7o
0.03175005,0.12249285,0.0801064,0.061373323,0.03845882,0.14293207,0.35968736,0.028132917,c36lUUr864M
0.04827429,0.03887828,0.02054715,0.08031906,0.041516542,0.18521003,0.18252811,0.051831532,xl0N7tHiwlw
0.05570337,0.056228515,0.011175984,0.07198675,0.061339512,0.18081304,0.27265552,0.0375677,ZtN6Qx4KddY
0.18603733,0.18329918,0.014785618,0.30159327,0.16518065,0.051452175,0.40508088,0.1922585,wJVgh5knV4E
0.021037878,0.090193875,0.018325835,0.14065614,0.038482558,0.11015178,0.31451774,0.02945525,J4BwnAZQWkk
0.08554239,0.043310527,0.016729267,0.35993296,0.08180064,0.1404956,0.2642518,0.17541842,qKkjCQlS1g4
0.058499925,0.07005667,0.02655065,0.32572716,0.07684059,0.1685594,0.27008715,0.07339691,D0qsjJYj5Ow
0.020454103,0.039552655,0.0035749264,0.03793293,0.023715375,0.118691646,0.21061373,0.018295137,2XCpOuiy_e4
0.023588415,0.039377548,0.013397297,0.07112705,0.030728485,0.22064185,0.18466674,0.032477975,IpGxLWOIZy4
0.0750286,0.039041504,0.013952625,0.08637864,0.05636894,0.16321549,0.2127684,0.042732168,IXMSOSEj14Q
0.02557458,0.04188064,0.01631277,0.06592453,0.0345529,0.36384407,0.19173841,0.033130933,lVP7ywRq8p4
0.05486813,0.060926437,0.03444787,0.11290937,0.043044712,0.14647119,0.29062772,0.0491876,U9tw3XGBbJM
0.34020862,0.09610472,0.02054715,0.20105064,0.1679287,0.1864252,0.33041403,0.12427755,BaBIVUvJ0ek
0.13069798,0.027473493,0.029640866,0.05757071,0.040512305,0.38364813,0.19289646,0.0717063,30y9zk5COqw
0.030085577,0.04228686,0.0007028375,0.12602378,0.031647455,0.2270338,0.30227083,0.052244138,PjDysgCvRqY
0.047037754,0.1601769,0.029640866,0.27667934,0.07335537,0.1035055,0.38079566,0.05421613,mwJ5Vbmy1AM
0.34453633,0.25665,0.014091457,0.3069408,0.30767733,0.081074506,0.40111467,0.23773405,6Kska20zQO4
0.010446699,0.015841693,0.011175984,0.0240585,0.008284831,0.29907596,0.17107812,0.01041398,terWb6ja-HM
0.054118846,0.16876318,0.012217224,0.27244496,0.08159566,0.26488572,0.37907046,0.07393826,8CcmD690iNc
