PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,video_id
0.21206237,0.071507685,0.2686317,0.02517722,0.10348649,0.045864567,0.18799344,0.20446162,iGlcM2J90hE
0.40707314,0.080812216,0.22271417,0.0753116,0.09595402,0.3389045,0.12534092,0.41616124,XQHa2aXTHrI
0.38878694,0.110621,0.28612804,0.16413476,0.11056502,0.1154498,0.17468958,0.27138773,_SmquvgWVaE
0.25809994,0.036553636,0.23741728,0.12824467,0.04425235,0.03275572,0.11558892,0.2657986,ldISsPXTnI8
0.21052988,0.14260025,0.85832125,0.15451296,0.16985689,0.026633043,0.21514843,0.43926823,Ve8S0rGd9-c
0.35530993,0.046655785,0.3226582,0.028782474,0.060942896,0.060197216,0.12810872,0.26228902,s2hXoPMznfE
0.42357883,0.023340514,0.086143956,0.011314815,0.02595981,0.036071576,0.044541325,0.070502006,LoJTAZjlmHk
0.35289386,0.109680735,0.5355555,0.008885254,0.10132565,0.050022878,0.14031611,0.14382142,GG1GB7bZkI8
0.42226845,0.15323839,0.8908898,0.18253209,0.2551445,0.085363016,0.45843443,0.30600375,JeRrxj8dTuQ
0.30308995,0.034873135,0.25120398,0.009857078,0.045437444,0.037879292,0.08407344,0.117351316,E0e99w2sCzA
0.37157488,0.052289464,0.5776758,0.112788886,0.08181716,0.032826867,0.12090705,0.27616185,aKUV0E83LjU
0.37251642,0.16515493,0.49679837,0.21109697,0.35558912,0.0787029,0.40984297,0.19334486,ovFPHKjIQWs
0.25146332,0.019530447,0.112342365,0.01228664,0.025985004,0.033141118,0.04298676,0.27887857,0d_AEd1UelA
0.2814632,0.20115958,0.80332166,0.25219622,0.29827842,0.04641718,0.3195599,0.7079002,Rn-nZWhjOXo
0.24232987,0.0313233,0.07320697,0.089041,0.027705163,0.031496998,0.04735326,0.3299963,6RcPYARmhqE
0.33812743,0.038921617,0.27585298,0.0068027726,0.02994469,0.03691709,0.09071995,0.12067351,MyCnSXFslHo
0.20670605,0.029607147,0.054209556,0.015688026,0.026404655,0.04005644,0.056393247,0.45046353,eaml9K08OyY
0.308198,0.03792041,0.31783605,0.018187003,0.08847756,0.032011986,0.11674168,0.25901857,GAY-oQBey90
0.35141593,0.07444277,0.21038398,0.049898956,0.05027656,0.060794476,0.087878816,0.048577726,1CjE7J4ig_4
0.22305796,0.036222693,0.089501865,0.0076010567,0.046031877,0.029560788,0.079912074,0.16066964,bdvVfuLMnDY
0.29075837,0.16774802,0.6877353,0.08290337,0.20701848,0.063519776,0.2773796,0.33980456,RUuD1TH-kbg
0.4762113,0.26774663,0.65223193,0.28923595,0.3917375,0.15421665,0.5093517,0.18065207,yrWdCQiabV4
0.367018,0.05373447,0.30315447,0.060527626,0.10921978,0.043257803,0.22490099,0.08799469,OZqvslc_ZMc
0.425371,0.25093922,0.8908898,0.2298686,0.27871963,0.083724655,0.50643945,0.20050609,cmYACEAFb8I
0.283887,0.028956536,0.121221565,0.118584804,0.05767113,0.022556754,0.123110585,0.19035256,cPdjMTauo3Y
0.4680095,0.11124667,0.27062625,0.027237365,0.054975595,0.15475622,0.12078069,0.15726161,TfDpyyMwCik
0.42756256,0.34263137,0.8528732,0.15071863,0.61978596,0.06907652,0.35401598,0.4012454,G7AuKw-yo8E
0.19840552,0.040884525,0.06765306,0.0057268236,0.03476737,0.03895214,0.067585684,0.20176624,G8q0B7nR-ns
0.26200685,0.055015158,0.12884821,0.024147147,0.08825585,0.12150081,0.09008151,0.20768817,h94DMw6Xmk8
0.35369876,0.09488319,0.26398954,0.094410956,0.12327541,0.05894963,0.258631,0.12636532,MdZESZq6HKE
0.3012622,0.030300077,0.23797388,0.030155903,0.09200196,0.035601247,0.119769275,0.4218627,55wLozgej4g
0.17660022,0.04504631,0.052181885,0.033932835,0.07090131,0.04236416,0.11511596,0.44068828,Zalzp1alNQw
0.21689291,0.039787162,0.06264878,0.02809576,0.05273077,0.03444236,0.09544231,0.11853849,sBcRjJ_zgQA
0.22009861,0.036871742,0.11936103,0.016521018,0.033200063,0.040335946,0.07656384,0.20523241,jXsuc1vtnBA
0.27508694,0.047064386,0.2570175,0.032387726,0.080101535,0.034562755,0.07216802,0.2072492,NuXsvGVqegA
0.47425687,0.12468806,0.2722274,0.02517722,0.15672232,0.14765374,0.1912039,0.16612367,sltDtWQOQQM
0.25427493,0.017747315,0.045581616,0.010620655,0.018795468,0.035239324,0.02943804,0.20303191,Y5rxe-tRYkQ
0.28021145,0.05417629,0.28634635,0.029640866,0.097317815,0.09957077,0.112602524,0.22783032,Nd67a5uOMKA
0.28207797,0.02655666,0.11272708,0.015479778,0.029208537,0.031253222,0.043123797,0.1682851,XUlwwDgKOnM
0.22995736,0.053082407,0.15533195,0.0039220066,0.052765653,0.04726468,0.11731216,0.17104973,Vjp5Tcgxn7k
0.33290753,0.05873413,0.16904336,0.0129808,0.05594022,0.10021543,0.12448698,0.1118715,gTK_q2O0zZ0
0.2083814,0.015220987,0.14358415,0.012494888,0.014876238,0.023058582,0.030609775,0.29422086,kWHj4LzMiak
0.27977484,0.04402611,0.06397185,0.059728492,0.050416593,0.047962572,0.07824112,0.32101244,tbe82uw9Hms
0.39716578,0.047934026,0.14858545,0.013258465,0.046163604,0.08033716,0.101826034,0.1928177,hvrvXHMU5ZY
