PERSPECTIVE_PROFANITY,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_THREAT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,video_id
0.066804506,0.052317236,0.07459281,0.12954871,0.12202233,0.3263319,0.028782474,0.21669362,wb_IjkTXjRw
0.15372525,0.23478633,0.13016798,0.58676404,0.08039578,0.3237869,0.22952124,0.602382,Ue-EvH4Rqnw
0.076226935,0.06962753,0.1426553,0.30760637,0.112137526,0.47155258,0.022773718,0.056952454,EcStrLEvizU
0.31447145,0.16938426,0.3661297,0.8763936,0.05377137,0.17456117,0.033246122,0.5499794,3f4VPTPcxjo
0.10692459,0.12921427,0.08130126,0.60945535,0.031878553,0.20511702,0.28021416,0.79009825,wAWQ_FHzfHw
0.10995157,0.033679165,0.08276283,0.13575815,0.12509014,0.28861266,0.036851373,0.21347596,vCbsM7HiLJE
0.053424783,0.03928328,0.039058186,0.35846895,0.031145219,0.27073315,0.022213135,0.29878858,-jSvT9Xo4cA
0.18691199,0.16218892,0.32600817,0.6539551,0.11427719,0.25167814,0.22981352,0.7079002,3QIvZ4BMwQM
0.1332694,0.12654306,0.079359084,0.13007106,0.112941,0.28104824,0.034962907,0.32641602,QXiOVwAzVxc
0.031209884,0.035634253,0.06126943,0.111588396,0.054227926,0.23240413,0.023117077,0.17065948,fDQZLyUU2D4
0.014505436,0.026072929,0.006935367,0.023558406,0.049570233,0.368607,0.0006724679,0.2702432,wMKY0nkpR6U
0.034127533,0.040016226,0.03756429,0.06978357,0.05995918,0.29858914,0.1024659,0.17814277,rc00JlRf54w
0.0534407,0.07228239,0.06590109,0.09422944,0.05713142,0.22601315,0.033246122,0.27462703,dfIm0kP4I7U
0.10832507,0.07907847,0.052141897,0.08432428,0.095191896,0.3383843,0.03444787,0.00013797583,laszdRd6AJ8
0.12091182,0.18363445,0.3754884,0.49090773,0.057920523,0.24989682,0.13655609,0.6317497,AwOCzvdSqwk
0.06101736,0.04705735,0.038073704,0.078333616,0.079290465,0.2685053,0.00027657955,0.020718483,cIdxAy4GhZQ
