PERSPECTIVE_INSULT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_THREAT,PERSPECTIVE_TOXICITY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_INFLAMMATORY,video_id
0.24834776,0.349282,0.17585358,0.25740162,0.024318827,0.28650832,0.31277445,0.12909509,679xhTZZyog
0.107884154,0.30033097,0.098780446,0.15773362,0.118584804,0.13993713,0.13729778,0.19968176,rA8mweZvcS4
0.099043906,0.3426619,0.0806365,0.14990859,0.11794081,0.25184968,0.13702072,0.07178527,Hpm9qSUJOt4
0.18330784,0.36141855,0.24232821,0.29080588,0.28948012,0.12729543,0.13437524,0.2672172,FWkUxr_fuU4
0.04116218,0.3576049,0.08362642,0.0899642,0.062125895,0.05837833,0.041603602,0.05707072,v11ld9hhdhU
0.23444006,0.47287032,0.315582,0.8763936,0.10956893,0.08585042,0.16304424,0.42424405,mr-ZHvG8_5k
0.03765203,0.36188313,0.038557537,0.080725804,0.018464668,0.069733664,0.046573028,0.07851837,INbxuCskWYw
0.067252845,0.27882707,0.14603989,0.20599644,0.078108564,0.05623708,0.069857344,0.12499331,zXOJmlc5kU0
0.067252845,0.27882707,0.14603989,0.20599644,0.078108564,0.05623708,0.069857344,0.12499331,vp71ypQlDZk
0.067252845,0.27882707,0.14603989,0.20599644,0.078108564,0.05623708,0.069857344,0.12499331,EUwrMNacW1U
0.067252845,0.27882707,0.14603989,0.20599644,0.078108564,0.05623708,0.069857344,0.12499331,LT8RH8ovOvk
0.03313562,0.1638617,0.12475868,0.0372547,0.007670473,0.02191394,0.033293024,0.30132595,oWF05foSVoQ
0.025629422,0.21084264,0.057655,0.1015811,0.059328925,0.045048874,0.03228943,0.17611723,5gEu9nWePiw
0.067252845,0.27882707,0.14603989,0.20599644,0.078108564,0.05623708,0.069857344,0.12499331,BSyZNEsCiw0
0.12764218,0.35858715,0.14360799,0.25740403,0.17759849,0.11689448,0.095691375,0.15205516,fjXbSASiF0E
0.067252845,0.27882707,0.14603989,0.20599644,0.078108564,0.05623708,0.069857344,0.12499331,VYJNiG8zkvM
0.067252845,0.27882707,0.14603989,0.20599644,0.078108564,0.05623708,0.069857344,0.12499331,kAwogcFha00
0.067252845,0.27882698,0.14603984,0.20599653,0.078108564,0.05623711,0.069857374,0.1249933,V0xaBPQPR2M
