PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INSULT,PERSPECTIVE_THREAT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,video_id
0.13455021,0.6247848,0.3335351,0.08812061,0.31772485,0.20498022,0.16344422,0.4232096,3SUtOSaOn1M
0.42713913,0.2530976,0.7624377,0.41102698,0.5446439,0.30206963,0.3093897,0.26892868,qfWx1EPdhwE
0.06834088,0.020134354,0.19894257,0.08339177,0.232254,0.036544647,0.022351967,0.035288952,Q-vuR4PJh2c
0.0716773,0.06974576,0.08196108,0.10587854,0.3974564,0.03889447,0.02637897,0.04477077,F6PhNnlb-14
0.08610837,0.02249467,0.07902324,0.056093507,0.3068573,0.030963074,0.04165838,0.03568964,MmNbGJS57U8
0.19890699,0.09036982,0.56332946,0.10283266,0.4427475,0.23322122,0.18746567,0.14534554,OfMK1r41Jz0
0.05545311,0.18151101,0.13527484,0.094854645,0.41421697,0.06879217,0.21980777,0.06125262,NMgWyTivrTI
0.10820733,0.072879985,0.27692643,0.18564226,0.39646575,0.068318434,0.08420804,0.084715806,QdIutxfm_hU
0.123682044,0.07767468,0.43313494,0.095082626,0.29063633,0.09461533,0.03753809,0.09476666,EPXbWEFQ008
0.14090423,0.12172686,0.1695054,0.28367513,0.28859463,0.1147493,0.39206567,0.14844914,Cbb1uqiaMtM
0.12793697,0.019850312,0.07891524,0.08125544,0.31133315,0.044183556,0.03856816,0.06083046,o3mfKLCerec
0.090439044,0.09620142,0.2339808,0.093421265,0.33648744,0.100048676,0.030842619,0.07458752,MrV4vCotio0
0.08459965,0.041848306,0.118276045,0.17156158,0.26003414,0.051464256,0.10956893,0.0684872,1R1w-YcubSk
0.24201164,0.20701163,0.5292052,0.20201664,0.637887,0.1269934,0.35870504,0.19484952,Kc5-kYMGsOU
0.05885704,0.031530123,0.062821165,0.048344158,0.22347876,0.03332308,0.06851897,0.039006762,qk97w6ZmV90
0.16261585,0.05180432,0.21528123,0.06573985,0.400627,0.05983324,0.0054144515,0.13401558,4krsAmEeZX0
0.19481197,0.075478055,0.16442268,0.03859068,0.5388384,0.06632003,0.040971663,0.11406182,5ourM6YUQPU
0.1676452,0.054301757,0.20905054,0.021535303,0.4177082,0.06423584,0.0069763125,0.14206643,UgEr_UHwbuE
0.14778292,0.05728784,0.117420554,0.075409815,0.3701026,0.05502906,0.019297661,0.07321493,-b2lNLq3EaA
0.12025724,0.44502535,0.8430036,0.291898,0.25922012,0.3096563,0.30487993,0.32744735,JEEG0hBNk3E
0.1274498,0.100400336,0.24730895,0.22465923,0.36201468,0.13783367,0.14777246,0.12398353,_rp6OqtbVR0
0.08737885,0.028348694,0.09721952,0.102216095,0.24153769,0.041331396,0.01721518,0.055637136,as5DvVo2P-k
0.06103657,0.02214721,0.24021666,0.09809766,0.25934216,0.02609151,0.02193547,0.051810455,x2Ihrm19mCM
0.12560499,0.1167675,0.53111005,0.09969283,0.5169382,0.09845587,0.15246986,0.114440545,1XBQMd1Q9tc
0.16473433,0.07347151,0.32379824,0.031967565,0.31188,0.10840535,0.01561861,0.1661824,q6NIWNnvOK0
0.055869553,0.08604373,0.24843863,0.06699201,0.36119264,0.07344309,0.011800728,0.04785609,nXxsfMyz7So
0.2545246,0.1461994,0.16390523,0.08750973,0.64055735,0.11395926,0.22988434,0.13452257,2IGxhqbYT1k
0.08215362,0.021013297,0.17429185,0.15950519,0.3909037,0.059931573,0.036851373,0.033144545,jn5IMNPMRR0
