PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INSULT,video_id
0.10401779,0.4312092,0.0741129,0.17317759,0.5802968,0.07562791,0.37193716,0.20438969,gGNGmrKR3UM
0.20160112,0.20295835,0.15743166,0.21287377,0.13225466,0.2176342,0.2731682,0.38112992,tZmq-vMgnc0
0.10144181,0.11731107,0.09924392,0.23834397,0.31118682,0.15741263,0.31094146,0.26750028,MDdFJd__Srs
0.1161488,0.20412377,0.123736724,0.090532824,0.101242386,0.37842748,0.3455281,0.13974433,C0gbKuZF2IA
0.09502313,0.2469342,0.11407687,0.15017734,0.44015065,0.17487966,0.36051205,0.17584276,TWZfuBhUiuE
0.113324285,0.39633977,0.08796701,0.22704941,0.75437725,0.18015736,0.40375304,0.25054473,IN-8mrSoqj8
0.079617225,0.15454845,0.050242316,0.13371679,0.07511861,0.20491686,0.19193555,0.23738252,bzLPV8-pxRE
0.0944429,0.5628697,0.019714156,0.24631138,0.65026015,0.088182084,0.405098,0.4384535,gLnxhDd-Gek
0.1612737,0.39239463,0.1894391,0.2057408,0.5301257,0.19569072,0.35345492,0.2678628,R0BSrclmUB4
0.24532951,0.24105425,0.055732824,0.2883466,0.49953553,0.03553767,0.42582315,0.35762638,cwbv3DQLClw
0.20447414,0.48308682,0.1621016,0.3402358,0.5264132,0.22080716,0.365208,0.36114705,f-6fGHCsaWw
0.14448558,0.35295808,0.14463188,0.19647866,0.5693622,0.030089658,0.4138615,0.27996334,CnI-Irza45Y
0.05845848,0.23903933,0.037194733,0.09730627,0.38848707,0.014823251,0.31606117,0.20272316,Xx5PYnITqHI
0.05226476,0.15826634,0.29558796,0.07570413,0.12194699,0.30218422,0.3166658,0.17407803,gHBk1r_SHpo
0.11892986,0.30514106,0.10699297,0.15537536,0.3920035,0.012058603,0.48483005,0.1905434,b_JguFsHaVY
0.09147344,0.17467923,0.10828095,0.10750656,0.39159146,0.028159644,0.33694097,0.09718556,DvHwZxqZlX4
0.12606189,0.31067246,0.2298686,0.14652559,0.17294128,0.19811767,0.38163742,0.2789099,kotZD4w_OHg
0.13441595,0.60289884,0.14866976,0.21961518,0.13976324,0.6124276,0.32512444,0.3480089,J6EMCh6lmfw
0.16111784,0.15174624,0.16482529,0.2193705,0.20819823,0.19325319,0.30198625,0.3075132,_l4o-NaFItY
0.12030533,0.3589961,0.12631269,0.16586469,0.33289412,0.2665857,0.31279117,0.2544658,2mtWw3Fk6fk
0.115109235,0.25282434,0.16151784,0.1796707,0.5387719,0.042372674,0.34395936,0.20269845,6o7xZyMsjOw
0.13754308,0.11741676,0.055732824,0.10665935,0.24863687,0.059695758,0.40400204,0.11735659,0-qDK3gikio
0.13618319,0.34809178,0.07850813,0.26536956,0.5103053,0.14239255,0.31298918,0.32745948,X_8gbW4vwsc
0.15189525,0.21991572,0.0008503466,0.31584024,0.1302077,0.05802564,0.25602603,0.50691056,ohmlfpWaioo
0.11811564,0.39336675,0.08420804,0.16394302,0.6166004,0.15354781,0.4245881,0.23526476,ao0bEMSo_Eo
