PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INSULT,PERSPECTIVE_PROFANITY,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,video_id
0.3236181,0.0810315,0.079607084,0.027554547,0.050542608,0.024947634,0.09709594,0.23711772,3l8LQ_ZqHRc
0.3645591,0.2295593,0.14623523,0.040158927,0.120575495,0.06381611,0.0801064,0.12886372,xlAogwQakRI
0.291174,0.12527339,0.039784204,0.03240203,0.053094376,0.03739595,0.04818217,0.36281034,icN3kMFq9wA
0.3518623,0.24827445,0.16291176,0.04164018,0.07569533,0.046018753,0.04165838,0.25293592,EUDrf2Svt8o
0.4097637,0.32883552,0.24502987,0.06616357,0.09050713,0.052584477,0.024662184,0.16634752,UUxJDaXSrmI
0.45046288,0.28959844,0.24980563,0.32318047,0.1579637,0.20113456,0.118584804,0.09581472,JIyn4J7SZ0A
0.26295474,0.18766993,0.21184075,0.044966288,0.117608145,0.06985936,0.040971663,0.3140751,ZAF9hnTSMbk
0.31493458,0.13593467,0.1423811,0.10258883,0.117880285,0.11796329,0.02054715,0.14043659,Tu5_uu3q2s0
0.34888157,0.2667789,0.09538081,0.070868984,0.06141911,0.07393746,0.046122026,0.2260093,R8Q8NN5vClI
0.21001804,0.16020994,0.08186298,0.021439517,0.13593422,0.03622072,0.04680874,0.19157213,LYshNVFStkk
0.22722702,0.085091636,0.057730686,0.039723895,0.05225448,0.04560016,0.026207292,0.29084766,zrZtE90MJAo
0.4617645,0.23987733,0.056795347,0.06638093,0.04706422,0.046244744,0.015479778,0.17974229,VlgrfSFCi-c
0.24219792,0.106264055,0.08795595,0.0687942,0.06541594,0.060897533,0.036851373,0.31905702,1ktgmktTd-8
0.23175986,0.21537739,0.08490211,0.03892119,0.06534864,0.047102783,0.016104523,0.43741196,cnDfM8EMB9A
0.31537744,0.32991487,0.09810388,0.03737668,0.07255543,0.043028362,0.05773066,0.27189916,90lalL-A_wc
0.27944803,0.21887396,0.095685795,0.04755694,0.054108217,0.05319608,0.078108564,0.3692612,Rd23ViSk9Sc
0.26324132,0.08130577,0.029325899,0.042294163,0.027695464,0.027841248,0.03187269,0.270214,VGD4vyogJsE
0.3541948,0.24425097,0.3274403,0.07250794,0.1271619,0.0850504,0.14552918,0.1111944,29mys8JAqtA
0.2184436,0.09061803,0.11695493,0.065314025,0.07148774,0.086132124,0.01721518,0.07111827,dmFl_w33wio
0.28418076,0.14813703,0.06791136,0.11752055,0.07102507,0.094811216,0.046122026,0.2871917,7dK4GVkxZJQ
0.29053986,0.14794889,0.07077002,0.019900484,0.043550584,0.025351755,0.11085691,0.25113106,Cz_n2tjzlLM
0.36523962,0.13431557,0.08087717,0.059988875,0.049815904,0.038691085,0.10031791,0.3145902,apRDrOwsaNE
0.22372678,0.11655036,0.05032915,0.043795217,0.047238763,0.049226724,0.009440582,0.15665121,trmhR0ql7TM
0.23563688,0.10600974,0.029604943,0.027156478,0.029535333,0.028531954,0.0741129,0.26189604,xncFXhhonR4
0.16847993,0.29696962,0.11345387,0.023102207,0.10096774,0.058093432,0.016937515,0.26467878,3BYFaTcjLuY
0.1886963,0.12737417,0.047522206,0.038543724,0.03684852,0.034322582,0.040284947,0.26456755,zA04GWjliXc
0.2230211,0.15618782,0.19271268,0.051344853,0.07978358,0.084186174,0.118584804,0.2165552,TQ_Xka_DTz0
0.21125655,0.21123888,0.098342344,0.0313864,0.08735676,0.06837804,0.051737156,0.24898385,VZiLeBG8Xus
0.38478395,0.23596416,0.11458487,0.04930452,0.065976925,0.052030604,0.043031808,0.20332764,YBfk2x5FW3E
0.3248076,0.5453837,0.16150847,0.07528294,0.14519694,0.10276029,0.008746422,0.2895305,mWdS6DxnLoM
0.33384055,0.25045782,0.0656536,0.050914086,0.042626295,0.04994096,0.03839648,0.4668253,Ya8er-4jQyo
0.27624273,0.1244944,0.09154525,0.02992646,0.05912775,0.04571396,0.079307266,0.21568899,4-zk_eDJ3ZA
0.29232886,0.17968622,0.07602829,0.038968403,0.106919274,0.048733935,0.06931809,0.26659903,R4XDJ6hPSkk
0.5165056,0.3079553,0.12436255,0.13913283,0.07391428,0.092709005,0.039254878,0.120964505,VfkNBpezWNI
0.3614369,0.271131,0.16302793,0.09278021,0.075653754,0.07761127,0.14193995,0.17317164,l5UoL7PQ1IQ
0.20798045,0.051009133,0.043497168,0.02023474,0.07168799,0.026241617,0.031357653,0.46463344,nsIvZZPjdWQ
0.22769623,0.07001389,0.048397012,0.029102225,0.043931354,0.031727366,0.08850401,0.3721251,5veSGk8VJxM
0.33350232,0.13174047,0.059240922,0.07320226,0.042496696,0.053046666,0.027580723,0.27429867,i6QOjLFH340
0.4147046,0.23027852,0.09216098,0.0372043,0.036907125,0.034657735,0.043031808,0.15675898,f_VH15tX1tE
0.41314176,0.29429293,0.2620966,0.04667347,0.1249481,0.07423638,0.048525527,0.118529014,9z698XaCnsA
0.32137984,0.4378257,0.14022306,0.09951738,0.06436702,0.091714755,0.09279997,0.355563,Elcf9nQSiCA
0.2525222,0.0644764,0.082011834,0.04537111,0.14623478,0.069061615,0.02809576,0.20787865,MZoRS_NS1bs
0.33667445,0.17643343,0.12629001,0.14773412,0.10971586,0.13341954,0.021518974,0.18441878,ifkx-rGuYy0
0.19531024,0.05367456,0.018977491,0.017205201,0.017943157,0.011165815,0.010342991,0.10702201,4aboF0VD32I
0.22493953,0.13767155,0.15716319,0.04630725,0.0840265,0.06725301,0.037881445,0.3803097,g521LRLFJZo
0.3585186,0.2244451,0.22307825,0.035474677,0.105462365,0.04770466,0.16551583,0.16178975,TXVDYtPqvxg
0.21713868,0.08389991,0.06909708,0.036202095,0.04409339,0.033009868,0.0129808,0.2660425,t6yuxAwJtaM
0.49575967,0.56952757,0.24545985,0.23103046,0.07370049,0.17032073,0.03753809,0.08431152,7rJWKS9X7kY
0.2741743,0.06849081,0.19493756,0.053539027,0.115597494,0.051346503,0.031185975,0.2721679,fzkoZeMbtvc
0.2394348,0.1502365,0.12912351,0.07395673,0.10248636,0.09150563,0.026894007,0.1629348,vB2wnJIoAjU
0.2808394,0.07046965,0.00963627,0.053711593,0.011664411,0.014156971,0.040284947,0.26734212,tFIrN7J-Ouw
0.4138541,0.24860321,0.116311684,0.04678055,0.11769358,0.045108765,0.10956893,0.5831165,AGpvXEAQ3m8
0.3935067,0.2702874,0.11330494,0.07748131,0.04482469,0.077178046,0.1689685,0.47105932,hNIfrxmhcxE
0.40814254,0.15911114,0.09646223,0.11679117,0.10371786,0.08776635,0.03856816,0.30780995,PHRzmobgB7I
0.36287645,0.10010239,0.053620387,0.05630348,0.029786766,0.026470838,0.06971766,0.1496582,1rNXe8UvWyk
0.46068746,0.40642527,0.22033475,0.15180857,0.098319635,0.09103871,0.040971663,0.2254644,HA0iiXZtozE
0.4130112,0.05876594,0.043394394,0.029200176,0.06277186,0.023400916,0.05493369,0.21695112,e7YwLdogLn4
0.36417684,0.14466964,0.10423073,0.13358572,0.12828965,0.13372451,0.029125832,0.3644636,sR1dbXtB_Dg
0.2648247,0.076992944,0.11636644,0.018917052,0.06544071,0.022881141,0.016451603,0.18550134,5qaO6n5Ti8Q
0.23930879,0.09974353,0.064102314,0.045622677,0.07002211,0.04411138,0.0789077,0.17638747,syBEbcZa7HE
0.3558667,0.17550133,0.105745696,0.15027699,0.18326929,0.19282852,0.025863936,0.3386297,sz8AOwG51yg
0.21142626,0.0757249,0.03182589,0.025319654,0.027555026,0.023123741,0.054534122,0.1792474,-dHZR1h9R1w
0.29362693,0.15351294,0.113663346,0.033544444,0.048566617,0.033503316,0.057331093,0.13784371,eAlPDAJsK3Q
0.29361907,0.14492173,0.110753864,0.04943581,0.055445753,0.0543708,0.017909339,0.31738096,r8DD5J-KmbQ
0.30618846,0.17967126,0.1181887,0.05184584,0.0713967,0.06777982,0.060927194,0.13439895,G9XnVYFhg3o
0.40659705,0.17792375,0.1191107,0.11273173,0.11469406,0.07869997,0.03856816,0.18073426,Wqj3KPAUN2M
0.24336874,0.1296687,0.13550404,0.07324525,0.10147416,0.09835067,0.05653196,0.26970047,uESdMqFr4gM
0.35190997,0.24467805,0.073188104,0.034077004,0.03982236,0.03458643,0.022773718,0.19125609,pEd2pcS1FP0
0.2830807,0.11401298,0.075490616,0.049297865,0.06466184,0.047688656,0.029125832,0.18239255,dSggADcKpOM
0.23756453,0.10402311,0.018228974,0.023283103,0.01744799,0.02204982,0.018742332,0.07265802,3ovNpL_pMqg
0.24047448,0.1542892,0.107947506,0.038358677,0.072972775,0.052025817,0.013536129,0.16896358,umXphU36HvU
0.17583224,0.022584356,0.2019304,0.022612799,0.050006468,0.035502527,0.10461388,0.4389412,N032Z6YJYh8
0.38104704,0.30210987,0.09846889,0.08893045,0.06432592,0.076695964,0.101391904,0.6534334,YrpTLuhYeLI
0.2994846,0.10040603,0.06214601,0.031382553,0.045396905,0.027250977,0.10956893,0.20713706,QjUskKTq_Qc
0.27670473,0.10503973,0.121643655,0.038484026,0.07862523,0.031593744,0.043031808,0.18383156,TmCF6mNEF58
0.26771387,0.087450944,0.037379466,0.02599714,0.026066812,0.020725252,0.014022041,0.18179753,rXSdH6MmANk
0.22482303,0.17612027,0.15985884,0.020926146,0.06358579,0.038420934,0.062125895,0.31087318,MOrCidT4S0s
0.23180167,0.067358285,0.020397305,0.050408207,0.020680625,0.031178487,0.010273575,0.21891978,QVxMZLv9Guk
0.31372574,0.28923512,0.08576453,0.06795682,0.06610675,0.08236668,0.09816993,0.4820629,OPvIWJtI7aI
0.4550096,0.3801605,0.20398654,0.17197576,0.124184385,0.16650362,0.023803791,0.091834754,YVUz0H63ccM
0.33593455,0.09949311,0.13150926,0.054251187,0.11056139,0.052954756,0.016521018,0.26378784,c9VZ8mYFHrk
0.21798554,0.076725915,0.025133822,0.039433658,0.016837073,0.026866931,0.017909339,0.16494937,j1CsK7trotY
0.47968927,0.5828821,0.3584748,0.17050767,0.15471654,0.19253871,0.08689302,0.18728708,KH4obq94V_o
0.36979544,0.32359153,0.10272183,0.020776229,0.043584097,0.021918884,0.061726328,0.26126218,aKjwgurYcqI
0.29589197,0.20136622,0.051521264,0.033645637,0.03393174,0.033269987,0.1256687,0.12313631,JOrwxpH6u1k
