PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_PROFANITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_THREAT,PERSPECTIVE_INSULT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_SEXUALLY_EXPLICIT,video_id
0.09878524,0.24126299,0.38284856,0.3316568,0.5615559,0.27996513,0.31650472,0.031335965,q5LprlTwSFM
0.1752705,0.043612212,0.014904649,0.048629805,0.034174725,0.3423584,0.0068027726,0.06288767,kSYRobGIXwE
0.061639592,0.030747626,0.038286533,0.06954339,0.035641782,0.34738982,0.11600884,0.061688278,0fX91U5164A
0.0068564834,0.039435584,0.11531581,0.20890184,0.0629711,0.3782513,0.0017614322,0.039453723,k0f3NnLpbH4
0.009207808,0.094599344,0.16594036,0.36207652,0.077971496,0.32763815,0.09602194,0.06003696,O0NfuFoPPaw
0.5748445,0.2945192,0.740048,0.36629462,0.4491131,0.48366582,0.45811868,0.13329826,MLj94cTgtwg
0.044872813,0.035787072,0.08347913,0.13359603,0.051108647,0.27984202,0.09333697,0.024788858,CegerhqgLXA
0.00088027614,0.31938538,0.26235753,0.24986885,0.68785954,0.33269155,0.5031149,0.05859969,PPRCWfXJm68
0.027368518,0.021878935,0.029850528,0.055857453,0.039101124,0.26434594,0.058929358,0.03435753,JL6gGHG67Xk
0.0901643,0.07065364,0.048821546,0.20355757,0.07437293,0.36307615,0.19789414,0.09470899,VU6K3vyd1sk
0.067579724,0.068103164,0.109399684,0.10199089,0.07992623,0.29848242,0.08796701,0.06129669,QSr2TptQV-c
0.11738578,0.039001413,0.05576887,0.1735258,0.043144483,0.26623282,0.057331093,0.035025798,itMtCYWkWew
0.003555948,0.038232468,0.12467079,0.09667586,0.049502406,0.42370066,0.12631269,0.044199593,eJXyUfww4pY
0.059648585,0.027828429,0.05150037,0.1458534,0.035527356,0.23667847,0.07011723,0.026793392,zMCpOYMnE9g
0.021906683,0.028749509,0.043127958,0.123991795,0.0345518,0.2508162,0.09602194,0.03203459,-kT7DNPN_34
0.012374962,0.06970567,0.0581953,0.11941722,0.04909187,0.28272715,0.010481823,0.11351853,_HnpDYZDUb0
0.13047004,0.010547413,0.01010954,0.029153656,0.01063823,0.25109693,0.085282035,0.022947604,24nW7lm-6b0
0.37317657,0.09981618,0.17636344,0.33680147,0.042111445,0.5203281,0.19239926,0.1758763,hkhB_bQGVt4
0.27293923,0.06678489,0.08376069,0.22991998,0.076854214,0.3580044,0.20376207,0.10860528,i4pxw4tYeCU
0.25774372,0.041272525,0.029106217,0.15234578,0.04461195,0.44063956,0.09870692,0.052286062,Cq7QcLmtUnw
0.14629036,0.039901026,0.07776382,0.3096579,0.02845706,0.31292593,0.087430015,0.044429373,sFOGBeLPUnY
0.16617204,0.03657724,0.05441801,0.17021853,0.045058392,0.33191696,0.027409043,0.029272467,fRlPKpQqpiM
0.10130078,0.013575608,0.0089331325,0.04978249,0.018283335,0.35938433,0.21804169,0.03972531,cmp08LVE3BM
0.08253205,0.07945039,0.113729894,0.15461792,0.12144042,0.35191426,0.032387726,0.054619238,xabwJWv7Oyc
0.05904827,0.12892464,0.19979973,0.2442573,0.2110565,0.3939946,0.008503466,0.1505987,NIazsD0vMdw
0.01900547,0.026352765,0.036752403,0.10298334,0.0262649,0.39575073,0.055333257,0.08345907,yO8x0xBY6LM
0.013505666,0.020861674,0.027164837,0.08437337,0.024208868,0.38379747,0.0056574075,0.13175662,At17r5eG1F0
0.03846689,0.09938651,0.18939021,0.39262864,0.12637825,0.33556265,0.11600884,0.11802426,yFkuoGJ9ewQ
0.019042773,0.01928088,0.020420726,0.046179976,0.02540945,0.26014283,0.08796701,0.0315691,SDEgiUeQEX0
0.17521317,0.018001698,0.033643667,0.11220342,0.02725249,0.37921065,0.04680874,0.026184639,EgwMTVoZOPM
0.12951358,0.007997485,0.0030540177,0.026652828,0.0031870236,0.31065413,0.010967735,0.07397072,cBqNa28PC8k
0.026892673,0.09992795,0.10709548,0.22615682,0.07959325,0.47376302,0.11085691,0.18580502,dI1q2LxNqU8
0.05385815,0.06431887,0.10459999,0.24770238,0.07629457,0.3351337,0.09065199,0.06895644,fQXzU6VicMY
0.018075792,0.005424135,0.0047132974,0.019026425,0.0060112914,0.2304979,0.007531641,0.013519463,-bliNh4Tgnk
0.28053355,0.1428276,0.2506479,0.41843772,0.22736979,0.3323516,0.09172598,0.10053334,bHkcnuJhDp8
0.102115914,0.1387648,0.13185614,0.15146078,0.15264352,0.3698536,0.01492445,0.14806403,N1NhrwVmg7w
0.18307357,0.015471793,0.022376487,0.07114863,0.030624295,0.24354711,0.037881445,0.018949978,NnL33sdxzOE
0.0056538647,0.037809465,0.030608943,0.09353119,0.028602285,0.34486228,0.26132804,0.07210511,NjQUrSMg9tE
0.07606272,0.030259037,0.026433622,0.12026201,0.026827576,0.3487001,0.103539884,0.052570835,P7ux3etxECQ
0.16824232,0.044129856,0.15267019,0.17129304,0.11273786,0.36947352,0.23101798,0.035105895,Yf3jpPuqADo
0.089867994,0.021317437,0.06337654,0.08987809,0.025603402,0.3464646,0.10699297,0.047969468,X_xTxnaftag
0.012806123,0.042441294,0.042426538,0.20938225,0.034762625,0.31042507,0.0010542562,0.035750102,ezlSkwCs-os
0.015349243,0.087956086,0.098091885,0.3163735,0.08334027,0.2931809,0.058130227,0.06585621,EEaGhNm9utg
0.09892076,0.047811963,0.09171888,0.14056373,0.08205936,0.2606814,0.12309273,0.0383415,CB6zP0ik31I
0.049429588,0.038907364,0.06826962,0.24433412,0.031393904,0.34159115,0.013605545,0.06029653,noaV4YkxbAI
0.023559555,0.15658411,0.19338298,0.22353527,0.11766551,0.47966388,0.013536129,0.1398744,GGKrzMfCCp8
0.60005355,0.14287528,0.42295983,0.30884698,0.14798635,0.33335462,0.355017,0.11271888,z-IVMf40k1E
0.023367949,0.14557622,0.0952418,0.35564625,0.12000062,0.44677278,0.013952625,0.19686735,nRMqF7Ijz2g
0.0077986466,0.02807102,0.032213178,0.035285413,0.022548085,0.28488028,0.0020130654,0.11783916,EgMMOU_IuSY
0.004798891,0.034050662,0.03066471,0.15091564,0.024998637,0.22709149,0.07011723,0.026873646,6FVdTjcHhJY
0.034864094,0.039313007,0.06059413,0.06857589,0.056910407,0.23456414,0.12309273,0.03248872,RG_kLVOBxFI
0.05989193,0.13480788,0.20167409,0.38517746,0.18505172,0.3082091,0.17173064,0.05669053,OxxIOAMYs0M
0.06806999,0.031024331,0.038119793,0.08769851,0.03338191,0.32447854,0.016590435,0.053571075,kmplUAii06U
0.041056134,0.029855726,0.031881846,0.064103305,0.01969622,0.20737913,0.013466713,0.040706117,qFfAwdNSZfA
0.0021436808,0.049406677,0.030096373,0.0786502,0.031564854,0.37553418,0.04543531,0.08379652,P_DNEBI4Phw
0.014910912,0.06795158,0.06243796,0.094221786,0.077590466,0.38285995,0.1884524,0.09526759,WWtmNic_QtE
0.084434554,0.06771802,0.09122256,0.27043197,0.062266774,0.3395911,0.10763696,0.057703283,Dwo17w2VNbQ
0.025754718,0.040115066,0.04816242,0.11270082,0.036671944,0.24912646,0.0681194,0.0483568,_iJHdxE55cw
0.008019225,0.021362636,0.010462547,0.062024884,0.01630806,0.25703028,0.029984225,0.037862677,bUCNRrZ51ak
0.26772392,0.56559426,0.40252298,0.42368284,0.87887096,0.3979246,0.7138269,0.13974367,edXRrJPdoHA
0.007589705,0.07713549,0.122664355,0.24278337,0.07860591,0.2926358,2.6980064e-05,0.06462476,6q0Ox5Wglf8
0.09249167,0.3451781,0.39452973,0.5111205,0.30129716,0.40536508,0.016729267,0.28810242,LecrO1YIzmc
0.013920019,0.067364626,0.1094366,0.25283688,0.10533616,0.3316294,0.003279908,0.05240804,0xnEYWDgY9g
0.11287828,0.085284464,0.20523068,0.19312273,0.06268312,0.3357971,0.02054715,0.116178185,9j8G_4FocrA
0.073548466,0.079602525,0.10026527,0.3784539,0.06812573,0.4242731,5.8840946e-05,0.09366872,OHOBQdkyCic
0.1825735,0.21361789,0.21194702,0.3732649,0.28159967,0.53775406,0.28948012,0.17960136,cVJgKeKwEc8
0.039341897,0.055300836,0.03587327,0.10319927,0.061865363,0.3316027,0.086087525,0.09058826,U8YFxtrwHm0
0.002620458,0.02441971,0.020977229,0.093392864,0.018565113,0.39855796,0.0008113,0.044891242,x1FBR9yVm2c
0.09321367,0.058405213,0.084355965,0.1558544,0.09429215,0.44603074,0.009926494,0.07297293,dTU6GozjI1w
0.028686842,0.2426725,0.30878738,0.37082466,0.2914078,0.500492,0.020408317,0.22993544,bsVvDLQKfdQ
0.23223875,0.031879686,0.055504605,0.1381392,0.023109598,0.21732566,0.074912034,0.08774388,5xBlsi--oHo
0.018933548,0.02120066,0.027749872,0.12088254,0.026962783,0.23892982,0.10763696,0.031485807,UTd36Pjys7Y
0.19976169,0.10282076,0.06050846,0.20744072,0.038950518,0.25493234,0.22069082,0.095850736,uevOOIZdujw
0.005220338,0.17458902,0.40395054,0.34584376,0.16081117,0.23658277,0.019852988,0.20152052,JDKUDPUWxW0
0.009442284,0.034191664,0.042171005,0.16404489,0.038267534,0.21878326,0.0095794145,0.031146342,3WpotJMiDR0
0.017722124,0.080337726,0.07591972,0.17102593,0.058688615,0.52555835,0.13431281,0.118291825,NYaeGuTCLus
0.17650038,0.018963298,0.025434133,0.053950872,0.023316361,0.21991764,0.048868883,0.023352396,lf0rEGcIE9Q
0.020756975,0.087376244,0.187508,0.27783942,0.13956223,0.37999758,0.20449556,0.056847967,Xd0E8JnCTEc
0.035449564,0.041395225,0.06507488,0.21836168,0.06167778,0.32147196,0.12180476,0.061234172,fbZ1dyulInI
0.29869953,0.25912118,0.29080656,0.15853691,0.7159604,0.5541127,0.3063832,0.13184835,VyPwUX-XXTM
0.087698564,0.034539614,0.08557376,0.05770686,0.02910446,0.2956763,0.04234509,0.057712954,HZX0LM-QbSg
0.0033006868,0.19399475,0.17904565,0.53699124,0.11747788,0.547971,0.0060739038,0.19235486,8N2l31CkSS0
0.012798322,0.14139828,0.1045083,0.33970532,0.11428116,0.53598636,0.020824814,0.15981309,BVEmGW4innY
0.015135291,0.043189127,0.09440412,0.20850316,0.08034696,0.37939692,0.07730943,0.042180087,7w87fJiM4YE
0.027973365,0.04155402,0.033196755,0.065747164,0.031341106,0.33136913,0.0014230289,0.04122625,oUvBC-2Zc2I
0.028937874,0.12517889,0.080651924,0.24687684,0.09361325,0.3897945,0.0011974268,0.1117126,eAKUC_UP00k
0.0018559669,0.018479958,0.010907203,0.037958857,0.018528963,0.6192731,0.1550967,0.12910613,ohJ9iT1GGeM
0.14237988,0.036986906,0.023371354,0.19005425,0.04374772,0.42814848,0.08796701,0.07057026,iIGcn6c8yqo
0.010030617,0.08066104,0.07233033,0.2963265,0.06126149,0.48024985,0.0100653265,0.1280607,SAvzDPIHCHQ
0.006807228,0.14396,0.11737031,0.15262033,0.17250864,0.37379003,0.034104515,0.13543613,EgAgN3BJsvs
0.1296754,0.040994316,0.11194046,0.23563395,0.06591001,0.3323883,0.15568043,0.033551916,m63EyxOC7KM
0.066890426,0.029138763,0.06863315,0.14391673,0.0396739,0.24441065,0.0471521,0.038748425,PcBzbwecJgk
0.02331698,0.1547451,0.2385617,0.15048106,0.21905409,0.42103943,0.008954669,0.13604206,IjGR9xJEKjI
0.027697688,0.033476382,0.02193863,0.07310806,0.032271653,0.29261586,0.0054838676,0.038008653,zQAtHKIG1II
0.007933303,0.2727305,0.25221586,0.22890645,0.3361013,0.3533208,0.14866976,0.14969653,4b6gMzmxCcQ
0.09036101,0.10816578,0.1431455,0.23822334,0.07284868,0.45673066,0.073313765,0.17629293,J7UP7DDvLIc
0.05975725,0.07095576,0.08385971,0.145118,0.11186,0.42566738,0.011592479,0.066454165,UN32A3v52qU
0.11437507,0.040655345,0.027440412,0.07622053,0.016952988,0.22368434,0.045091953,0.059734166,V5HCguFwkX4
0.01373723,0.0925964,0.14894427,0.35357544,0.07280384,0.32804853,0.020824814,0.10360392,C2QigjWMSUY
