PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_PROFANITY,PERSPECTIVE_INSULT,PERSPECTIVE_THREAT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_SEXUALLY_EXPLICIT,video_id
0.2562495,0.0224908,0.074483104,0.04433247,0.029840963,0.28543824,0.109236665,0.049596258,Zo913kHDoEo
0.33400846,0.15976663,0.07990272,0.08242141,0.058086794,0.111497834,0.075482614,0.10082725,NjBi93thNFo
0.4378351,0.34388447,0.25810054,0.1111303,0.21770915,0.31892312,0.23809387,0.07043944,Yqfvka7QDO4
0.34231752,0.026894007,0.14430821,0.15829203,0.15130231,0.24956456,0.42142993,0.14253329,W9FgIN-Kijo
0.3068268,0.1710401,0.14617051,0.24321482,0.1920506,0.4553983,0.15933575,0.1813287,QKwrhnh3Hj0
0.29366037,0.19042583,0.29193193,0.080391996,0.07958357,0.3022989,0.66470563,0.038930055,PHWEhGeCXaM
0.4126028,0.3282253,0.24985117,0.3543338,0.3805078,0.25408965,0.66215295,0.43840036,A1IDYHEdZpE
0.3593122,0.105704986,0.19373567,0.069582686,0.11773089,0.22276878,0.053372208,0.073806085,jOeDnvxYgIw
0.41154703,0.021796638,0.120051384,0.07707479,0.19690363,0.19110885,0.43871367,0.07580392,929viHEzCEY
0.34100243,0.078108564,0.08768349,0.060777716,0.1413382,0.2389508,0.70805407,0.05820195,hOkKkH23pi4
0.5182394,0.2889918,0.4024994,0.23274782,0.26004943,0.51160115,0.43666944,0.2657125,3hybkzCWb_w
0.36968565,0.16482529,0.19710623,0.13963598,0.1762861,0.23782326,0.21581346,0.13418902,QHOK_9hWU5U
0.26677558,0.09602194,0.11656649,0.055800557,0.14160621,0.38862994,0.2312732,0.035958607,65q8J3Q8MlU
0.26507893,0.11600884,0.18890023,0.058113046,0.23852037,0.1312212,0.6308375,0.04888874,2rpkwnVgPNU
0.2063892,0.0753116,0.096897714,0.07518007,0.07614029,0.14889285,0.30316585,0.05563813,AhYRHif-U8I
0.30019933,0.028439116,0.08537632,0.08588868,0.09840722,0.33600247,0.0019817573,0.053916525,UAWhOE1PEuY
0.23215258,0.101391904,0.020076906,0.023073604,0.012770687,0.1443434,0.41042003,0.050415773,nbNXMx_xqs4
0.30614188,0.038224805,0.133089,0.08220056,0.13154379,0.21582831,0.4516292,0.07057281,FLPLeig95M4
0.45861948,0.36805952,0.42277148,0.33124104,0.4253733,0.302977,0.86173284,0.4159049,sqtVhQY27jc
0.45031148,0.13386416,0.21698913,0.06551363,0.107221134,0.08304058,0.60202557,0.05035352,US0Rfav2qBA
0.26651525,0.112144895,0.047264684,0.04514108,0.021302694,0.14248241,0.14627126,0.051745735,Upz4oo4cDfg
